rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.15880366812175,81.95126450887965,002838,道恩股份,bottom_area,2023-08-24,13.52,2023-08-24,13.36,1.1976047904191627,2.3203592814371294,27.233115468409586,False,-0.1477,0.7815,3,3,3,100.0,19.04195393029752,24.95606326889279,13.802395209580837,1.1976047904191627,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
2,91.34987254947772,82.82549661997653,603212,赛伍技术,bottom_area,2023-08-24,16.44,2023-08-24,16.08,2.2388059701492726,3.731343283582099,29.006622516556295,False,1.7327,1.4323,2,2,2,100.0,30.698786193101522,32.01038575667657,12.761194029850726,2.2388059701492726,历史2/2次成功; 当前距低点2.24%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
3,90.89256556836865,82.77558889722431,002150,正泰电源,bottom_area,2023-08-24,13.66,2023-08-24,13.33,2.4756189047261823,3.9009752438109495,30.572916666666668,False,1.9403,1.4351,1,1,1,100.0,164.87025948103792,164.87025948103792,12.524381095273817,2.4756189047261823,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
4,90.61993628810458,81.19683043970699,002755,奥赛康,bottom_area,2023-08-24,7.6,2023-08-24,7.48,1.6042780748662995,3.0748663101604214,32.97491039426523,False,0.7958,0.2812,1,1,1,100.0,30.831099195710454,30.831099195710454,13.3957219251337,1.6042780748662995,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
5,90.12864094833584,80.1049883568854,300438,鹏辉能源,bottom_area,2023-08-24,38.04,2023-08-24,37.6,1.1702127659574406,2.606382978723396,30.69124423963133,False,1.009,1.9326,1,1,1,100.0,19.640179910044974,19.640179910044974,13.82978723404256,1.1702127659574406,历史1/1次成功; 当前距低点1.17%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
6,90.01932567634945,81.37586557119856,688148,芳源股份,bottom_area,2023-08-24,9.33,2023-08-23,9.14,2.078774617067828,3.3916849015317143,27.3449920508744,False,1.634,1.0162,2,2,2,100.0,20.943396226415096,26.66666666666668,12.921225382932173,2.078774617067828,历史2/2次成功; 当前距低点2.08%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
7,89.981969424457,80.3430478961357,002219,新里程,bottom_area,2023-08-24,3.58,2023-08-24,3.53,1.4164305949008575,3.116147308781879,32.11538461538462,False,1.1299,0.512,1,1,1,100.0,23.938223938223942,23.938223938223942,13.58356940509914,1.4164305949008575,历史1/1次成功; 当前距低点1.42%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
8,89.82254308540178,79.83439506271549,688300,联瑞新材,bottom_area,2023-08-24,40.6,2023-08-24,40.13,1.1711936207326161,2.7909294791926174,31.4017094017094,False,-0.3436,0.4831,2,2,2,100.0,24.003852247235756,26.809910956252438,13.828806379267384,1.1711936207326161,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
9,89.46006597224725,81.447986978715,000411,英特集团,bottom_area,2023-08-24,11.66,2023-08-24,11.38,2.460456942003509,3.7785588752196806,27.974683544303797,False,-0.3419,4.0929,3,3,3,100.0,31.816283905822544,47.98426745329401,12.539543057996491,2.460456942003509,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
10,88.96942511493555,79.57697541452258,002519,银河电子,bottom_area,2023-08-24,5.38,2023-08-24,5.3,1.5094339622641524,2.641509433962275,28.571428571428577,False,0.5607,1.267,1,1,1,100.0,20.959595959595962,20.959595959595962,13.490566037735846,1.5094339622641524,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
11,87.03579030235227,77.73007687379886,603015,弘讯科技,bottom_area,2023-08-24,8.52,2023-08-17,8.4,1.428571428571419,8.095238095238091,29.883138564273786,True,-1.0453,0.9349,1,1,1,100.0,23.318385650224208,23.318385650224208,13.571428571428582,1.428571428571419,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
