rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.26606195488833,92.48266835306225,002339,积成电子,bottom_area,2023-08-28,6.62,2023-08-25,6.53,1.3782542113323102,5.359877488514543,27.201783723522855,False,1.0687,1.9988,4,4,4,100.0,38.73703201559097,82.94930875576038,6.621745788667691,1.3782542113323102,历史4/4次成功; 当前距低点1.38%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
2,93.2108747128196,88.5204409581538,002265,建设工业,bottom_area,2023-08-28,12.32,2023-08-25,12.16,1.3157894736842117,6.907894736842104,28.344136711844424,False,0.9836,1.1537,4,4,4,100.0,16.669037409429027,32.75229357798165,6.6842105263157885,1.3157894736842117,历史4/4次成功; 当前距低点1.32%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
3,92.25352520281128,87.80929943546529,002765,蓝黛科技,bottom_area,2023-08-28,6.37,2023-08-25,6.28,1.433121019108278,7.802547770700626,29.675251959686445,True,0.9509,2.7624,3,3,3,100.0,21.75707182275358,28.213879408418663,6.566878980891722,1.433121019108278,历史3/3次成功; 当前距低点1.43%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
4,92.13680626444733,87.03359040004135,603236,移远通信,bottom_area,2023-08-28,43.81,2023-08-25,43.36,1.0378228782287888,6.134686346863477,30.30059475968494,False,0.5047,2.389,3,3,3,100.0,21.93455141076877,39.389337383102855,6.962177121771211,1.0378228782287888,历史3/3次成功; 当前距低点1.04%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
5,91.44194174038896,86.75572375753356,603212,赛伍技术,bottom_area,2023-08-28,16.01,2023-08-25,15.81,1.2650221378874198,7.5268817204301035,30.198675496688736,True,0.4391,1.6737,2,2,2,100.0,30.698786193101522,32.01038575667657,6.73497786211258,1.2650221378874198,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
6,90.28410307570849,85.51565545610237,002845,同兴达,bottom_area,2023-08-28,13.73,2023-08-25,13.57,1.1790714812085494,5.600589535740603,29.322916666666664,False,0.7337,2.7206,3,3,3,100.0,15.505045340096002,25.83258325832584,6.820928518791451,1.1790714812085494,历史3/3次成功; 当前距低点1.18%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,89.76110029817814,85.6482295199492,300505,川金诺,bottom_area,2023-08-28,15.61,2023-08-25,15.37,1.5614834092387782,7.937540663630453,28.378378378378383,True,1.2322,2.3561,2,2,2,100.0,28.378557489320507,39.35656836461126,6.438516590761221,1.5614834092387782,历史2/2次成功; 当前距低点1.56%; 最新日涨幅1.23%; 状态bottom_area; 底部已确认
8,89.11551610697911,84.96021244309559,002150,正泰电源,bottom_area,2023-08-28,13.38,2023-08-25,13.18,1.5174506828528156,6.752655538694998,31.354166666666668,False,0.9811,1.8708,1,1,1,100.0,164.87025948103792,164.87025948103792,6.482549317147185,1.5174506828528156,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
9,88.17276223538587,85.21302369738738,603005,晶方科技,bottom_area,2023-08-28,18.38,2023-08-25,17.98,2.224694104560615,7.063403781979975,30.256012412723045,True,1.6593,2.809,3,3,3,100.0,17.501754063363318,24.55991516436903,5.775305895439385,2.224694104560615,历史3/3次成功; 当前距低点2.22%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
10,87.59897892960713,83.5436908743538,300539,横河精密,bottom_area,2023-08-28,11.24,2023-08-25,11.07,1.5356820234869009,5.781391147244811,28.810289389067528,False,1.3526,1.6428,2,2,2,100.0,25.941106924214775,39.25845147219192,6.464317976513099,1.5356820234869009,历史2/2次成功; 当前距低点1.54%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
11,87.5588745849499,84.72404592274981,002386,天原股份,bottom_area,2023-08-28,5.81,2023-08-25,5.68,2.2887323943661957,5.281690140845083,31.48371531966224,False,1.5734,1.4106,3,3,3,100.0,24.851375171530723,48.85290148448042,5.711267605633805,2.2887323943661957,历史3/3次成功; 当前距低点2.29%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
