rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.60697202373484,78.15065562816405,002534,西子洁能,bottom_area,2023-09-20,12.62,2023-09-20,12.6,0.15873015873015534,3.015873015873022,27.16763005780347,False,-2.2463,0.4043,3,3,3,100.0,25.712690269187092,33.11594202898551,14.841269841269844,0.15873015873015534,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
2,87.17002314376718,79.34790867838663,002339,积成电子,bottom_area,2023-09-20,6.69,2023-08-25,6.53,2.450229709035224,9.494640122511488,27.201783723522855,True,-1.3274,0.8437,3,4,3,75.0,48.70662588702658,82.94930875576038,12.549770290964776,2.450229709035224,历史3/4次成功; 当前距低点2.45%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
3,86.2837368708594,76.22181893230602,603106,恒银科技,bottom_area,2023-09-20,7.17,2023-09-11,7.11,0.843881856540079,6.610407876230657,30.634146341463413,False,0.561,3.7726,1,1,1,100.0,34.60144927536232,34.60144927536232,14.15611814345992,0.843881856540079,历史1/1次成功; 当前距低点0.84%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,83.90572970103598,72.96150408785738,300561,汇金科技,bottom_area,2023-09-20,12.58,2023-09-20,12.58,0.0,2.5437201907790166,31.88955062263129,False,-1.1783,2.4331,2,2,2,100.0,24.79303273041607,27.62128325508607,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
5,81.20659062376613,74.80627198524641,601777,千里科技,bottom_area,2023-09-20,3.67,2023-08-25,3.56,3.089887640449435,8.146067415730338,27.93522267206478,True,-1.0782,0.3694,1,1,1,100.0,27.96352583586626,27.96352583586626,11.910112359550565,3.089887640449435,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
6,80.66747163460944,73.91102931596092,300503,昊志机电,bottom_area,2023-09-20,15.78,2023-09-19,15.35,2.8013029315960893,7.817589576547239,29.55484167049105,True,-1.0658,14.3302,1,1,1,100.0,19.61290322580645,19.61290322580645,12.198697068403911,2.8013029315960893,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
7,78.28523420591614,70.12253308857429,002386,天原股份,bottom_area,2023-09-20,5.76,2023-08-31,5.67,1.5873015873015848,5.996472663139327,31.604342581423396,False,-1.7065,0.3892,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,13.412698412698415,1.5873015873015848,历史2/3次成功; 当前距低点1.59%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
8,78.20137944731289,74.4117049287608,600338,西藏珠峰,bottom_area,2023-09-20,14.54,2023-08-25,13.87,4.830569574621485,11.175198269646726,28.320413436692515,True,-1.3569,0.6353,2,2,2,100.0,30.512922359665453,31.213191990577155,10.169430425378515,4.830569574621485,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
9,77.97578299087668,68.02934136917538,603258,电魂网络,bottom_area,2023-09-20,28.35,2023-09-20,28.3,0.17667844522968448,4.41696113074205,30.432645034414946,False,-3.3742,3.2314,1,1,1,100.0,15.065420560747667,15.065420560747667,14.823321554770317,0.17667844522968448,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
10,75.82259877226555,67.4697261013871,002265,建设工业,bottom_area,2023-09-20,12.31,2023-08-25,12.16,1.2335526315789502,7.1546052631578885,28.344136711844424,True,-1.4412,0.5326,2,4,2,50.0,24.09798979240379,32.75229357798165,13.76644736842105,1.2335526315789502,历史2/4次成功; 当前距低点1.23%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
11,72.43787502377522,69.13793984108969,300749,顶固集创,bottom_area,2023-09-20,9.25,2023-09-11,8.81,4.994324631101016,9.421112372304199,28.663967611336027,True,-0.6445,3.6564,1,1,1,100.0,20.833333333333336,20.833333333333336,10.005675368898984,4.994324631101016,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
