rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.50696908546966,84.60280008161998,301313,凡拓数创,bottom_area,2023-09-27,37.64,2023-09-22,37.03,1.6473129894679972,8.695652173913041,30.02645502645503,True,-4.5397,13.3809,3,3,3,100.0,39.831579019392564,52.43243243243245,18.352687010532005,1.6473129894679972,历史3/3次成功; 当前距低点1.65%; 最新日涨幅-4.54%; 状态bottom_area; 底部已确认
2,96.81919606272663,82.97992645007919,601226,华电科工,bottom_area,2023-09-27,5.96,2023-09-25,5.87,1.5332197614991459,4.088586030664399,27.975460122699385,False,0.5059,0.5403,1,1,1,100.0,39.54659949622166,39.54659949622166,18.466780238500853,1.5332197614991459,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
3,95.04765928152167,79.35961351372214,300649,杭州园林,bottom_area,2023-09-27,18.99,2023-09-27,18.97,0.10542962572482643,3.848181338956249,27.038461538461544,False,-2.9637,7.4539,2,2,2,100.0,48.22576914179969,71.60305343511452,19.894570374275176,0.10542962572482643,历史2/2次成功; 当前距低点0.11%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
4,84.34955395387257,76.59352008292302,000058,深赛格,bottom_area,2023-09-27,7.13,2023-09-22,6.81,4.698972099853162,7.635829662261387,27.16577540106952,True,1.567,3.1187,1,1,1,100.0,34.82352941176472,34.82352941176472,15.30102790014684,4.698972099853162,历史1/1次成功; 当前距低点4.70%; 最新日涨幅1.57%; 状态bottom_area; 底部已确认
5,83.00690168060413,73.97302752293582,002356,赫美集团,bottom_area,2023-09-27,4.52,2023-09-27,4.36,3.6697247706421847,8.715596330275226,29.903536977491953,False,-3.6247,1.7318,1,1,1,100.0,69.37669376693766,69.37669376693766,16.330275229357817,3.6697247706421847,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
6,80.00753822310506,70.49170605296868,002534,西子洁能,bottom_area,2023-09-27,12.86,2023-09-22,12.48,3.0448717948717867,4.967948717948712,27.861271676300582,False,1.4196,0.5855,2,3,2,66.66666666666666,29.824446659191896,33.11594202898551,16.955128205128215,3.0448717948717867,历史2/3次成功; 当前距低点3.04%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
7,79.75292697237661,71.46711123723044,300749,顶固集创,bottom_area,2023-09-27,9.16,2023-09-11,8.81,3.9727582292848993,9.421112372304199,28.663967611336027,True,-0.2179,2.4982,1,1,1,100.0,20.833333333333336,20.833333333333336,16.0272417707151,3.9727582292848993,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
8,79.02349304126133,71.13366727010526,600375,汉马科技,bottom_area,2023-09-27,5.68,2023-09-21,5.45,4.220183486238524,11.376146788990829,30.395913154533844,True,-0.8726,1.2355,1,1,1,100.0,22.073578595317713,22.073578595317713,15.779816513761476,4.220183486238524,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-0.87%; 状态bottom_area; 底部已确认
9,62.472878673109626,55.726980976013266,002069,獐子岛,bottom_area,2023-09-27,4.18,2023-09-14,4.03,3.7220843672456443,6.699751861042174,28.79858657243816,False,0.0,1.4303,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,16.277915632754357,3.7220843672456443,历史1/3次成功; 当前距低点3.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,56.38630919346367,50.14542915015314,603232,格尔软件,bottom_area,2023-09-27,11.94,2023-09-21,11.53,3.5559410234171738,5.030355594102343,29.176904176904184,False,-0.2506,1.9208,1,4,1,25.0,22.78481012658228,22.78481012658228,16.444058976582827,3.5559410234171738,历史1/4次成功; 当前距低点3.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
11,53.828874883286645,48.93534080298787,603226,菲林格尔,bottom_area,2023-09-27,5.5,2023-09-12,5.25,4.761904761904762,8.380952380952388,29.71887550200803,True,-0.3623,1.1545,1,3,1,33.33333333333333,20.479302832244016,20.479302832244016,15.238095238095239,4.761904761904762,历史1/3次成功; 当前距低点4.76%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
