rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.02041860177279,78.51370401855368,300649,杭州园林,bottom_area,2023-09-28,18.98,2023-09-28,18.89,0.47644256220222264,2.1175224986765406,27.346153846153843,False,-0.0527,5.114,2,2,2,100.0,48.22576914179969,71.60305343511452,7.523557437797777,0.47644256220222264,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
2,81.02766159346224,81.41781685559889,603232,格尔软件,bottom_area,2023-09-28,12.02,2023-09-21,11.53,4.249783174327843,5.1170858629661735,29.176904176904184,False,0.67,1.8737,4,4,4,100.0,14.447970392829903,22.78481012658228,3.7502168256721577,4.249783174327843,历史4/4次成功; 当前距低点4.25%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
3,80.92409724826892,79.48418539386113,601226,华电科工,bottom_area,2023-09-28,6.05,2023-09-25,5.87,3.0664395229982917,4.088586030664399,27.975460122699385,False,1.5101,0.4503,1,1,1,100.0,39.54659949622166,39.54659949622166,4.933560477001708,3.0664395229982917,历史1/1次成功; 当前距低点3.07%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
4,80.85707771144165,77.17364183055855,603128,华贸物流,bottom_area,2023-09-28,7.09,2023-09-26,6.98,1.5759312320916823,2.7220630372492765,27.291666666666657,False,0.0,0.5403,1,1,1,100.0,8.853575482406349,8.853575482406349,6.424068767908318,1.5759312320916823,历史1/1次成功; 当前距低点1.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,80.65092156163551,80.78525269776111,002534,西子洁能,bottom_area,2023-09-28,12.99,2023-09-22,12.48,4.08653846153846,4.967948717948712,27.861271676300582,False,1.0109,0.3277,3,3,3,100.0,25.712690269187092,33.11594202898551,3.91346153846154,4.08653846153846,历史3/3次成功; 当前距低点4.09%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
6,79.40655805018834,79.36110061785354,002069,獐子岛,bottom_area,2023-09-28,4.19,2023-09-14,4.03,3.970223325062038,6.699751861042174,28.79858657243816,False,0.2392,0.7768,3,3,3,100.0,16.6301602096504,30.967741935483854,4.0297766749379615,3.970223325062038,历史3/3次成功; 当前距低点3.97%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
7,78.5225581003933,77.02689032705247,002767,先锋电子,bottom_area,2023-09-28,14.42,2023-09-22,14.0,2.9999999999999996,3.785714285714281,30.174563591022448,False,2.8531,5.6619,2,2,2,100.0,8.854249070174514,9.063444108761324,5.0,2.9999999999999996,历史2/2次成功; 当前距低点3.00%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
8,75.1846689371035,73.85059369614095,002177,御银股份,bottom_area,2023-09-28,4.03,2023-09-28,3.91,3.0690537084399003,3.3248081841432193,27.992633517495392,False,-1.9465,5.2218,2,2,2,100.0,15.096968555827523,19.574468085106382,4.930946291560099,3.0690537084399003,历史2/2次成功; 当前距低点3.07%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
9,74.90597738371274,75.0216920758606,603191,望变电气,bottom_area,2023-09-28,15.56,2023-09-21,14.95,4.080267558528437,4.615384615384624,29.046037019458954,False,1.3681,1.9192,2,2,2,100.0,11.315602738201239,13.281249999999995,3.9197324414715635,4.080267558528437,历史2/2次成功; 当前距低点4.08%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
10,74.31403018470164,74.72415072106512,000028,国药一致,bottom_area,2023-09-28,31.63,2023-09-22,30.33,4.286185295087375,5.275304978569078,31.30237825594564,False,0.3172,0.7059,2,2,2,100.0,12.240070934754426,14.150943396226415,3.7138147049126253,4.286185295087375,历史2/2次成功; 当前距低点4.29%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
11,71.979968782854,72.74832184503755,000058,深赛格,bottom_area,2023-09-28,7.12,2023-09-22,6.81,4.552129221732754,7.635829662261387,27.16577540106952,True,-0.1403,2.5537,1,1,1,100.0,34.82352941176472,34.82352941176472,3.4478707782672466,4.552129221732754,历史1/1次成功; 当前距低点4.55%; 最新日涨幅-0.14%; 状态bottom_area; 底部已确认
12,70.55573552581272,71.11942981763013,001330,博纳影业,bottom_area,2023-09-28,7.57,2023-09-26,7.25,4.413793103448279,6.62068965517242,29.268292682926827,False,1.0681,0.6587,1,1,1,100.0,11.090742438130146,11.090742438130146,3.5862068965517206,4.413793103448279,历史1/1次成功; 当前距低点4.41%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
13,70.13923848131351,71.43031690073745,600032,浙江新能,bottom_area,2023-09-28,10.18,2023-09-22,9.7,4.948453608247427,5.154639175257732,27.395209580838326,False,0.4936,0.7876,1,1,1,100.0,19.31608133086876,19.31608133086876,3.0515463917525727,4.948453608247427,历史1/1次成功; 当前距低点4.95%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
14,60.56654483099185,58.62805889323914,605365,立达信,bottom_area,2023-09-28,16.84,2023-09-28,16.46,2.3086269744835906,2.369380315917379,32.51332513325133,False,1.6295,13.798,1,2,1,50.0,9.794238683127569,9.794238683127569,5.691373025516409,2.3086269744835906,历史1/2次成功; 当前距低点2.31%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
