rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.12919868356387,86.18323630361803,300649,杭州园林,bottom_area,2023-10-12,18.15,2023-10-12,17.76,2.195945945945929,2.195945945945929,31.692307692307686,False,0.7773,3.609,2,2,2,100.0,48.22576914179969,71.60305343511452,12.80405405405407,2.195945945945929,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
2,93.46361783721345,83.36834212299229,601226,华电科工,bottom_area,2023-10-12,5.95,2023-09-25,5.87,1.3628620102214664,4.088586030664399,27.975460122699385,False,1.0187,0.3632,1,1,1,100.0,39.54659949622166,39.54659949622166,13.637137989778534,1.3628620102214664,历史1/1次成功; 当前距低点1.36%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
3,90.09880692202907,80.58048593144487,002333,罗普斯金,bottom_area,2023-10-12,6.07,2023-10-11,5.98,1.5050167224080242,3.3444816053511586,27.16199756394641,False,-0.817,3.0237,2,2,2,100.0,32.10711859427502,46.728971962616825,13.494983277591977,1.5050167224080242,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
4,89.44619472157089,80.6910657576959,600004,白云机场,bottom_area,2023-10-12,10.88,2023-10-11,10.67,1.9681349578256873,1.9681349578256873,27.661016949152543,False,1.3979,0.5428,1,1,1,100.0,32.57211538461537,32.57211538461537,13.031865042174312,1.9681349578256873,历史1/1次成功; 当前距低点1.97%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
5,89.18653087598264,82.67739866096214,603226,菲林格尔,bottom_area,2023-10-12,5.43,2023-09-12,5.25,3.428571428571423,8.952380952380947,29.71887550200803,True,0.3697,0.6381,3,3,3,100.0,18.62656730163969,20.479302832244016,11.571428571428577,3.428571428571423,历史3/3次成功; 当前距低点3.43%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
6,86.60885654730795,81.7644834669919,002534,西子洁能,bottom_area,2023-10-12,13.03,2023-09-22,12.48,4.407051282051273,7.2115384615384635,27.861271676300582,True,1.8765,0.4822,3,3,3,100.0,25.712690269187092,33.11594202898551,10.592948717948726,4.407051282051273,历史3/3次成功; 当前距低点4.41%; 最新日涨幅1.88%; 状态bottom_area; 底部已确认
7,84.81644246193088,76.73482477674372,301313,凡拓数创,bottom_area,2023-10-12,28.39,2023-10-09,27.8,2.1223021582733805,10.215827338129497,30.93167701863354,False,-1.149,5.9286,3,4,3,75.0,39.831579019392564,52.43243243243245,12.877697841726619,2.1223021582733805,历史3/4次成功; 当前距低点2.12%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
8,83.29532575954073,76.28532309660909,000006,深振业A,bottom_area,2023-10-12,4.44,2023-10-11,4.32,2.77777777777778,3.47222222222221,29.18032786885245,False,0.9091,1.075,1,1,1,100.0,18.809980806142043,18.809980806142043,12.22222222222222,2.77777777777778,历史1/1次成功; 当前距低点2.78%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
9,82.95875828013281,76.13134782857249,600032,浙江新能,bottom_area,2023-10-12,9.98,2023-09-22,9.7,2.886597938144342,5.154639175257732,27.395209580838326,False,1.217,0.942,1,1,1,100.0,19.31608133086876,19.31608133086876,12.113402061855657,2.886597938144342,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
10,82.128059907466,76.42350170261068,300749,顶固集创,bottom_area,2023-10-12,9.13,2023-09-11,8.81,3.6322360953462,9.421112372304199,28.663967611336027,True,0.1096,2.0336,1,1,1,100.0,20.833333333333336,20.833333333333336,11.367763904653799,3.6322360953462,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
11,81.26634448840588,76.92832184503754,000058,深赛格,bottom_area,2023-10-12,7.12,2023-09-22,6.81,4.552129221732754,7.635829662261387,27.16577540106952,True,0.565,1.967,1,1,1,100.0,34.82352941176472,34.82352941176472,10.447870778267246,4.552129221732754,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
