rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.93298082821107,83.61332962083804,002534,西子洁能,bottom_area,2023-10-16,12.7,2023-09-22,12.48,1.762820512820504,7.2115384615384635,27.861271676300582,True,-1.3975,0.4033,3,3,3,100.0,25.712690269187092,33.11594202898551,8.237179487179496,1.762820512820504,历史3/3次成功; 当前距低点1.76%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
2,87.45181323031068,80.01424729085839,002333,罗普斯金,bottom_area,2023-10-16,5.96,2023-10-16,5.94,0.3367003367003295,1.3468013468013331,27.649208282582222,False,0.0,2.0841,2,2,2,100.0,32.10711859427502,46.728971962616825,9.663299663299671,0.3367003367003295,历史2/2次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,84.95079527212161,78.16274377670713,300649,杭州园林,bottom_area,2023-10-16,17.56,2023-10-16,17.45,0.630372492836673,2.1203438395415533,32.88461538461539,False,-0.5099,3.4368,2,2,2,100.0,48.22576914179969,71.60305343511452,9.369627507163328,0.630372492836673,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
4,84.00854047291035,78.41623929527466,301313,凡拓数创,bottom_area,2023-10-16,27.82,2023-10-16,27.44,1.384839650145769,2.2230320699708432,31.82608695652174,False,-0.7138,4.7819,3,4,3,75.0,39.831579019392564,52.43243243243245,8.61516034985423,1.384839650145769,历史3/4次成功; 当前距低点1.38%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
5,83.89105484895882,79.91140329065902,600408,安泰集团,bottom_area,2023-10-16,2.51,2023-10-16,2.45,2.4489795918367188,4.0816326530612095,28.3625730994152,False,1.6194,3.4049,2,2,2,100.0,17.60793957014374,21.457489878542503,7.551020408163282,2.4489795918367188,历史2/2次成功; 当前距低点2.45%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
6,82.46777356430562,75.3972178281839,002850,科达利,bottom_area,2023-10-16,84.37,2023-10-16,84.12,0.29719448407037563,3.2453637660484898,31.49837133550488,False,-2.2137,1.5571,3,3,3,100.0,12.60656587023842,13.44718098343773,9.702805515929624,0.29719448407037563,历史3/3次成功; 当前距低点0.30%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
7,81.5041495118751,75.76886720277611,000006,深振业A,bottom_area,2023-10-16,4.32,2023-10-16,4.27,1.1709601873536468,3.9812646370023614,30.000000000000004,False,-1.5945,2.1273,1,1,1,100.0,18.809980806142043,18.809980806142043,8.829039812646354,1.1709601873536468,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
8,81.26823142558716,74.89913623067469,000798,中水渔业,bottom_area,2023-10-16,8.42,2023-10-16,8.36,0.7177033492823026,2.1531100478468868,30.909090909090914,False,-2.093,1.512,3,3,3,100.0,15.08333261848572,17.3015873015873,9.282296650717697,0.7177033492823026,历史3/3次成功; 当前距低点0.72%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
9,79.80727846833277,72.94434566492826,600004,白云机场,bottom_area,2023-10-16,10.65,2023-10-16,10.62,0.2824858757062254,1.5065913370998132,28.000000000000004,False,-0.7456,0.3138,1,1,1,100.0,32.57211538461537,32.57211538461537,9.717514124293775,0.2824858757062254,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
10,79.24528231415272,73.25194163493107,600322,津投城开,bottom_area,2023-10-16,2.31,2023-10-11,2.29,0.873362445414848,3.9301310043668063,30.182926829268286,False,-0.8584,2.6099,2,2,2,100.0,24.802193604714613,35.828877005347586,9.126637554585153,0.873362445414848,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
11,79.16710770289565,72.58432698436664,000014,沙河股份,bottom_area,2023-10-16,11.28,2023-10-16,11.23,0.4452359750667759,2.760463045414058,29.148264984227122,False,-1.9983,2.1158,2,2,2,100.0,15.964865631822029,20.605355064027936,9.554764024933226,0.4452359750667759,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
12,78.8615147675895,72.89613871048573,601226,华电科工,bottom_area,2023-10-16,5.78,2023-10-16,5.73,0.8726003490401365,1.745200698080273,29.693251533742327,False,-0.1727,0.3235,1,1,1,100.0,39.54659949622166,39.54659949622166,9.127399650959864,0.8726003490401365,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
13,77.63056164662494,71.44313968035082,000028,国药一致,bottom_area,2023-10-16,29.79,2023-10-16,29.6,0.6418918918918842,3.851351351351341,32.95583238958097,False,-1.9421,0.9542,2,2,2,100.0,12.240070934754426,14.150943396226415,9.358108108108116,0.6418918918918842,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
14,77.39541086767427,70.6427911275416,600032,浙江新能,bottom_area,2023-10-16,9.52,2023-10-16,9.5,0.2105263157894692,1.8947368421052602,28.892215568862273,False,-1.8557,1.2963,1,1,1,100.0,19.31608133086876,19.31608133086876,9.789473684210531,0.2105263157894692,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
15,76.24946985048885,69.59449615560875,000729,燕京啤酒,bottom_area,2023-10-16,9.6,2023-10-16,9.58,0.2087682672233776,2.296450939457209,28.239700374531836,False,-1.9408,0.5155,1,1,1,100.0,13.658536585365852,13.658536585365852,9.791231732776623,0.2087682672233776,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
16,76.16561825839011,69.99582497621266,603025,大豪科技,bottom_area,2023-10-16,12.4,2023-10-16,12.33,0.5677210056772124,3.4063260340632597,27.936879018118056,False,-3.125,0.63,2,2,2,100.0,13.76467133955222,13.87573964497043,9.432278994322788,0.5677210056772124,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
17,75.98637513292616,69.26716380777793,001330,博纳影业,bottom_area,2023-10-16,7.01,2023-10-16,7.0,0.14285714285713982,1.7142857142857157,31.70731707317073,False,-1.5449,0.5881,1,1,1,100.0,11.090742438130146,11.090742438130146,9.85714285714286,0.14285714285713982,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
18,75.64322572604021,73.26747349153739,002177,御银股份,bottom_area,2023-10-16,4.04,2023-09-28,3.91,3.3248081841432193,6.3938618925831205,27.992633517495392,False,-1.2225,2.0946,2,2,2,100.0,15.096968555827523,19.574468085106382,6.675191815856782,3.3248081841432193,历史2/2次成功; 当前距低点3.32%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
19,75.5630008672221,74.08752889349572,000058,深赛格,bottom_area,2023-10-16,7.08,2023-09-22,6.81,3.9647577092511086,7.782672540381795,27.16577540106952,True,-1.8031,2.2208,1,1,1,100.0,34.82352941176472,34.82352941176472,6.035242290748892,3.9647577092511086,历史1/1次成功; 当前距低点3.96%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
20,75.3183514589216,69.26063063063063,000965,天保基建,bottom_area,2023-10-16,3.35,2023-10-16,3.33,0.6006006006006012,3.003003003003006,27.45098039215686,False,-1.4706,1.6965,1,1,1,100.0,16.666666666666664,16.666666666666664,9.3993993993994,0.6006006006006012,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
