rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.545029369362,88.75057062601086,300437,清水源,bottom_area,2023-10-20,12.1,2023-10-19,11.9,1.680672268907557,3.8655462184873866,29.082240762812877,False,0.0827,1.3068,6,6,6,100.0,22.379050532903687,30.330330330330323,8.319327731092443,1.680672268907557,历史6/6次成功; 当前距低点1.68%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
2,89.3515051627802,84.2605032427179,688103,国力电子,bottom_area,2023-10-20,46.69,2023-10-20,45.81,1.920977952412127,3.252564942152357,29.523076923076918,False,0.1716,0.8857,2,2,2,100.0,34.51791921622336,57.609964966913196,8.079022047587873,1.920977952412127,历史2/2次成功; 当前距低点1.92%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
3,86.56223112412988,79.61635696821514,000663,永安林业,bottom_area,2023-10-20,8.23,2023-10-20,8.18,0.6112469437652899,1.3447432762836116,28.056288478452064,False,0.0,1.1145,1,1,1,100.0,50.39215686274511,50.39215686274511,9.38875305623471,0.6112469437652899,历史1/1次成功; 当前距低点0.61%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,84.9359704198398,80.38286555747305,000014,沙河股份,bottom_area,2023-10-20,11.14,2023-10-19,10.91,2.1081576535288766,3.6663611365719557,31.167192429022077,False,0.9973,3.0652,2,2,2,100.0,15.964865631822029,20.605355064027936,7.891842346471124,2.1081576535288766,历史2/2次成功; 当前距低点2.11%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
5,84.62536817625788,78.8129156472716,600103,青山纸业,bottom_area,2023-10-20,2.4,2023-10-20,2.37,1.2658227848101182,2.531645569620255,28.181818181818173,False,0.0,0.7981,1,1,1,100.0,13.865546218487399,13.865546218487399,8.734177215189883,1.2658227848101182,历史1/1次成功; 当前距低点1.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,84.02227747562003,77.43418271202174,601226,华电科工,bottom_area,2023-10-20,5.63,2023-10-20,5.59,0.7155635062611813,2.5044722719141426,31.411042944785283,False,0.3565,0.4353,1,1,1,100.0,39.54659949622166,39.54659949622166,9.28443649373882,0.7155635062611813,历史1/1次成功; 当前距低点0.72%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,83.53933503719665,76.2005156078309,002333,罗普斯金,bottom_area,2023-10-20,5.69,2023-10-20,5.68,0.1760563380281809,1.7605633802816996,30.816077953714995,False,-1.2153,1.4991,2,2,2,100.0,32.10711859427502,46.728971962616825,9.82394366197182,0.1760563380281809,历史2/2次成功; 当前距低点0.18%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
8,83.1667027783715,76.07458796487214,000928,中钢国际,bottom_area,2023-10-20,6.2,2023-10-20,6.18,0.32362459546926314,2.912621359223311,28.637413394919175,False,-1.8987,2.1447,3,3,3,100.0,16.57232280936585,18.798449612403097,9.676375404530738,0.32362459546926314,历史3/3次成功; 当前距低点0.32%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
9,83.06306375839097,79.9311777478287,601155,新城控股,bottom_area,2023-10-20,11.74,2023-10-20,11.4,2.982456140350876,4.73684210526315,27.06333973128599,False,1.645,0.9528,2,2,2,100.0,24.2536438055306,24.642857142857142,7.017543859649125,2.982456140350876,历史2/2次成功; 当前距低点2.98%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
10,83.02073893912454,79.35138564851509,300351,永贵电器,bottom_area,2023-10-20,18.36,2023-10-20,17.89,2.6271660145332523,7.266629401900507,30.089878858929264,False,0.0545,15.5996,1,1,1,100.0,33.447979363714516,33.447979363714516,7.372833985466748,2.6271660145332523,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
11,82.9760500205422,78.24455571051796,000006,深振业A,bottom_area,2023-10-20,4.25,2023-10-20,4.17,1.9184652278177474,3.597122302158282,31.639344262295076,False,0.9501,1.1803,1,1,1,100.0,18.809980806142043,18.809980806142043,8.081534772182252,1.9184652278177474,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
12,82.81945858585865,77.99777777777781,000965,天保基建,bottom_area,2023-10-20,3.3,2023-10-20,3.24,1.8518518518518396,3.703703703703693,29.411764705882348,False,0.9174,2.1081,1,1,1,100.0,16.666666666666664,16.666666666666664,8.148148148148161,1.8518518518518396,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
13,82.49534126721579,76.19296057747411,600408,安泰集团,bottom_area,2023-10-20,2.43,2023-10-19,2.41,0.8298755186721999,2.9045643153526903,29.532163742690052,False,0.0,1.8725,2,2,2,100.0,17.60793957014374,21.457489878542503,9.1701244813278,0.8298755186721999,历史2/2次成功; 当前距低点0.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,81.99201737335748,78.4674154341827,002314,南山控股,bottom_area,2023-10-20,3.05,2023-10-19,2.97,2.693602693602681,3.7037037037036993,28.087167070217912,False,0.9934,1.2015,2,2,2,100.0,12.843169761273208,13.750000000000004,7.3063973063973195,2.693602693602681,历史2/2次成功; 当前距低点2.69%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
15,81.25697288604243,74.5783175803403,000524,岭南控股,bottom_area,2023-10-20,8.04,2023-10-19,8.0,0.49999999999998934,1.8750000000000044,28.571428571428566,False,0.1245,0.5874,1,1,1,100.0,21.550094517958406,21.550094517958406,9.50000000000001,0.49999999999998934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
16,79.77542029266661,72.92626438118998,600004,白云机场,bottom_area,2023-10-20,10.36,2023-10-20,10.33,0.2904162633107392,1.2584704743465709,29.966101694915253,False,-0.2887,0.3144,1,1,1,100.0,32.57211538461537,32.57211538461537,9.709583736689261,0.2904162633107392,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
17,79.35615363803784,73.83695453352,301393,昊帆生物,bottom_area,2023-10-20,81.5,2023-10-20,80.52,1.2170889220069598,8.631395926477897,32.22222222222222,False,-9.4545,37.1282,1,1,1,100.0,19.203856320945413,19.203856320945413,8.782911077993042,1.2170889220069598,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-9.45%; 状态bottom_area; 底部未确认
