rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.39453302431515,82.80960339620145,300488,恒锋工具,bottom_area,2023-10-23,21.11,2023-10-23,20.86,1.1984659635666348,5.417066155321184,27.31707317073171,False,-4.0018,1.6684,3,3,3,100.0,33.88228921039445,65.52470248827983,6.801534036433365,1.1984659635666348,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
2,84.91946502849558,80.60323185011707,300586,美联新材,confirmed_rebound,2023-10-23,8.65,2023-10-23,8.54,1.2880562060890073,8.313817330210783,27.008547008547012,False,-5.7734,1.8924,2,2,2,100.0,69.69134206257787,124.33414043583537,6.711943793910994,1.2880562060890073,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-5.77%; 状态confirmed_rebound; 底部未确认
3,84.82666311645205,80.15117774782871,601155,新城控股,bottom_area,2023-10-23,11.52,2023-10-20,11.4,1.0526315789473615,4.73684210526315,27.06333973128599,False,-1.8739,0.6856,2,2,2,100.0,24.2536438055306,24.642857142857142,6.947368421052638,1.0526315789473615,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
4,84.79901016232614,80.40302075844464,300620,光库科技,confirmed_rebound,2023-10-23,37.78,2023-10-23,37.32,1.2325830653804952,8.681672025723477,28.02314368370299,False,-6.5545,4.3608,6,6,6,100.0,14.91026961028043,22.444343480236245,6.767416934619505,1.2325830653804952,历史6/6次成功; 当前距低点1.23%; 最新日涨幅-6.55%; 状态confirmed_rebound; 底部未确认
5,84.3931921647551,79.6652569173482,601111,中国国航,bottom_area,2023-10-23,7.05,2023-10-23,6.98,1.0028653295128853,4.011461318051566,27.291666666666657,False,-2.7586,0.5783,2,2,2,100.0,21.03112832600846,30.97913322632423,6.997134670487116,1.0028653295128853,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
6,84.15238278343041,80.7355240786171,603260,合盛硅业,bottom_area,2023-10-23,54.1,2023-10-23,53.12,1.8448795180722968,4.028614457831327,28.69798657718121,False,-2.0637,0.1989,3,3,3,100.0,20.440050429150247,34.21399022188793,6.155120481927703,1.8448795180722968,历史3/3次成功; 当前距低点1.84%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
7,84.06589888529086,78.80437377885315,600009,上海机场,bottom_area,2023-10-23,34.58,2023-10-23,34.36,0.6402793946449327,1.9790454016298014,29.777232781524628,False,-0.9737,0.4295,4,4,4,100.0,18.4634989174387,27.704918032786885,7.359720605355068,0.6402793946449327,历史4/4次成功; 当前距低点0.64%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
8,83.9462849001776,79.26486977266451,002798,帝欧水华,bottom_area,2023-10-23,5.96,2023-10-23,5.9,1.0169491525423662,4.06779661016948,27.96092796092795,False,-2.9316,1.828,2,2,2,100.0,19.05114967989845,29.776674937965264,6.983050847457633,1.0169491525423662,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
9,83.1336722714588,78.50055588928977,300721,怡达股份,bottom_area,2023-10-23,13.88,2023-10-23,13.74,1.0189228529839924,4.876273653566229,29.06556530717605,False,-2.5965,1.7001,2,2,2,100.0,14.966129000501493,20.411663807890235,6.981077147016007,1.0189228529839924,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
10,82.64274665094057,78.41677167530095,600408,安泰集团,bottom_area,2023-10-23,2.39,2023-10-23,2.36,1.2711864406779767,3.3898305084745797,30.99415204678363,False,-1.6461,1.7129,2,2,2,100.0,17.60793957014374,21.457489878542503,6.728813559322024,1.2711864406779767,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
11,82.27921080248024,77.32810099155346,300437,清水源,bottom_area,2023-10-23,11.72,2023-10-23,11.63,0.7738607050730856,5.67497850386929,30.69129916567342,False,-3.1405,1.7514,6,6,6,100.0,22.379050532903687,30.330330330330323,7.226139294926915,0.7738607050730856,历史6/6次成功; 当前距低点0.77%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
12,82.26324325123956,78.68860698586768,688320,禾川科技,bottom_area,2023-10-23,33.09,2023-10-23,32.54,1.690227412415502,5.869698832206527,29.199303742384686,False,-3.7802,2.7323,3,3,3,100.0,17.754438097715198,33.54902936784469,6.309772587584499,1.690227412415502,历史3/3次成功; 当前距低点1.69%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
13,81.39296411493241,76.79281482128992,002707,众信旅游,bottom_area,2023-10-23,6.21,2023-10-23,6.15,0.9756097560975545,3.2520325203251916,28.90173410404624,False,-2.0505,1.2117,4,4,4,100.0,11.759167017163147,15.533980582524274,7.024390243902445,0.9756097560975545,历史4/4次成功; 当前距低点0.98%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
14,80.95189664321609,75.68427135678392,000663,永安林业,bottom_area,2023-10-23,8.0,2023-10-23,7.96,0.5025125628140708,3.6432160804020106,29.99120492524186,False,-2.7947,1.4811,1,1,1,100.0,50.39215686274511,50.39215686274511,7.497487437185929,0.5025125628140708,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
15,80.92921866622619,77.78499331475415,603129,春风动力,bottom_area,2023-10-23,106.16,2023-10-23,104.14,1.93969656231995,6.654503552909538,29.67314964883847,False,-4.4206,1.1055,3,3,3,100.0,15.954309015288315,20.09633197480549,6.06030343768005,1.93969656231995,历史3/3次成功; 当前距低点1.94%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
16,80.78220332346159,76.68370407583404,000560,我爱我家,bottom_area,2023-10-23,2.35,2023-10-23,2.32,1.2931034482758728,3.8793103448275996,32.55813953488372,False,-2.4896,2.2797,2,2,2,100.0,8.559031924209851,8.679245283018867,6.706896551724127,1.2931034482758728,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
17,79.81913125461057,75.0326338827646,002069,獐子岛,bottom_area,2023-10-23,3.85,2023-10-23,3.82,0.7853403141361323,2.879581151832469,32.50883392226149,False,-2.2843,0.7693,3,3,3,100.0,16.6301602096504,30.967741935483854,7.214659685863868,0.7853403141361323,历史3/3次成功; 当前距低点0.79%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
18,79.61930413895404,74.53722089604209,600202,哈空调,bottom_area,2023-10-23,5.28,2023-10-23,5.25,0.5714285714285762,4.3809523809523885,30.0,False,-3.2967,3.1479,3,3,3,100.0,21.559559348920644,41.50485436893204,7.4285714285714235,0.5714285714285762,历史3/3次成功; 当前距低点0.57%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
19,79.17834719001141,76.27301658989578,000977,浪潮信息,bottom_area,2023-10-23,28.29,2023-10-23,27.72,2.0562770562770574,6.782106782106792,28.13067150635209,False,-4.5868,5.9191,3,3,3,100.0,9.25445310864232,10.985371239304456,5.943722943722943,2.0562770562770574,历史3/3次成功; 当前距低点2.06%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
20,79.11439232711783,74.54044123755867,002333,罗普斯金,bottom_area,2023-10-23,5.58,2023-10-23,5.53,0.90415913200723,3.2549728752260343,32.64311814859927,False,-1.9332,1.9745,2,2,2,100.0,32.10711859427502,46.728971962616825,7.09584086799277,0.90415913200723,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
21,79.1008056753945,73.97322859711315,688103,国力电子,bottom_area,2023-10-23,44.78,2023-10-23,44.55,0.5162738496071919,4.1975308641975415,31.461538461538467,False,-4.0908,0.916,2,2,2,100.0,34.51791921622336,57.609964966913196,7.483726150392808,0.5162738496071919,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
22,78.93998445866787,77.13907226569444,300502,新易盛,confirmed_rebound,2023-10-23,33.41,2023-10-23,32.5,2.7999999999999896,10.553846153846152,31.62213338943825,False,-8.616,9.6424,3,3,3,100.0,33.242324009109716,34.5909668057319,5.20000000000001,2.7999999999999896,历史3/3次成功; 当前距低点2.80%; 最新日涨幅-8.62%; 状态confirmed_rebound; 底部未确认
23,78.90088734791904,73.76672339932597,000928,中钢国际,bottom_area,2023-10-23,6.0,2023-10-23,5.97,0.5025125628140745,3.6850921273031934,31.06235565819862,False,-3.2258,1.8369,3,3,3,100.0,16.57232280936585,18.798449612403097,7.497487437185926,0.5025125628140745,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
24,78.55628249893643,74.57071573456966,600103,青山纸业,bottom_area,2023-10-23,2.35,2023-10-23,2.32,1.2931034482758728,3.448275862068969,29.6969696969697,False,-2.0833,0.9047,1,1,1,100.0,13.865546218487399,13.865546218487399,6.706896551724127,1.2931034482758728,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
25,78.50511326989641,73.34617661940709,601890,亚星锚链,bottom_area,2023-10-23,8.61,2023-10-23,8.57,0.46674445740955833,3.26721120186697,29.05629139072847,False,-2.0478,1.0181,1,1,1,100.0,36.991150442477874,36.991150442477874,7.5332555425904415,0.46674445740955833,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
26,78.44640805960451,76.17241398182423,300746,汉嘉数智,bottom_area,2023-10-23,9.54,2023-10-23,9.31,2.470461868958095,4.726100966702465,27.37909516380655,False,-0.9346,1.5357,1,1,1,100.0,36.90896259703598,36.90896259703598,5.529538131041906,2.470461868958095,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
27,78.27522682999253,76.32867886249485,600322,津投城开,confirmed_rebound,2023-10-23,2.29,2023-10-19,2.23,2.690582959641258,8.96860986547086,32.012195121951216,True,-1.7167,6.9664,2,2,2,100.0,24.802193604714613,35.828877005347586,5.309417040358742,2.690582959641258,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-1.72%; 状态confirmed_rebound; 底部已确认
28,78.17521845350353,73.2337513918464,601858,中国科传,bottom_area,2023-10-23,23.25,2023-10-23,23.11,0.6057983556901799,5.71181306793596,30.579753679783718,False,-4.8301,1.7214,3,3,3,100.0,14.972965821612902,21.243523316062173,7.3942016443098195,0.6057983556901799,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
29,78.09925434919516,74.24497649941317,002703,浙江世宝,bottom_area,2023-10-23,13.33,2023-10-23,13.15,1.3688212927756631,6.311787072243346,28.91891891891892,False,-3.8933,5.8083,1,1,1,100.0,23.257467994310083,23.257467994310083,6.631178707224337,1.3688212927756631,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
30,77.99670556011428,73.74434686672551,688170,德龙激光,bottom_area,2023-10-23,30.73,2023-10-23,30.4,1.08552631578948,5.822368421052642,27.859515899383013,False,-3.8185,1.1295,1,1,1,100.0,17.09326272433067,17.09326272433067,6.91447368421052,1.08552631578948,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
31,77.9914894328044,73.210458576972,688023,安恒信息,bottom_area,2023-10-23,118.9,2023-10-23,118.06,0.7115026257835028,4.5654751821107915,28.365997208907228,False,-2.7164,0.695,1,1,1,100.0,39.261744966442954,39.261744966442954,7.288497374216497,0.7115026257835028,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
32,77.9304246214161,72.90970792069264,002708,光洋股份,bottom_area,2023-10-23,7.47,2023-10-23,7.43,0.5383580080753706,5.383580080753706,29.439696106362774,False,-2.4804,9.4246,1,1,1,100.0,35.522388059701484,35.522388059701484,7.46164199192463,0.5383580080753706,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
33,77.82383029858137,72.73437214285431,300651,金陵体育,bottom_area,2023-10-23,18.67,2023-10-23,18.58,0.4843918191604059,3.8213132400430623,29.754253308128547,False,-2.659,2.3439,2,2,2,100.0,17.251534895376512,25.720461095100855,7.515608180839594,0.4843918191604059,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
34,77.72855668223082,72.9772009721581,688101,三达膜,bottom_area,2023-10-23,12.57,2023-10-23,12.48,0.7211538461538449,4.246794871794866,27.77777777777778,False,-2.709,0.4553,2,2,2,100.0,21.459310437574597,33.755274261603375,7.278846153846155,0.7211538461538449,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
35,77.52694168409572,72.25115280792006,002314,南山控股,bottom_area,2023-10-23,2.98,2023-10-19,2.97,0.3367003367003295,3.7037037037036993,28.087167070217912,False,-2.2951,1.168,2,2,2,100.0,12.843169761273208,13.750000000000004,7.663299663299671,0.3367003367003295,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
36,77.08642189993017,72.21414241189848,603326,我乐家居,bottom_area,2023-10-23,9.96,2023-10-23,9.9,0.6060606060606111,2.525252525252525,30.76923076923077,False,-1.6782,2.8617,2,2,2,100.0,15.946024697401477,20.141843971631218,7.393939393939389,0.6060606060606111,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
37,76.87863785109275,73.64049683550827,600097,开创国际,bottom_area,2023-10-23,8.66,2023-10-23,8.51,1.7626321974148103,2.5851938895417232,27.574468085106385,False,-0.4598,0.5935,1,1,1,100.0,14.619883040935672,14.619883040935672,6.23736780258519,1.7626321974148103,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
38,76.7805819435803,71.81159277105824,600328,中盐化工,bottom_area,2023-10-23,7.7,2023-10-23,7.66,0.522193211488251,3.7859007832898173,27.73584905660377,False,-3.2663,0.8227,2,2,2,100.0,22.968781146513187,37.26315789473683,7.477806788511749,0.522193211488251,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
39,76.74331011617664,72.01133836272423,600004,白云机场,bottom_area,2023-10-23,10.19,2023-10-23,10.12,0.6916996047430859,2.0750988142292575,31.38983050847458,False,-1.6409,0.4525,1,1,1,100.0,32.57211538461537,32.57211538461537,7.308300395256914,0.6916996047430859,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
