rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.6229924273395,82.50323185011707,300586,美联新材,bottom_area,2023-10-23,8.65,2023-10-23,8.54,1.2880562060890073,8.313817330210783,27.008547008547012,False,-5.7734,1.8924,2,2,2,100.0,69.69134206257787,124.33414043583537,13.711943793910992,1.2880562060890073,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
2,90.37880199169227,80.15117774782871,601155,新城控股,bottom_area,2023-10-23,11.52,2023-10-20,11.4,1.0526315789473615,4.73684210526315,27.06333973128599,False,-1.8739,0.6856,2,2,2,100.0,24.2536438055306,24.642857142857142,13.947368421052639,1.0526315789473615,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
3,86.2663804300673,79.03907226569443,300502,新易盛,bottom_area,2023-10-23,33.41,2023-10-23,32.5,2.7999999999999896,10.553846153846152,31.62213338943825,False,-8.616,9.6424,3,3,3,100.0,33.242324009109716,34.5909668057319,12.20000000000001,2.7999999999999896,历史3/3次成功; 当前距低点2.80%; 最新日涨幅-8.62%; 状态bottom_area; 底部未确认
4,86.22330614321609,75.68427135678392,000663,永安林业,bottom_area,2023-10-23,8.0,2023-10-23,7.96,0.5025125628140708,3.6432160804020106,29.99120492524186,False,-2.7947,1.4811,1,1,1,100.0,50.39215686274511,50.39215686274511,14.49748743718593,0.5025125628140708,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
5,84.28546845669828,74.54044123755867,002333,罗普斯金,bottom_area,2023-10-23,5.58,2023-10-23,5.53,0.90415913200723,3.2549728752260343,32.64311814859927,False,-1.9332,1.9745,2,2,2,100.0,32.10711859427502,46.728971962616825,14.09584086799277,0.90415913200723,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
6,83.64992610907565,76.17241398182423,300746,汉嘉数智,bottom_area,2023-10-23,9.54,2023-10-23,9.31,2.470461868958095,4.726100966702465,27.37909516380655,False,-0.9346,1.5357,1,1,1,100.0,36.90896259703598,36.90896259703598,12.529538131041903,2.470461868958095,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
7,83.61549321809413,73.34617661940709,601890,亚星锚链,bottom_area,2023-10-23,8.61,2023-10-23,8.57,0.46674445740955833,3.26721120186697,29.05629139072847,False,-2.0478,1.0181,1,1,1,100.0,36.991150442477874,36.991150442477874,14.533255542590439,0.46674445740955833,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
8,83.48059554879354,74.03579118852825,300486,东杰智能,bottom_area,2023-10-23,6.71,2023-10-23,6.64,1.0542168674698837,8.283132530120493,30.03161222339305,False,-13.7532,4.4272,1,1,1,100.0,18.276374442793454,18.276374442793454,13.945783132530115,1.0542168674698837,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-13.75%; 状态bottom_area; 底部未确认
9,83.22622365660025,74.24497649941317,002703,浙江世宝,bottom_area,2023-10-23,13.33,2023-10-23,13.15,1.3688212927756631,6.311787072243346,28.91891891891892,False,-3.8933,5.8083,1,1,1,100.0,23.257467994310083,23.257467994310083,13.631178707224336,1.3688212927756631,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
10,83.10337559370986,73.74434686672551,688170,德龙激光,bottom_area,2023-10-23,30.73,2023-10-23,30.4,1.08552631578948,5.822368421052642,27.859515899383013,False,-3.8185,1.1295,1,1,1,100.0,17.09326272433067,17.09326272433067,13.91447368421052,1.08552631578948,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
11,83.08001652928725,73.210458576972,688023,安恒信息,bottom_area,2023-10-23,118.9,2023-10-23,118.06,0.7115026257835028,4.5654751821107915,28.365997208907228,False,-2.7164,0.695,1,1,1,100.0,39.261744966442954,39.261744966442954,14.288497374216497,0.7115026257835028,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
