rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.87732558027878,85.11250585480093,300586,美联新材,bottom_area,2023-10-24,8.78,2023-10-23,8.54,2.8103044496487146,8.313817330210783,27.008547008547012,False,1.5029,1.3369,2,2,2,100.0,69.69134206257787,124.33414043583537,12.189695550351285,2.8103044496487146,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
2,90.85445624454279,81.33123281082617,000938,紫光股份,bottom_area,2023-10-24,19.6,2023-10-23,19.3,1.5544041450777237,4.041450777202059,28.011935844834014,False,0.8749,1.0696,1,1,1,100.0,30.942334739803094,30.942334739803094,13.445595854922276,1.5544041450777237,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
3,90.7841358015636,81.74364453072562,601890,亚星锚链,bottom_area,2023-10-24,8.73,2023-10-23,8.57,1.8669778296382746,3.26721120186697,29.05629139072847,False,1.3937,1.0026,1,1,1,100.0,36.991150442477874,36.991150442477874,13.133022170361725,1.8669778296382746,历史1/1次成功; 当前距低点1.87%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
4,88.98575386902206,79.28012686158709,688023,安恒信息,bottom_area,2023-10-24,118.5,2023-10-24,116.98,1.299367413233028,4.137459394768327,29.021297251380375,False,-0.3364,0.88,1,1,1,100.0,39.261744966442954,39.261744966442954,13.700632586766973,1.299367413233028,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
5,88.15464053172418,81.1828824672151,002333,罗普斯金,bottom_area,2023-10-24,5.7,2023-10-23,5.53,3.0741410488245915,3.4358047016274775,32.64311814859927,False,2.1505,1.975,2,2,2,100.0,32.10711859427502,46.728971962616825,11.925858951175409,3.0741410488245915,历史2/2次成功; 当前距低点3.07%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
6,87.76382858537615,79.77129883703253,600004,白云机场,bottom_area,2023-10-24,10.36,2023-10-23,10.12,2.371541501976287,2.6679841897233336,31.38983050847458,False,1.6683,0.4942,1,1,1,100.0,32.57211538461537,32.57211538461537,12.628458498023711,2.371541501976287,历史1/1次成功; 当前距低点2.37%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
7,87.74704017280827,82.97061072723287,300502,新易盛,bottom_area,2023-10-24,33.96,2023-10-23,32.5,4.492307692307695,10.553846153846152,31.62213338943825,True,1.6462,7.1722,3,3,3,100.0,33.242324009109716,34.5909668057319,10.507692307692304,4.492307692307695,历史3/3次成功; 当前距低点4.49%; 最新日涨幅1.65%; 状态bottom_area; 底部已确认
8,86.49221163501639,78.02849655545046,300486,东杰智能,bottom_area,2023-10-24,6.73,2023-10-24,6.6,1.9696969696969817,3.1818181818181817,30.453108535300323,False,0.2981,2.4608,1,1,1,100.0,18.276374442793454,18.276374442793454,13.030303030303017,1.9696969696969817,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
9,86.22640444598777,79.5311777478287,601155,新城控股,bottom_area,2023-10-24,11.76,2023-10-20,11.4,3.1578947368421004,4.73684210526315,27.06333973128599,False,2.0833,0.6182,2,2,2,100.0,24.2536438055306,24.642857142857142,11.842105263157897,3.1578947368421004,历史2/2次成功; 当前距低点3.16%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
10,85.66035998378422,77.76160260233124,000966,长源电力,bottom_area,2023-10-24,4.44,2023-10-24,4.34,2.3041474654378002,2.5345622119815743,27.424749163879607,False,1.6018,0.8482,1,1,1,100.0,20.94117647058823,20.94117647058823,12.6958525345622,2.3041474654378002,历史1/1次成功; 当前距低点2.30%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
11,85.49898520679311,78.10305301604541,001322,箭牌家居,bottom_area,2023-10-24,12.44,2023-10-23,12.12,2.640264026402643,3.3003300330033034,30.74285714285715,False,2.2186,2.6097,1,1,1,100.0,26.897069872276486,26.897069872276486,12.359735973597356,2.640264026402643,历史1/1次成功; 当前距低点2.64%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
