rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.76621188337894,84.74944272934361,688071,华依科技,bottom_area,2023-10-25,38.15,2023-10-25,36.98,3.1638723634397024,4.948620876149286,27.617929144646713,False,1.0328,1.8206,4,4,4,100.0,19.048772677344818,29.494190020505805,6.836127636560299,3.1638723634397024,历史4/4次成功; 当前距低点3.16%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
2,86.01047286766362,82.29189927872295,000928,中钢国际,bottom_area,2023-10-25,6.13,2023-10-23,5.97,2.6800670016750443,5.192629815745402,31.06235565819862,False,0.8224,2.4656,3,3,3,100.0,16.57232280936585,18.798449612403097,7.319932998324956,2.6800670016750443,历史3/3次成功; 当前距低点2.68%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
3,86.0049957551219,80.85869395072255,000938,紫光股份,bottom_area,2023-10-25,19.64,2023-10-23,19.3,1.761658031088082,4.041450777202059,28.011935844834014,False,0.2041,1.1772,1,1,1,100.0,30.942334739803094,30.942334739803094,8.23834196891192,1.761658031088082,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
4,85.70981540575934,81.55700468905559,300620,光库科技,bottom_area,2023-10-25,38.08,2023-10-24,37.19,2.393116429147622,5.8080129066953585,28.273866923818712,False,-1.3472,3.8052,6,6,6,100.0,14.91026961028043,22.444343480236245,7.6068835708523785,2.393116429147622,历史6/6次成功; 当前距低点2.39%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
5,83.68663453273717,80.16623046904137,688023,安恒信息,bottom_area,2023-10-25,120.19,2023-10-24,116.98,2.744058813472383,4.804240041032647,29.021297251380375,False,1.4262,0.7551,1,1,1,100.0,39.261744966442954,39.261744966442954,7.255941186527617,2.744058813472383,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
6,82.06687917797602,77.09080907856516,603326,我乐家居,bottom_area,2023-10-25,10.07,2023-10-23,9.9,1.7171717171717165,3.8383838383838285,30.76923076923077,False,-0.5923,2.9366,2,2,2,100.0,15.946024697401477,20.141843971631218,8.282828282828284,1.7171717171717165,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
7,81.77993610464945,81.10782201405151,300586,美联新材,bottom_area,2023-10-25,8.93,2023-10-23,8.54,4.566744730679164,8.313817330210783,27.008547008547012,False,1.7084,1.032,2,2,2,100.0,69.69134206257787,124.33414043583537,5.433255269320837,4.566744730679164,历史2/2次成功; 当前距低点4.57%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
8,80.73258095279546,78.28506810132075,601890,亚星锚链,bottom_area,2023-10-25,8.86,2023-10-23,8.57,3.38389731621936,4.434072345390887,29.05629139072847,False,1.4891,1.0219,1,1,1,100.0,36.991150442477874,36.991150442477874,6.616102683780641,3.38389731621936,历史1/1次成功; 当前距低点3.38%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
9,80.26606920685346,74.76858691053228,300570,太辰光,bottom_area,2023-10-25,31.73,2023-10-23,31.33,1.2767315671880057,6.511330992658791,32.44933160845193,False,-2.2188,7.4855,1,1,1,100.0,14.728682170542637,14.728682170542637,8.723268432811995,1.2767315671880057,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
10,79.8240984590873,75.90449520787463,601156,东航物流,bottom_area,2023-10-25,11.29,2023-10-23,11.03,2.357207615593833,3.082502266545783,32.33128834355829,False,0.5343,0.5104,1,1,1,100.0,11.607142857142852,11.607142857142852,7.642792384406167,2.357207615593833,历史1/1次成功; 当前距低点2.36%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
11,79.75773228439273,76.97434014475827,001322,箭牌家居,bottom_area,2023-10-25,12.5,2023-10-23,12.12,3.135313531353142,4.785478547854787,30.74285714285715,False,0.4823,3.4189,1,1,1,100.0,26.897069872276486,26.897069872276486,6.864686468646858,3.135313531353142,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
12,79.70388092157174,78.72282114189841,688103,国力电子,bottom_area,2023-10-25,46.3,2023-10-24,44.37,4.349785891368041,5.25129592066713,31.738461538461543,False,0.7398,1.8481,2,2,2,100.0,34.51791921622336,57.609964966913196,5.650214108631959,4.349785891368041,历史2/2次成功; 当前距低点4.35%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
13,79.64250428621008,77.93117774782871,601155,新城控股,bottom_area,2023-10-25,11.84,2023-10-20,11.4,3.8596491228070127,4.8245614035087625,27.06333973128599,False,0.6803,0.6211,2,2,2,100.0,24.2536438055306,24.642857142857142,6.140350877192987,3.8596491228070127,历史2/2次成功; 当前距低点3.86%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
14,78.77852243571726,76.74349802126598,300713,英可瑞,bottom_area,2023-10-25,18.29,2023-10-24,17.65,3.626062322946179,4.759206798866855,27.066115702479344,False,1.442,6.5904,2,2,2,100.0,15.004946868727224,19.819819819819813,6.373937677053822,3.626062322946179,历史2/2次成功; 当前距低点3.63%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
15,77.46272120072851,75.21719735485294,300353,东土科技,bottom_area,2023-10-25,9.58,2023-10-24,9.26,3.4557235421166337,7.235421166306695,27.372549019607845,False,0.6303,2.9963,1,1,1,100.0,21.377672209026137,21.377672209026137,6.544276457883366,3.4557235421166337,历史1/1次成功; 当前距低点3.46%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
16,76.84711776937978,72.62651739852254,301371,敷尔佳,bottom_area,2023-10-25,40.61,2023-10-23,39.8,2.035175879396991,4.773869346733683,27.252787424602452,False,-1.7421,5.1068,1,1,1,100.0,12.50923872875093,12.50923872875093,7.964824120603009,2.035175879396991,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
