rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.2096663106571,81.33525423728815,002685,华东重机,bottom_area,2023-11-03,3.65,2023-11-02,3.54,3.107344632768358,3.6723163841807875,27.01030927835051,False,2.8169,4.1099,1,1,1,100.0,109.52380952380952,109.52380952380952,16.892655367231644,3.107344632768358,历史1/1次成功; 当前距低点3.11%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
2,90.08123193886722,79.5311777478287,601155,新城控股,bottom_area,2023-11-03,11.76,2023-10-20,11.4,3.1578947368421004,6.052631578947364,27.06333973128599,False,0.2558,0.437,2,2,2,100.0,24.2536438055306,24.642857142857142,16.8421052631579,3.1578947368421004,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,89.25072866103139,78.36437083481214,000938,紫光股份,bottom_area,2023-11-03,19.81,2023-11-02,19.26,2.8556593977154576,3.322949117341625,28.161133905259224,False,2.5362,1.7189,1,1,1,100.0,30.942334739803094,30.942334739803094,17.144340602284544,2.8556593977154576,历史1/1次成功; 当前距低点2.86%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
4,87.76363165137832,74.39931097605071,600048,保利发展,bottom_area,2023-11-03,10.8,2023-10-30,10.7,0.9345794392523498,4.018691588785061,28.139691067830768,False,-0.8264,0.4776,2,2,2,100.0,31.721247836269217,31.987577639751546,19.06542056074765,0.9345794392523498,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
5,87.2191964367639,77.85302939134459,688023,安恒信息,bottom_area,2023-11-03,120.36,2023-10-30,116.0,3.7586206896551717,5.36206896551724,29.6159213639949,False,3.6514,0.9863,1,1,1,100.0,39.261744966442954,39.261744966442954,16.24137931034483,3.7586206896551717,历史1/1次成功; 当前距低点3.76%; 最新日涨幅3.65%; 状态bottom_area; 底部未确认
6,86.1410348840593,72.44497076023396,600325,华发股份,bottom_area,2023-11-03,8.04,2023-11-03,8.0,0.49999999999998934,2.6250000000000107,27.667269439421343,False,-1.8315,1.1833,1,1,1,100.0,32.553606237816766,32.553606237816766,19.50000000000001,0.49999999999998934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
7,74.70159658391988,67.18695775488878,300511,雪榕生物,bottom_area,2023-11-03,5.74,2023-10-30,5.51,4.174228675136124,4.355716878402908,27.212681638044923,False,1.5929,1.8539,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,15.825771324863878,4.174228675136124,历史2/3次成功; 当前距低点4.17%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
8,72.77425821716527,62.35484451718498,603326,我乐家居,bottom_area,2023-11-03,10.03,2023-11-02,9.88,1.518218623481767,2.1255060728744843,30.909090909090907,False,1.5182,2.06,1,2,1,50.0,20.141843971631218,20.141843971631218,18.48178137651823,1.518218623481767,历史1/2次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
9,66.02172905634728,59.41356234871016,600328,中盐化工,bottom_area,2023-11-03,7.93,2023-10-26,7.61,4.204993429697758,6.17608409986859,28.207547169811313,False,0.2528,0.4886,1,2,1,50.0,37.26315789473683,37.26315789473683,15.795006570302242,4.204993429697758,历史1/2次成功; 当前距低点4.20%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
10,64.05444680851063,56.803000000000004,002366,融发核电,bottom_area,2023-11-03,5.17,2023-10-23,5.0,3.399999999999999,8.000000000000007,28.469241773962807,True,1.9724,1.2464,1,4,1,25.0,25.0,25.0,16.600000000000005,3.399999999999999,历史1/4次成功; 当前距低点3.40%; 最新日涨幅1.97%; 状态bottom_area; 底部已确认
11,63.97880873436057,55.11136412716914,300342,天银机电,bottom_area,2023-11-03,16.88,2023-11-03,16.58,1.809408926417375,4.342581423401704,29.745762711864423,False,-0.5889,15.886,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,18.190591073582628,1.809408926417375,历史1/3次成功; 当前距低点1.81%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
