rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.97009719684841,85.44307647922665,002103,广博股份,bottom_area,2023-11-29,7.26,2023-11-29,7.13,1.8232819074333786,2.6647966339410996,28.269617706237423,False,0.8333,14.049,2,2,2,100.0,39.6782754202944,51.366120218579226,13.17671809256662,1.8232819074333786,历史2/2次成功; 当前距低点1.82%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
2,84.60150958953439,73.96736139987166,600048,保利发展,bottom_area,2023-11-29,10.35,2023-11-29,10.32,0.29069767441859845,4.457364341085262,30.691739422431162,False,-3.8997,0.749,2,2,2,100.0,31.721247836269217,31.987577639751546,14.7093023255814,0.29069767441859845,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-3.90%; 状态bottom_area; 底部未确认
3,82.30251809457161,72.30899089248928,688303,大全能源,bottom_area,2023-11-29,30.99,2023-11-29,30.82,0.5515898767034334,2.9850746268656656,27.34559170202735,False,-2.1162,1.3002,1,1,1,100.0,32.45492371705965,32.45492371705965,14.448410123296565,0.5515898767034334,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
4,75.17276405487195,69.87212043561817,300683,海特生物,bottom_area,2023-11-29,37.7,2023-11-27,36.4,3.571428571428583,5.2197802197802154,29.51200619674671,False,-0.6064,1.5628,1,1,1,100.0,16.532137518684582,16.532137518684582,11.428571428571416,3.571428571428583,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
5,74.78483997960643,70.5634920032529,000966,长源电力,bottom_area,2023-11-29,4.53,2023-10-24,4.34,4.377880184331807,9.907834101382482,27.424749163879607,True,-1.5217,0.5591,1,1,1,100.0,20.94117647058823,20.94117647058823,10.622119815668194,4.377880184331807,历史1/1次成功; 当前距低点4.38%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
6,71.99408855640226,68.65464730903544,600009,上海机场,bottom_area,2023-11-29,36.06,2023-10-23,34.36,4.947613504074513,10.593713620488943,29.777232781524628,True,-1.5561,0.3159,3,4,3,75.0,21.829065044759854,27.704918032786885,10.052386495925486,4.947613504074513,历史3/4次成功; 当前距低点4.95%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
7,71.79391706652734,63.41418542153835,000928,中钢国际,bottom_area,2023-11-29,6.02,2023-10-23,5.97,0.8375209380234475,7.705192629815745,31.06235565819862,True,-1.7945,1.453,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,14.162479061976551,0.8375209380234475,历史2/3次成功; 当前距低点0.84%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
8,66.18759874943889,63.061785341095664,300511,雪榕生物,bottom_area,2023-11-29,5.78,2023-10-30,5.51,4.900181488203276,8.34845735027223,27.212681638044923,True,-1.8676,1.6876,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,10.099818511796723,4.900181488203276,历史2/3次成功; 当前距低点4.90%; 最新日涨幅-1.87%; 状态bottom_area; 底部已确认
9,63.9057076706151,58.038690671031134,603326,我乐家居,bottom_area,2023-11-29,10.11,2023-11-02,9.88,2.327935222672051,9.00809716599189,30.909090909090907,True,-2.3188,1.9385,1,2,1,50.0,20.141843971631218,20.141843971631218,12.672064777327948,2.327935222672051,历史1/2次成功; 当前距低点2.33%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
10,62.42476849502915,56.47150739280751,002080,中材科技,bottom_area,2023-11-29,16.88,2023-10-26,16.53,2.117362371445843,9.074410163339381,27.244718309859145,True,-1.8034,0.4047,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,12.882637628554155,2.117362371445843,历史1/3次成功; 当前距低点2.12%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
11,61.9535817447326,57.84237969430804,600328,中盐化工,bottom_area,2023-11-29,7.9,2023-10-26,7.61,3.8107752956636007,8.147174770039422,28.207547169811313,True,-1.7413,0.8023,1,2,1,50.0,37.26315789473683,37.26315789473683,11.189224704336398,3.8107752956636007,历史1/2次成功; 当前距低点3.81%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
12,61.72254921091576,54.64005824838777,300337,银邦股份,bottom_area,2023-11-29,8.44,2023-11-28,8.36,0.956937799043063,3.5885167464114924,30.27522935779817,False,-0.3542,2.7832,1,2,1,50.0,34.09610983981694,34.09610983981694,14.043062200956935,0.956937799043063,历史1/2次成功; 当前距低点0.96%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
13,61.23627307766021,57.01940397350995,605086,龙高股份,bottom_area,2023-11-29,27.99,2023-11-28,27.0,3.666666666666661,4.33333333333334,32.21190057745418,False,0.6835,9.7795,1,2,1,50.0,17.79249448123621,17.79249448123621,11.333333333333337,3.666666666666661,历史1/2次成功; 当前距低点3.67%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
14,56.612132316015916,52.413422651960985,603178,圣龙股份,bottom_area,2023-11-29,39.99,2023-11-27,38.69,3.3600413543551415,11.915223571982423,30.28828828828829,True,-1.0883,10.585,1,3,1,33.33333333333333,21.994535519125673,21.994535519125673,11.639958645644857,3.3600413543551415,历史1/3次成功; 当前距低点3.36%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
15,56.337168259762294,49.830296052631574,605577,龙版传媒,bottom_area,2023-11-29,15.5,2023-11-29,15.36,0.911458333333337,5.273437500000015,30.181818181818183,False,-4.7912,14.9083,1,2,1,50.0,17.894736842105257,17.894736842105257,14.088541666666663,0.911458333333337,历史1/2次成功; 当前距低点0.91%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
