rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.29000973225499,78.20629035012556,002508,老板电器,bottom_area,2023-12-07,22.46,2023-12-06,22.16,1.3537906137184148,2.030685920577614,28.40064620355412,False,0.2679,0.4774,1,1,1,100.0,11.682435211846977,11.682435211846977,6.646209386281584,1.3537906137184148,历史1/1次成功; 当前距低点1.35%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,81.6461442709554,79.37744914470643,688303,大全能源,bottom_area,2023-12-07,29.53,2023-12-07,28.8,2.5347222222222237,2.8124999999999956,32.10749646393211,False,0.2036,1.4974,1,1,1,100.0,32.45492371705965,32.45492371705965,5.465277777777777,2.5347222222222237,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,80.31666964356141,74.7509883767866,300538,同益股份,bottom_area,2023-12-07,18.76,2023-12-07,18.71,0.2672367717798007,1.2827365045430166,28.587786259541982,False,-0.2128,3.5391,2,2,2,100.0,25.431657077658826,30.150753768844226,7.7327632282201995,0.2672367717798007,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
4,79.98788211399287,81.48545259410068,002137,实益达,bottom_area,2023-12-07,7.4,2023-11-30,7.05,4.964539007092206,5.6737588652482325,27.31958762886598,False,0.8174,9.3696,3,3,3,100.0,40.23979317349941,89.3034825870647,3.035460992907794,4.964539007092206,历史3/3次成功; 当前距低点4.96%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
5,79.44189193846121,78.08642939054977,605086,龙高股份,bottom_area,2023-12-07,27.56,2023-11-30,26.73,3.105125327347543,6.808829031051254,32.889781571679634,False,0.0,6.1728,2,2,2,100.0,15.839328693022429,17.79249448123621,4.894874672652457,3.105125327347543,历史2/2次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,79.16505381679576,75.94385009429867,002142,宁波银行,bottom_area,2023-12-07,21.03,2023-12-07,20.65,1.8401937046004968,2.32445520581114,28.988995873452545,False,-0.4733,0.6449,1,1,1,100.0,27.95425667090217,27.95425667090217,6.159806295399503,1.8401937046004968,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
7,78.16876258217745,76.24157263467323,688282,理工导航,bottom_area,2023-12-07,38.39,2023-12-06,37.38,2.7019796682717976,4.842161583734604,32.62436914203315,False,1.8302,6.2887,1,1,1,100.0,17.645625152327572,17.645625152327572,5.298020331728202,2.7019796682717976,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
8,77.33621340451616,74.04702177737039,300683,海特生物,bottom_area,2023-12-07,36.83,2023-12-06,36.2,1.7403314917126944,5.220994475138123,29.89930286599535,False,-1.7867,1.431,1,1,1,100.0,16.532137518684582,16.532137518684582,6.259668508287305,1.7403314917126944,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
9,76.41297951967746,76.71480827354056,600328,中盐化工,confirmed_rebound,2023-12-07,7.93,2023-10-26,7.61,4.204993429697758,8.147174770039422,28.207547169811313,True,0.507,0.7806,2,2,2,100.0,22.968781146513187,37.26315789473683,3.7950065703022418,4.204993429697758,历史2/2次成功; 当前距低点4.20%; 最新日涨幅0.51%; 状态confirmed_rebound; 底部已确认
10,76.26903617850836,71.95410009572157,603211,晋拓股份,bottom_area,2023-12-07,18.69,2023-12-07,18.51,0.9724473257698525,6.050783360345744,28.200155159038008,False,-5.4628,35.1652,3,3,3,100.0,12.587526873531388,15.200000000000008,7.027552674230147,0.9724473257698525,历史3/3次成功; 当前距低点0.97%; 最新日涨幅-5.46%; 状态bottom_area; 底部未确认
11,74.07454088749637,69.09171031515976,301448,开创电气,bottom_area,2023-12-07,36.95,2023-12-07,36.81,0.38033143167617645,3.776147785927738,32.07233806975456,False,-2.2487,12.7991,1,1,1,100.0,13.058419243986243,13.058419243986243,7.619668568323824,0.38033143167617645,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
12,73.59257799191565,74.35680066542136,300511,雪榕生物,confirmed_rebound,2023-12-07,5.76,2023-10-30,5.51,4.537205081669692,8.34845735027223,27.212681638044923,True,-1.0309,1.9721,3,3,3,100.0,20.170044363592744,29.220779220779214,3.4627949183303084,4.537205081669692,历史3/3次成功; 当前距低点4.54%; 最新日涨幅-1.03%; 状态confirmed_rebound; 底部已确认
13,70.77808616748591,65.96172395856091,603353,和顺石油,confirmed_rebound,2023-12-07,26.81,2023-12-07,26.72,0.3368263473053887,11.639221556886225,27.391304347826086,False,-9.7002,5.6653,3,4,3,75.0,20.294021668909693,27.079174983366617,7.663173652694612,0.3368263473053887,历史3/4次成功; 当前距低点0.34%; 最新日涨幅-9.70%; 状态confirmed_rebound; 底部未确认
