rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.20334491909584,79.62361414468214,000301,东方盛虹,bottom_area,2023-12-14,8.74,2023-12-14,8.72,0.22935779816513271,2.0642201834862353,29.27818329278183,False,-0.7946,0.3227,5,5,5,100.0,17.830913572573255,28.337639965546952,9.77064220183487,0.22935779816513271,历史5/5次成功; 当前距低点0.23%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
2,82.88068039589088,77.66711442742039,002508,老板电器,bottom_area,2023-12-14,21.72,2023-12-13,21.38,1.5902712815715616,4.303086997193647,30.920840064620357,False,0.9294,0.6067,1,1,1,100.0,11.682435211846977,11.682435211846977,8.409728718428438,1.5902712815715616,历史1/1次成功; 当前距低点1.59%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
3,81.61762361774964,75.72769201646872,002369,卓翼科技,bottom_area,2023-12-14,5.67,2023-12-11,5.61,1.069518716577533,4.099821746880562,27.984595635430036,False,-1.0471,3.7851,1,1,1,100.0,17.345132743362825,17.345132743362825,8.930481283422468,1.069518716577533,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
4,81.56847078537464,74.61640567158322,300538,同益股份,bottom_area,2023-12-14,18.45,2023-12-14,18.39,0.3262642740619832,1.957585644371938,29.809160305343507,False,-0.1083,3.466,2,2,2,100.0,25.431657077658826,30.150753768844226,9.673735725938018,0.3262642740619832,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
5,79.60470239551931,72.50441770327546,002142,宁波银行,bottom_area,2023-12-14,20.28,2023-12-14,20.26,0.09871668311944508,2.0730503455083813,30.330123796423646,False,-0.6856,0.4448,1,1,1,100.0,27.95425667090217,27.95425667090217,9.901283316880557,0.09871668311944508,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
6,79.58960570856176,75.77524377527912,601933,永辉超市,bottom_area,2023-12-14,2.96,2023-12-11,2.89,2.4221453287197177,4.844290657439435,27.56892230576441,False,1.3699,0.7622,1,1,1,100.0,11.70825335892515,11.70825335892515,7.577854671280283,2.4221453287197177,历史1/1次成功; 当前距低点2.42%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
7,78.1078426639327,71.91449472006911,300351,永贵电器,bottom_area,2023-12-14,19.67,2023-12-14,19.54,0.6653019447287747,4.912998976458551,27.896678966789672,False,-3.1034,11.3342,2,2,2,100.0,25.27625351640169,33.447979363714516,9.334698055271225,0.6653019447287747,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
8,77.86828481557318,73.12581560283688,002137,实益达,bottom_area,2023-12-14,7.17,2023-11-30,7.05,1.7021276595744694,5.6737588652482325,27.31958762886598,False,-0.1393,4.6015,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,8.297872340425531,1.7021276595744694,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
9,77.11233446580849,70.92419817503655,601628,中国人寿,bottom_area,2023-12-14,28.0,2023-12-11,27.83,0.6108515989938976,4.132231404958685,27.41262389149714,False,-0.8147,0.0481,1,1,1,100.0,25.736235595390532,25.736235595390532,9.389148401006103,0.6108515989938976,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
10,76.25613698633443,72.74917025862067,605188,国光连锁,bottom_area,2023-12-14,8.92,2023-12-08,8.7,2.5287356321839156,5.40229885057472,27.680798004987533,False,-0.2237,1.0054,1,1,1,100.0,19.218749999999993,19.218749999999993,7.471264367816086,2.5287356321839156,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
11,76.18268631618378,69.78289489654875,605117,德业股份,bottom_area,2023-12-14,55.73,2023-12-13,55.51,0.3963249864889189,4.233471446586203,27.532637075718014,False,-0.4288,3.9279,5,7,5,71.42857142857143,28.875277311984927,59.18895599654874,9.603675013511081,0.3963249864889189,历史5/7次成功; 当前距低点0.40%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
12,74.12632778326605,72.85904443084303,300683,海特生物,bottom_area,2023-12-14,37.37,2023-12-11,35.9,4.094707520891363,6.211699164345416,30.48024786986832,False,0.1877,1.0741,1,1,1,100.0,16.532137518684582,16.532137518684582,5.905292479108637,4.094707520891363,历史1/1次成功; 当前距低点4.09%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
