rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.72928895066265,75.44651049695761,002142,宁波银行,bottom_area,2023-12-15,20.39,2023-12-14,20.26,0.6416584402764017,3.405725567620917,30.330123796423646,False,0.5424,0.6658,1,1,1,100.0,27.95425667090217,27.95425667090217,14.358341559723598,0.6416584402764017,历史1/1次成功; 当前距低点0.64%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,85.53303433493353,76.98241134751774,002137,实益达,bottom_area,2023-12-15,7.18,2023-11-30,7.05,1.8439716312056722,5.6737588652482325,27.31958762886598,False,0.1395,4.1937,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,13.156028368794326,1.8439716312056722,历史2/3次成功; 当前距低点1.84%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
3,84.66825644801828,74.26872132080369,300351,永贵电器,bottom_area,2023-12-15,19.4,2023-12-15,19.31,0.4660797514241318,2.330398757120678,28.74538745387455,False,-1.3726,7.3482,2,2,2,100.0,25.27625351640169,33.447979363714516,14.533920248575868,0.4660797514241318,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
4,84.58011515928527,74.23157534515742,300538,同益股份,bottom_area,2023-12-15,18.27,2023-12-15,18.18,0.49504950495049427,2.5852585258525793,30.610687022900763,False,-0.9756,3.1254,2,2,2,100.0,25.431657077658826,30.150753768844226,14.504950495049505,0.49504950495049427,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
5,81.90197325667425,73.07577667422154,000301,东方盛虹,bottom_area,2023-12-15,8.83,2023-12-15,8.71,1.3777267508610702,3.099885189437423,29.359286293592856,False,1.0297,0.4185,3,5,3,60.0,21.059105732176175,28.337639965546952,13.62227324913893,1.3777267508610702,历史3/5次成功; 当前距低点1.38%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
6,81.82046332207051,71.57960600831,601628,中国人寿,bottom_area,2023-12-15,27.92,2023-12-11,27.83,0.3233920229967783,4.132231404958685,27.41262389149714,False,-0.2857,0.0459,1,1,1,100.0,25.736235595390532,25.736235595390532,14.67660797700322,0.3233920229967783,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
7,80.23989767714988,74.5705495689655,605188,国光连锁,bottom_area,2023-12-15,9.01,2023-12-08,8.7,3.563218390804604,5.40229885057472,27.680798004987533,False,1.009,1.041,1,1,1,100.0,19.218749999999993,19.218749999999993,11.436781609195396,3.563218390804604,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
8,78.43751495036092,69.12470989599,002369,卓翼科技,bottom_area,2023-12-15,5.63,2023-12-15,5.59,0.7155635062611813,1.9677996422182524,28.2413350449294,False,-0.7055,3.1573,1,1,1,100.0,17.345132743362825,17.345132743362825,14.284436493738816,0.7155635062611813,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
9,78.22826062776363,72.36868338908738,688282,理工导航,bottom_area,2023-12-15,38.62,2023-12-06,37.38,3.3172819689673485,10.058855002675221,32.62436914203315,True,-0.9997,2.0494,1,1,1,100.0,17.645625152327572,17.645625152327572,11.682718031032651,3.3172819689673485,历史1/1次成功; 当前距低点3.32%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
10,73.27816435289988,68.74255418014663,300683,海特生物,bottom_area,2023-12-15,37.36,2023-12-11,35.9,4.066852367688025,6.211699164345416,30.48024786986832,False,-0.0268,1.0965,1,1,1,100.0,16.532137518684582,16.532137518684582,10.933147632311973,4.066852367688025,历史1/1次成功; 当前距低点4.07%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
11,63.859463764541196,59.04080282177191,600328,中盐化工,bottom_area,2023-12-15,7.86,2023-10-26,7.61,3.28515111695138,8.147174770039422,28.207547169811313,True,-0.6321,0.4639,1,2,1,50.0,37.26315789473683,37.26315789473683,11.71484888304862,3.28515111695138,历史1/2次成功; 当前距低点3.29%; 最新日涨幅-0.63%; 状态bottom_area; 底部已确认
12,54.52211333333333,47.41053333333333,603211,晋拓股份,bottom_area,2023-12-15,17.6,2023-12-15,17.6,0.0,3.409090909090897,31.7300232738557,False,-2.4931,16.9571,1,3,1,33.33333333333333,15.200000000000008,15.200000000000008,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
