rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.88396069832301,90.51478804390072,002137,实益达,bottom_area,2023-12-19,7.04,2023-12-19,6.97,1.0043041606886698,1.5781922525107652,28.144329896907216,False,0.1422,3.0558,3,3,3,100.0,40.23979317349941,89.3034825870647,6.99569583931133,1.0043041606886698,历史3/3次成功; 当前距低点1.00%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,89.64767429045078,84.62931966198721,300351,永贵电器,bottom_area,2023-12-19,19.09,2023-12-19,18.9,1.005291005291012,2.010582010582024,30.258302583025838,False,0.21,5.8145,2,2,2,100.0,25.27625351640169,33.447979363714516,6.994708994708988,1.005291005291012,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,88.2123090397915,83.97760876825484,603032,德新科技,bottom_area,2023-12-19,16.88,2023-12-19,16.64,1.4423076923076827,2.1033653846153717,31.66324435318275,False,0.6559,1.5898,3,3,3,100.0,10.462743584496554,12.354085603112855,6.557692307692317,1.4423076923076827,历史3/3次成功; 当前距低点1.44%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
4,87.0014064934313,82.87936404868202,301499,维科精密,bottom_area,2023-12-19,30.24,2023-12-19,29.8,1.4765100671140863,1.8120805369127488,28.537170263788976,False,0.1325,4.6729,2,2,2,100.0,21.64412366506522,21.950454687989964,6.523489932885913,1.4765100671140863,历史2/2次成功; 当前距低点1.48%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,86.82895254268303,82.23367485346667,002459,晶澳科技,bottom_area,2023-12-19,18.11,2023-12-18,17.9,1.1731843575419043,3.3519553072625783,28.22774659182038,False,1.0603,1.3168,2,2,2,100.0,14.454490261624771,15.855457227138645,6.826815642458096,1.1731843575419043,历史2/2次成功; 当前距低点1.17%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
6,85.07613173459451,80.84041855574812,601628,中国人寿,bottom_area,2023-12-19,27.88,2023-12-18,27.51,1.3449654671028624,1.7084696474009409,28.2472613458529,False,0.2878,0.0415,1,1,1,100.0,25.736235595390532,25.736235595390532,6.655034532897138,1.3449654671028624,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
7,83.73100952552602,78.56869525321835,000301,东方盛虹,bottom_area,2023-12-19,8.73,2023-12-18,8.67,0.6920415224913552,1.7301038062283776,29.683698296836987,False,-0.2286,0.2158,5,5,5,100.0,17.830913572573255,28.337639965546952,7.307958477508644,0.6920415224913552,历史5/5次成功; 当前距低点0.69%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
8,83.32156532958703,79.1261354745918,600328,中盐化工,confirmed_rebound,2023-12-19,7.71,2023-10-26,7.61,1.3140604467805472,8.147174770039422,28.207547169811313,True,-0.2587,0.3718,2,2,2,100.0,22.968781146513187,37.26315789473683,6.685939553219453,1.3140604467805472,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-0.26%; 状态confirmed_rebound; 底部已确认
9,82.94177862916328,78.21741020144803,002706,良信股份,bottom_area,2023-12-19,8.49,2023-12-19,8.41,0.9512485136741982,1.9024970273483963,27.499999999999996,False,0.1179,0.6121,3,3,3,100.0,13.31320867002797,14.727153188691638,7.048751486325802,0.9512485136741982,历史3/3次成功; 当前距低点0.95%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
10,82.23619525727594,78.59482357509182,002369,卓翼科技,bottom_area,2023-12-19,5.56,2023-12-19,5.47,1.6453382084095038,2.0109689213894026,29.781771501925547,False,0.5425,2.7522,1,1,1,100.0,17.345132743362825,17.345132743362825,6.354661791590496,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
11,82.17447434816151,78.14202578219952,601933,永辉超市,bottom_area,2023-12-19,2.93,2023-12-11,2.89,1.3840830449827002,4.844290657439435,27.56892230576441,False,0.3425,0.2912,1,1,1,100.0,11.70825335892515,11.70825335892515,6.615916955017299,1.3840830449827002,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
12,82.10487542583546,77.79463228568277,000710,贝瑞基因,bottom_area,2023-12-19,11.84,2023-12-19,11.7,1.1965811965812014,3.162393162393171,28.61500915192191,False,-1.6611,5.7005,2,2,2,100.0,13.34858824670914,17.3469387755102,6.803418803418798,1.1965811965812014,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
13,81.84557096679997,77.73118403944612,300347,泰格医药,bottom_area,2023-12-19,53.02,2023-12-19,52.33,1.3185553219950408,2.0256067265430966,28.501161360841643,False,-0.1319,1.1758,2,2,2,100.0,14.502635341907641,20.78172934893761,6.68144467800496,1.3185553219950408,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
14,81.25667957169854,80.0161195782375,002309,中利集团,bottom_area,2023-12-19,2.58,2023-12-19,2.5,3.200000000000003,5.199999999999996,31.129476584022036,False,-1.9011,2.5738,4,4,4,100.0,16.51677192600807,30.136986301369873,4.799999999999997,3.200000000000003,历史4/4次成功; 当前距低点3.20%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
