rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,104.93042349502952,90.08647955646745,300480,光力科技,bottom_area,2023-12-27,20.61,2023-12-26,20.28,1.6272189349112343,3.6489151873767183,29.509906152241918,False,0.7331,1.9004,4,4,4,100.0,28.906122193898153,39.69465648854962,18.372781065088766,1.6272189349112343,历史4/4次成功; 当前距低点1.63%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,100.00621077542273,85.3910144927536,603013,亚普股份,bottom_area,2023-12-27,16.78,2023-12-21,16.56,1.328502415458952,4.166666666666675,27.208791208791215,False,0.7203,0.4939,1,1,1,100.0,53.30739299610896,53.30739299610896,18.67149758454105,1.328502415458952,历史1/1次成功; 当前距低点1.33%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
3,96.55207504030354,82.75061983592673,301499,维科精密,bottom_area,2023-12-27,28.48,2023-12-27,28.05,1.532976827094473,1.7468805704099766,32.73381294964029,False,0.565,4.0046,2,2,2,100.0,21.64412366506522,21.950454687989964,18.467023172905527,1.532976827094473,历史2/2次成功; 当前距低点1.53%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,95.42523630447732,83.31243541133937,688182,灿勤科技,bottom_area,2023-12-27,16.92,2023-12-26,16.5,2.545454545454556,3.636363636363645,29.001721170395868,False,1.4997,2.5807,2,2,2,100.0,37.0756547041707,49.999999999999986,17.454545454545446,2.545454545454556,历史2/2次成功; 当前距低点2.55%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
5,94.0442317018777,80.36112177758604,002451,摩恩电气,bottom_area,2023-12-27,6.66,2023-12-27,6.57,1.369863013698628,1.8264840182648419,30.476190476190467,False,0.9091,2.1131,1,1,1,100.0,23.464566929133863,23.464566929133863,18.630136986301373,1.369863013698628,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
6,92.9718541070153,81.62572715335163,002796,世嘉科技,bottom_area,2023-12-27,10.82,2023-12-26,10.52,2.8517110266159764,3.8973384030418265,28.092959671907046,False,2.0755,2.0657,2,2,2,100.0,31.7614424410541,36.33841886269071,17.148288973384023,2.8517110266159764,历史2/2次成功; 当前距低点2.85%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
7,90.9339208918543,77.28167354855331,601628,中国人寿,bottom_area,2023-12-27,27.33,2023-12-27,27.04,1.0724852071005886,3.069526627218942,29.47313510693793,False,-1.1573,0.0598,1,1,1,100.0,25.736235595390532,25.736235595390532,18.927514792899412,1.0724852071005886,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
8,86.74777511303269,74.73503995746613,300707,威唐工业,bottom_area,2023-12-27,16.81,2023-12-25,16.51,1.81708055723802,6.783767413688658,28.774805867126823,False,0.4782,4.2787,3,5,3,60.0,35.36550337617637,59.14285714285715,18.18291944276198,1.81708055723802,历史3/5次成功; 当前距低点1.82%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
9,86.41995816257652,73.5946854870547,600152,维科技术,bottom_area,2023-12-27,6.84,2023-12-27,6.76,1.1834319526627228,1.33136094674556,28.31389183457052,False,0.2933,0.8765,2,3,2,66.66666666666666,23.6894821099949,24.87644151565074,18.816568047337277,1.1834319526627228,历史2/3次成功; 当前距低点1.18%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
10,85.0946691339216,75.05400020956509,600199,金种子酒,bottom_area,2023-12-27,17.94,2023-12-21,17.4,3.103448275862085,5.000000000000006,27.1356783919598,False,-0.1114,0.9467,2,2,2,100.0,21.988506873820672,23.70304114490161,16.896551724137915,3.103448275862085,历史2/2次成功; 当前距低点3.10%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
11,85.03696273024242,75.29818277402961,600130,波导股份,bottom_area,2023-12-27,4.67,2023-12-26,4.52,3.318584070796468,3.539823008849561,27.564102564102573,False,2.8634,2.1862,1,1,1,100.0,20.13201320132014,20.13201320132014,16.68141592920353,3.318584070796468,历史1/1次成功; 当前距低点3.32%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
12,83.93874691025525,73.89291285400346,002129,TCL中环,bottom_area,2023-12-27,14.77,2023-12-21,14.34,2.998605299860528,6.136680613668067,27.502527805864514,False,-0.939,0.9493,1,1,1,100.0,31.12759643916912,31.12759643916912,17.00139470013947,2.998605299860528,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
13,83.65512158348078,70.42593956562798,002712,思美传媒,bottom_area,2023-12-27,5.43,2023-12-27,5.4,0.5555555555555437,5.37037037037037,28.476821192052977,False,-2.5135,5.9201,1,1,1,100.0,22.379603399433442,22.379603399433442,19.444444444444457,0.5555555555555437,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
14,77.36492940842298,66.85216644649937,000070,特发信息,bottom_area,2023-12-27,7.72,2023-12-26,7.57,1.9815059445178265,3.6988110964332805,27.00096432015428,False,1.7128,1.0353,1,2,1,50.0,50.60532687651331,50.60532687651331,18.018494055482176,1.9815059445178265,历史1/2次成功; 当前距低点1.98%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
15,76.97303701134565,66.26817755943664,000980,众泰汽车,bottom_area,2023-12-27,2.86,2023-12-27,2.81,1.7793594306049758,5.693950177935949,28.31632653061224,False,-1.0381,1.9931,2,4,2,50.0,33.52213473772031,43.49775784753364,18.220640569395023,1.7793594306049758,历史2/4次成功; 当前距低点1.78%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
16,75.88225546651644,65.0399243018233,000829,天音控股,bottom_area,2023-12-27,9.25,2023-12-27,9.11,1.5367727771679536,1.7563117453347987,29.105058365758758,False,0.8724,1.6582,1,2,1,50.0,34.80519480519481,34.80519480519481,18.46322722283205,1.5367727771679536,历史1/2次成功; 当前距低点1.54%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
17,74.47694692317178,64.2452896781354,000058,深赛格,bottom_area,2023-12-27,7.02,2023-12-27,6.89,1.8867924528301872,1.8867924528301872,27.320675105485236,False,1.7391,0.711,1,2,1,50.0,34.82352941176472,34.82352941176472,18.113207547169814,1.8867924528301872,历史1/2次成功; 当前距低点1.89%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
18,73.70066896281116,63.24059263258438,301371,敷尔佳,bottom_area,2023-12-27,36.88,2023-12-26,36.3,1.5977961432507035,2.920110192837472,27.544910179640723,False,1.458,3.0174,1,2,1,50.0,25.879396984924636,25.879396984924636,18.402203856749296,1.5977961432507035,历史1/2次成功; 当前距低点1.60%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
19,73.57681907683747,63.20112886566621,002406,远东传动,bottom_area,2023-12-27,6.14,2023-12-26,6.04,1.655629139072842,2.8145695364238397,27.66467065868263,False,1.4876,2.2564,1,2,1,50.0,26.376146788990813,26.376146788990813,18.34437086092716,1.655629139072842,历史1/2次成功; 当前距低点1.66%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
20,71.40011263814381,61.21965207026814,300363,博腾股份,bottom_area,2023-12-27,24.15,2023-12-26,23.78,1.5559293523969615,3.9108494533221183,27.18922229026331,False,-0.2066,0.8984,1,2,1,50.0,36.97403760071621,36.97403760071621,18.444070647603038,1.5559293523969615,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
21,70.23562146539435,60.283980276837134,300654,世纪天鸿,bottom_area,2023-12-27,10.71,2023-12-27,10.54,1.612903225806468,4.83870967741937,27.510316368638243,False,0.1871,6.6777,1,3,1,33.33333333333333,29.61325966850828,29.61325966850828,18.387096774193534,1.612903225806468,历史1/3次成功; 当前距低点1.61%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
22,68.29045145015449,57.246173587595806,002343,慈文传媒,bottom_area,2023-12-27,6.22,2023-12-27,6.2,0.32258064516128343,5.322580645161292,27.990708478513348,False,-1.5823,3.2769,1,2,1,50.0,40.33149171270718,40.33149171270718,19.67741935483872,0.32258064516128343,历史1/2次成功; 当前距低点0.32%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
23,67.61626818809154,58.04917369180487,300347,泰格医药,bottom_area,2023-12-27,51.89,2023-12-26,51.06,1.6255385820603176,6.28672150411281,30.236371088946573,False,-0.7839,1.231,1,2,1,50.0,20.78172934893761,20.78172934893761,18.374461417939685,1.6255385820603176,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
24,67.58165177546937,58.15313002281917,601858,中国科传,bottom_area,2023-12-27,23.82,2023-12-27,23.41,1.7513882956001714,2.1785561725758287,28.6280487804878,False,0.4639,1.1217,1,4,1,25.0,21.243523316062173,21.243523316062173,18.24861170439983,1.7513882956001714,历史1/4次成功; 当前距低点1.75%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
