rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.34797549024326,79.28446402211861,002708,光洋股份,bottom_area,2023-03-15,6.55,2023-03-14,6.37,2.8257456828885354,4.866562009419146,31.65236051502146,False,0.4601,1.0977,1,1,1,100.0,35.522388059701484,35.522388059701484,17.174254317111465,2.8257456828885354,历史1/1次成功; 当前距低点2.83%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
2,89.41888038474488,77.52095114320612,600152,维科技术,bottom_area,2023-03-15,11.35,2023-03-14,11.11,2.1602160216021624,4.590459045904589,27.33812949640288,False,-0.088,1.9429,2,2,2,100.0,23.6894821099949,24.87644151565074,17.83978397839784,2.1602160216021624,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
3,86.96307986055845,77.13834804031288,300707,威唐工业,bottom_area,2023-03-15,15.75,2023-03-14,15.23,3.414313854235059,6.106369008535783,31.6427289048474,False,0.639,3.5132,3,4,3,75.0,35.36550337617637,59.14285714285715,16.585686145764942,3.414313854235059,历史3/4次成功; 当前距低点3.41%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
4,86.44559224087673,74.58596115102442,300473,德尔股份,bottom_area,2023-03-15,17.71,2023-03-14,17.38,1.8987341772152007,4.718066743383201,29.919354838709683,False,-0.5615,2.0909,1,1,1,100.0,21.37137137137137,21.37137137137137,18.1012658227848,1.8987341772152007,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
5,78.107415430189,69.87870778453363,300382,斯莱克,bottom_area,2023-03-15,16.05,2023-03-14,15.45,3.8834951456310773,4.919093851132696,29.836512261580385,False,1.4539,0.9114,2,3,2,66.66666666666666,36.80865618228933,49.70059880239522,16.116504854368923,3.8834951456310773,历史2/3次成功; 当前距低点3.88%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
6,76.76779154854376,68.60466171072008,300745,欣锐科技,bottom_area,2023-03-15,39.92,2023-03-14,38.45,3.8231469440832213,6.319895968790636,29.604540461369456,False,0.7826,1.8454,2,3,2,66.66666666666666,29.21919396001701,36.150000000000006,16.17685305591678,3.8231469440832213,历史2/3次成功; 当前距低点3.82%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
7,75.87197468657781,65.1483055757225,300681,英搏尔,bottom_area,2023-03-15,32.32,2023-03-14,31.8,1.635220125786162,6.572327044025157,28.054298642533936,False,-0.95,3.1738,2,4,2,50.0,25.734448723198668,27.487589035182385,18.364779874213838,1.635220125786162,历史2/4次成功; 当前距低点1.64%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
8,72.50531755234621,63.626176506912955,688221,前沿生物,bottom_area,2023-03-15,13.83,2023-03-14,13.45,2.825278810408928,3.717472118959108,27.688172043010763,False,1.766,2.024,2,5,2,40.0,31.332323627125273,34.87394957983194,17.174721189591075,2.825278810408928,历史2/5次成功; 当前距低点2.83%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
9,71.39378430871456,62.144387151310234,002347,泰尔股份,bottom_area,2023-03-15,5.16,2023-03-14,5.04,2.3809523809523827,3.3730158730158712,28.8135593220339,False,1.3752,2.0061,1,2,1,50.0,29.585798816568047,29.585798816568047,17.619047619047617,2.3809523809523827,历史1/2次成功; 当前距低点2.38%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
10,65.32336974272455,58.24132522796353,002660,茂硕电源,bottom_area,2023-03-15,9.26,2023-03-14,8.93,3.695408734602464,5.375139977603589,28.15768302493966,False,2.3204,4.2343,1,2,1,50.0,24.71428571428572,24.71428571428572,16.304591265397537,3.695408734602464,历史1/2次成功; 当前距低点3.70%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
11,63.94602112947205,56.043374890911366,000887,中鼎股份,bottom_area,2023-03-15,12.68,2023-03-14,12.34,2.7552674230145855,7.374392220421395,27.154663518299888,False,-0.1575,1.2407,1,2,1,50.0,23.84615384615385,23.84615384615385,17.244732576985417,2.7552674230145855,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
