rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.69480521442631,79.6484756418083,688236,春立医疗,bottom_area,2023-07-05,24.4,2023-06-28,23.72,2.866779089376053,7.082630691399662,32.228571428571435,True,0.082,2.1757,1,1,1,100.0,28.788881535407025,28.788881535407025,17.133220910623947,2.866779089376053,历史1/1次成功; 当前距低点2.87%; 最新日涨幅0.08%; 状态bottom_area; 底部已确认
2,86.54442225036938,72.49210626641766,002343,慈文传媒,bottom_area,2023-07-05,7.15,2023-07-05,7.13,0.2805049088359111,4.0673211781206176,27.76089159067882,False,-3.6388,7.0775,1,1,1,100.0,40.33149171270718,40.33149171270718,19.71949509116409,0.2805049088359111,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.64%; 状态bottom_area; 底部未确认
3,84.05360638147366,74.00519463312301,300661,圣邦股份,bottom_area,2023-07-05,83.93,2023-07-03,81.48,3.00687285223368,6.529209621993118,27.145922746781114,False,-2.111,0.6193,1,1,1,100.0,31.832606108687024,31.832606108687024,16.99312714776632,3.00687285223368,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
4,82.43743531517826,74.42811103100217,600935,华塑股份,bottom_area,2023-07-05,3.81,2023-06-27,3.65,4.383561643835621,6.575342465753431,28.571428571428577,False,0.2632,0.1957,1,1,1,100.0,28.50877192982458,28.50877192982458,15.61643835616438,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
5,79.49218026667357,72.25709854468914,002041,登海种业,bottom_area,2023-07-05,15.42,2023-06-29,14.72,4.75543478260869,4.959239130434773,30.56603773584905,False,0.1949,0.3046,1,1,1,100.0,21.395106715252467,21.395106715252467,15.244565217391312,4.75543478260869,历史1/1次成功; 当前距低点4.76%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
6,79.14581863141728,70.53389037336608,002063,远光软件,bottom_area,2023-07-05,7.06,2023-07-03,6.81,3.671071953010279,6.02055800293686,29.136316337148806,False,-0.8427,1.3176,1,1,1,100.0,21.311475409836078,21.311475409836078,16.32892804698972,3.671071953010279,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
7,77.81923577657527,70.12998396344085,600995,南网储能,bottom_area,2023-07-05,11.2,2023-06-07,10.74,4.283054003724386,6.983240223463687,32.7909887359199,False,-1.1474,1.1052,1,1,1,100.0,26.64165103189493,26.64165103189493,15.716945996275616,4.283054003724386,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
8,75.87841643021983,68.88231548397292,601086,国芳集团,bottom_area,2023-07-05,4.47,2023-06-26,4.27,4.683840749414524,6.791569086651056,28.83333333333334,False,-0.8869,0.9184,1,1,1,100.0,24.846625766871185,24.846625766871185,15.316159250585477,4.683840749414524,历史1/1次成功; 当前距低点4.68%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
9,68.63543048952741,60.45607866953191,002545,东方铁塔,bottom_area,2023-07-05,7.14,2023-06-26,6.93,3.03030303030303,3.4632034632034667,27.58620689655173,False,0.5634,0.6164,1,2,1,50.0,28.468653648509758,28.468653648509758,16.969696969696972,3.03030303030303,历史1/2次成功; 当前距低点3.03%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
10,68.26394845099487,62.17281471909513,605266,健之佳,bottom_area,2023-07-05,62.1,2023-07-04,59.22,4.8632218844984845,5.369807497467072,32.11051243838129,False,1.5536,1.0076,2,4,2,50.0,26.833121590062774,33.154615273148806,15.136778115501517,4.8632218844984845,历史2/4次成功; 当前距低点4.86%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
11,65.97331585209594,57.42887203411075,002299,圣农发展,bottom_area,2023-07-05,18.9,2023-06-26,18.46,2.3835319609967374,4.821235102925247,27.00672202451561,False,-1.3055,0.4532,1,2,1,50.0,26.73830594184577,26.73830594184577,17.616468039003262,2.3835319609967374,历史1/2次成功; 当前距低点2.38%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
12,65.93251940995555,59.77688435108925,688156,路德科技,bottom_area,2023-07-05,27.21,2023-07-03,26.01,4.6136101499423265,9.765474817377928,27.72992497916088,False,0.443,1.4101,1,2,1,50.0,44.22535211267606,44.22535211267606,15.386389850057675,4.6136101499423265,历史1/2次成功; 当前距低点4.61%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
13,65.63507056520038,55.10241566031181,688228,开普云,bottom_area,2023-07-05,49.7,2023-07-03,49.5,0.40404040404040975,5.05050505050505,30.962343096234314,False,-1.9917,4.3866,1,2,1,50.0,29.80445043830074,29.80445043830074,19.59595959595959,0.40404040404040975,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
14,62.736999916294266,57.19704877291084,000792,盐湖股份,bottom_area,2023-07-05,19.41,2023-05-30,18.5,4.91891891891892,7.5675675675675595,29.49695121951219,True,0.2583,0.4378,1,2,1,50.0,24.904214559386965,24.904214559386965,15.081081081081082,4.91891891891892,历史1/2次成功; 当前距低点4.92%; 最新日涨幅0.26%; 状态bottom_area; 底部已确认
15,61.74003625334471,55.94884048395308,002395,双象股份,bottom_area,2023-07-05,11.4,2023-06-26,10.9,4.587155963302751,8.34862385321101,29.677419354838708,True,-1.9776,2.4965,1,2,1,50.0,36.59976387249114,36.59976387249114,15.412844036697248,4.587155963302751,历史1/2次成功; 当前距低点4.59%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
16,60.041060420617306,54.317301742387244,603000,人民网,bottom_area,2023-07-05,27.9,2023-07-03,26.7,4.494382022471908,12.958801498127345,27.029242962558087,True,-2.3109,5.9528,1,2,1,50.0,26.69082125603866,26.69082125603866,15.505617977528093,4.494382022471908,历史1/2次成功; 当前距低点4.49%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
17,53.560973197249524,48.739291384899566,603335,迪生力,bottom_area,2023-07-05,6.53,2023-06-27,6.23,4.815409309791329,8.18619582664526,27.134502923976612,True,-2.6826,4.995,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,15.18459069020867,4.815409309791329,历史1/3次成功; 当前距低点4.82%; 最新日涨幅-2.68%; 状态bottom_area; 底部已确认
