rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.06003000794749,86.05601062466481,000411,英特集团,bottom_area,2023-08-23,11.7,2023-08-22,11.44,2.272727272727271,5.419580419580428,27.594936708860768,False,0.3431,5.5815,3,3,3,100.0,31.816283905822544,47.98426745329401,17.72727272727273,2.272727272727271,历史3/3次成功; 当前距低点2.27%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,89.58892856442212,74.75972367438388,002150,正泰电源,bottom_area,2023-08-23,13.4,2023-08-23,13.39,0.07468259895444201,3.7341299477221805,30.26041666666666,False,-3.8737,1.3586,1,1,1,100.0,164.87025948103792,164.87025948103792,19.925317401045557,0.07468259895444201,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
3,87.34126885116395,72.96179560578065,002755,奥赛康,bottom_area,2023-08-23,7.54,2023-08-23,7.53,0.1328021248339945,2.3904382470119483,32.526881720430104,False,-1.8229,0.1691,1,1,1,100.0,30.831099195710454,30.831099195710454,19.867197875166006,0.1328021248339945,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
4,86.59196907830025,72.15997423191688,603212,赛伍技术,bottom_area,2023-08-23,16.16,2023-08-23,16.16,0.0,3.1559405940594156,28.65342163355408,False,-3.2914,1.1759,2,2,2,100.0,30.698786193101522,32.01038575667657,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
5,86.30486164278688,75.28721973094173,603015,弘讯科技,bottom_area,2023-08-23,8.61,2023-08-17,8.4,2.499999999999989,8.095238095238091,29.883138564273786,True,-2.0478,1.065,1,1,1,100.0,23.318385650224208,23.318385650224208,17.500000000000014,2.499999999999989,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
6,84.90985340626685,71.00151855635004,002519,银河电子,bottom_area,2023-08-23,5.35,2023-08-17,5.34,0.18726591760299227,4.494382022471914,28.03234501347709,False,-2.3723,1.101,1,1,1,100.0,20.959595959595962,20.959595959595962,19.81273408239701,0.18726591760299227,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
7,84.27106844559182,71.43233234240974,688328,深科达,bottom_area,2023-08-23,21.71,2023-08-23,21.51,0.9298000929800059,4.974430497443034,31.649189704480452,False,-3.1236,3.4288,2,2,2,100.0,25.92621803443088,29.170984455958543,19.070199907019994,0.9298000929800059,历史2/2次成功; 当前距低点0.93%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
8,84.011017522119,71.16202706776298,688300,联瑞新材,bottom_area,2023-08-23,40.74,2023-08-22,40.38,0.8915304606240699,4.531946508172358,30.974358974358967,False,-3.4597,0.2381,2,2,2,100.0,24.003852247235756,26.809910956252438,19.108469539375932,0.8915304606240699,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
9,82.2061562881563,69.51661538461539,002819,东方中科,bottom_area,2023-08-23,25.2,2023-08-22,25.0,0.7999999999999973,3.920000000000002,28.57142857142857,False,-2.3634,0.4761,1,1,1,100.0,20.487179487179493,20.487179487179493,19.200000000000003,0.7999999999999973,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
10,82.10856733356998,68.98257512929227,002451,摩恩电气,bottom_area,2023-08-23,6.79,2023-08-23,6.76,0.44378698224852436,6.213017751479289,28.767123287671236,False,-7.9946,13.6758,1,1,1,100.0,23.464566929133863,23.464566929133863,19.556213017751478,0.44378698224852436,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-7.99%; 状态bottom_area; 底部未确认
11,81.36301158301158,67.80250965250966,002219,新里程,bottom_area,2023-08-23,3.54,2023-08-23,3.54,0.0,3.107344632768358,31.923076923076927,False,-3.0137,0.452,1,1,1,100.0,23.938223938223942,23.938223938223942,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
