rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.72257628834602,86.75572375753356,603212,赛伍技术,bottom_area,2023-08-28,16.01,2023-08-25,15.81,1.2650221378874198,7.5268817204301035,30.198675496688736,True,0.4391,1.6737,2,2,2,100.0,30.698786193101522,32.01038575667657,18.734977862112583,1.2650221378874198,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
2,99.15834660025267,84.96021244309559,002150,正泰电源,bottom_area,2023-08-28,13.38,2023-08-25,13.18,1.5174506828528156,6.752655538694998,31.354166666666668,False,0.9811,1.8708,1,1,1,100.0,164.87025948103792,164.87025948103792,18.482549317147186,1.5174506828528156,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
3,98.59419203182088,84.26201281314927,002339,积成电子,bottom_area,2023-08-28,6.62,2023-08-25,6.53,1.3782542113323102,5.359877488514543,27.201783723522855,False,1.0687,1.9988,3,4,3,75.0,48.70662588702658,82.94930875576038,18.621745788667692,1.3782542113323102,历史3/4次成功; 当前距低点1.38%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,96.96061746537103,83.62143095615802,600338,西藏珠峰,bottom_area,2023-08-28,14.13,2023-08-25,13.87,1.874549387166558,6.200432588320124,28.320413436692515,False,1.2178,1.7667,2,2,2,100.0,30.512922359665453,31.213191990577155,18.125450612833443,1.874549387166558,历史2/2次成功; 当前距低点1.87%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
5,96.3350723474529,85.33447204022642,000411,英特集团,bottom_area,2023-08-28,11.76,2023-08-24,11.38,3.3391915641476184,7.029876977152889,27.974683544303797,True,0.5128,5.1395,3,3,3,100.0,31.816283905822544,47.98426745329401,16.66080843585238,3.3391915641476184,历史3/3次成功; 当前距低点3.34%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
6,96.22636652247049,82.74419279136991,600148,长春一东,bottom_area,2023-08-28,14.84,2023-08-25,14.59,1.7135023989033584,5.620287868403018,27.340637450199196,False,1.4354,1.4424,1,1,1,100.0,40.489130434782616,40.489130434782616,18.286497601096645,1.7135023989033584,历史1/1次成功; 当前距低点1.71%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
7,94.28626128851364,84.49168391721828,000620,盈新发展,bottom_area,2023-08-28,1.57,2023-08-25,1.51,3.973509933774838,7.947019867549661,27.403846153846157,True,1.2903,2.7563,3,3,3,100.0,35.0606804635748,58.4192439862543,16.026490066225165,3.973509933774838,历史3/3次成功; 当前距低点3.97%; 最新日涨幅1.29%; 状态bottom_area; 底部已确认
8,91.13844887841061,79.36795343435938,002755,奥赛康,bottom_area,2023-08-28,7.66,2023-08-24,7.48,2.4064171122994615,5.347593582887693,32.97491039426523,False,1.5915,0.3527,1,1,1,100.0,30.831099195710454,30.831099195710454,17.59358288770054,2.4064171122994615,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
9,90.57306923904612,79.01750218952532,002519,银河电子,bottom_area,2023-08-28,5.32,2023-08-25,5.19,2.5048169556840056,7.707129094412321,30.053908355795144,True,1.7208,2.0158,1,1,1,100.0,20.959595959595962,20.959595959595962,17.495183044315997,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.72%; 状态bottom_area; 底部已确认
10,89.96970582802332,78.72168926210604,301499,维科精密,bottom_area,2023-08-28,32.74,2023-08-25,31.89,2.665412354970215,11.06930072122923,31.654522074582076,True,0.5837,21.3055,1,1,1,100.0,21.337792642140478,21.337792642140478,17.334587645029785,2.665412354970215,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
11,88.2207368722362,74.57347152529036,300514,友讯达,bottom_area,2023-08-28,11.65,2023-08-25,11.56,0.7785467128027669,7.266435986159168,27.795128044971896,True,-0.0858,2.9199,1,1,1,100.0,38.21805392731536,38.21805392731536,19.221453287197235,0.7785467128027669,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
