rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.5497600873832,83.75904146026156,000411,英特集团,bottom_area,2023-10-18,11.63,2023-08-24,11.38,2.196836555360281,9.490333919156415,27.974683544303797,True,-2.7592,1.8792,3,3,3,100.0,31.816283905822544,47.98426745329401,17.80316344463972,2.196836555360281,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-2.76%; 状态bottom_area; 底部已确认
2,93.19498845625216,79.77915884944284,000058,深赛格,bottom_area,2023-10-18,6.91,2023-09-22,6.81,1.4684287812041195,7.782672540381795,27.16577540106952,True,-2.4011,1.7669,1,1,1,100.0,34.82352941176472,34.82352941176472,18.531571218795882,1.4684287812041195,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
3,88.85828516452027,74.37794188861987,000663,永安林业,bottom_area,2023-10-18,8.28,2023-10-18,8.26,0.24213075060532172,3.9951573849878943,27.35268249780123,False,-3.3839,1.7984,1,1,1,100.0,50.39215686274511,50.39215686274511,19.75786924939468,0.24213075060532172,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
4,86.77095817524052,73.25999905709936,601226,华电科工,bottom_area,2023-10-18,5.65,2023-10-18,5.61,0.7130124777183606,3.3868092691622014,31.16564417177914,False,-2.7539,0.4544,1,1,1,100.0,39.54659949622166,39.54659949622166,19.286987522281642,0.7130124777183606,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
5,86.00168766382549,72.58380498863548,301313,凡拓数创,bottom_area,2023-10-18,27.61,2023-10-18,27.42,0.6929248723559362,2.4799416484318004,31.875776397515526,False,-1.9879,4.4496,3,4,3,75.0,39.831579019392564,52.43243243243245,19.307075127644065,0.6929248723559362,历史3/4次成功; 当前距低点0.69%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
6,85.57009615384615,71.30841346153846,600004,白云机场,bottom_area,2023-10-18,10.5,2023-10-18,10.5,0.0,1.6190476190476182,28.8135593220339,False,-1.6854,0.403,1,1,1,100.0,32.57211538461537,32.57211538461537,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
7,84.61706904567632,70.51422420473027,300437,清水源,bottom_area,2023-10-18,12.02,2023-10-18,12.02,0.0,5.158069883527463,28.367103694874857,False,-4.6788,2.4314,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,20.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
8,84.41963877511976,70.45204611440361,001322,箭牌家居,bottom_area,2023-10-18,12.62,2023-10-18,12.61,0.07930214115780956,3.0927835051546437,27.942857142857147,False,-3.1466,3.6234,1,1,1,100.0,26.897069872276486,26.897069872276486,19.920697858842193,0.07930214115780956,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
9,83.91468672156006,70.7539835714328,688220,翱捷科技,bottom_area,2023-10-18,58.17,2023-10-18,57.8,0.6401384083045062,3.6678200692041605,28.287841191067,False,-2.5465,0.7605,1,1,1,100.0,25.180102915951984,25.180102915951984,19.359861591695495,0.6401384083045062,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
10,83.18450121851045,70.11687119630035,000524,岭南控股,bottom_area,2023-10-18,8.07,2023-10-17,8.02,0.6234413965087371,3.366583541147127,28.392857142857142,False,-1.4652,0.8487,1,1,1,100.0,21.550094517958406,21.550094517958406,19.376558603491265,0.6234413965087371,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
11,73.02434100879954,60.94769899610044,600009,上海机场,bottom_area,2023-10-18,35.63,2023-10-18,35.6,0.0842696629213515,1.68539325842697,27.24300020437359,False,-1.9268,0.4208,2,4,2,50.0,23.97760122344691,27.704918032786885,19.91573033707865,0.0842696629213515,历史2/4次成功; 当前距低点0.08%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
