rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.8033202643542,79.89155396670493,600048,保利发展,bottom_area,2023-11-02,10.89,2023-10-30,10.7,1.7757009345794512,4.018691588785061,28.139691067830768,False,-0.457,0.4565,2,2,2,100.0,31.721247836269217,31.987577639751546,18.22429906542055,1.7757009345794512,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
2,90.95098047266654,76.18593220338985,002685,华东重机,bottom_area,2023-11-02,3.55,2023-11-02,3.54,0.28248587570620864,2.542372881355928,27.01030927835051,False,-1.3889,2.9986,1,1,1,100.0,109.52380952380952,109.52380952380952,19.717514124293793,0.28248587570620864,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
3,89.34659035976397,74.59682249479287,688023,安恒信息,bottom_area,2023-11-02,116.12,2023-10-30,116.0,0.10344827586207289,5.36206896551724,29.6159213639949,False,-2.025,0.6198,1,1,1,100.0,39.261744966442954,39.261744966442954,19.89655172413793,0.10344827586207289,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
4,86.59413866981944,72.57499388777163,000938,紫光股份,bottom_area,2023-11-02,19.32,2023-11-02,19.26,0.31152647975077213,2.5960539979231565,28.161133905259224,False,-1.1765,1.3294,1,1,1,100.0,30.942334739803094,30.942334739803094,19.68847352024923,0.31152647975077213,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
5,86.44059871555952,75.9511777478287,601155,新城控股,bottom_area,2023-11-02,11.73,2023-10-20,11.4,2.8947368421052637,6.052631578947364,27.06333973128599,False,-0.9291,0.5396,2,2,2,100.0,24.2536438055306,24.642857142857142,17.105263157894736,2.8947368421052637,历史2/2次成功; 当前距低点2.89%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
6,81.72682065393465,72.99938964970876,001322,箭牌家居,bottom_area,2023-11-02,12.58,2023-10-23,12.12,3.7953795379538025,8.333333333333346,30.74285714285715,True,-1.6419,2.011,1,1,1,100.0,26.897069872276486,26.897069872276486,16.204620462046197,3.7953795379538025,历史1/1次成功; 当前距低点3.80%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
7,81.47397235978073,73.2459628686531,600004,白云机场,bottom_area,2023-11-02,10.54,2023-10-23,10.12,4.150197628458498,9.584980237154157,31.38983050847458,True,-0.7533,0.3343,1,1,1,100.0,32.57211538461537,32.57211538461537,15.849802371541502,4.150197628458498,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
8,76.43958429722038,66.73109568592325,300511,雪榕生物,bottom_area,2023-11-02,5.65,2023-10-30,5.51,2.540834845735038,4.355716878402908,27.212681638044923,False,-1.0508,1.6907,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,17.459165154264962,2.540834845735038,历史2/3次成功; 当前距低点2.54%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
9,75.9449387830446,69.3001131215916,300353,东土科技,bottom_area,2023-11-02,9.72,2023-10-24,9.26,4.967602591792666,9.503239740820742,27.372549019607845,True,-1.4199,1.348,1,1,1,100.0,21.377672209026137,21.377672209026137,15.032397408207334,4.967602591792666,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
10,66.88268047337276,57.182999999999986,002366,融发核电,bottom_area,2023-11-02,5.07,2023-10-23,5.0,1.4000000000000057,8.000000000000007,28.469241773962807,True,-1.7442,0.9761,1,4,1,25.0,25.0,25.0,18.599999999999994,1.4000000000000057,历史1/4次成功; 当前距低点1.40%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
11,65.5190144331856,56.187843548634,300454,深信服,bottom_area,2023-11-02,81.7,2023-10-27,80.44,1.5663848831427216,6.364992541024373,27.150878464046375,False,-1.245,0.5638,1,3,1,33.33333333333333,29.49391262831224,29.49391262831224,18.43361511685728,1.5663848831427216,历史1/3次成功; 当前距低点1.57%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
12,62.34071544812749,55.83277391244208,600328,中盐化工,bottom_area,2023-11-02,7.91,2023-10-26,7.61,3.942181340341653,6.17608409986859,28.207547169811313,False,-0.7528,0.4048,1,2,1,50.0,37.26315789473683,37.26315789473683,16.05781865965835,3.942181340341653,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
13,62.33565957446808,51.946382978723406,603326,我乐家居,bottom_area,2023-11-02,9.88,2023-11-02,9.88,0.0,2.1255060728744843,30.909090909090907,False,-1.3972,1.9455,1,2,1,50.0,20.141843971631218,20.141843971631218,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
