rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,102.71588447300839,87.24389254372412,300480,光力科技,bottom_area,2024-01-04,20.39,2023-12-28,20.18,1.0406342913776059,6.045589692765108,29.85749044143205,False,-1.924,1.0753,4,4,4,100.0,28.906122193898153,39.69465648854962,18.959365708622393,1.0406342913776059,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
2,94.59552023501813,79.17383425783906,605133,嵘泰股份,bottom_area,2024-01-04,25.3,2024-01-04,25.24,0.2377179080824179,2.4167987321711686,29.51689472214466,False,-1.633,4.655,2,2,2,100.0,48.8485542379945,60.01483679525222,19.762282091917584,0.2377179080824179,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
3,91.41870387680174,79.12262089922025,600199,金种子酒,bottom_area,2024-01-04,17.76,2023-12-21,17.4,2.0689655172413968,8.10344827586207,27.1356783919598,True,-1.8785,1.1717,2,2,2,100.0,21.988506873820672,23.70304114490161,17.931034482758605,2.0689655172413968,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-1.88%; 状态bottom_area; 底部已确认
4,90.22148646883468,79.41799951507112,301499,维科精密,bottom_area,2024-01-04,28.89,2023-12-27,28.05,2.994652406417112,5.347593582887701,32.73381294964029,False,0.5919,3.7381,2,2,2,100.0,21.64412366506522,21.950454687989964,17.00534759358289,2.994652406417112,历史2/2次成功; 当前距低点2.99%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
5,87.63319253730005,74.81561906602565,601628,中国人寿,bottom_area,2024-01-04,26.85,2024-01-04,26.5,1.3207547169811376,6.339622641509433,30.88158581116328,False,-4.4824,0.13,1,1,1,100.0,25.736235595390532,25.736235595390532,18.679245283018865,1.3207547169811376,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
6,86.21263379966354,78.0626408237432,603013,亚普股份,bottom_area,2024-01-04,17.26,2023-12-28,16.51,4.5427013930950935,5.330102967898237,27.428571428571423,False,1.4101,0.7884,1,1,1,100.0,53.30739299610896,53.30739299610896,15.457298606904907,4.5427013930950935,历史1/1次成功; 当前距低点4.54%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
7,81.34877395023368,72.32375799526855,600130,波导股份,bottom_area,2024-01-04,4.68,2023-12-26,4.52,3.539823008849561,7.300884955752214,27.564102564102573,True,-0.8475,1.2653,1,1,1,100.0,20.13201320132014,20.13201320132014,16.46017699115044,3.539823008849561,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
8,81.1381737092613,68.36340088682728,002409,雅克科技,bottom_area,2024-01-04,50.25,2024-01-04,49.95,0.6006006006005948,4.104104104104098,28.754813863928106,False,-3.1419,2.841,1,1,1,100.0,22.057904603207675,22.057904603207675,19.399399399399407,0.6006006006005948,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
9,76.07831132198251,66.3554017587249,000980,众泰汽车,bottom_area,2024-01-04,2.88,2023-12-27,2.81,2.4911032028469693,8.540925266903907,28.31632653061224,True,-1.0309,1.2488,2,4,2,50.0,33.52213473772031,43.49775784753364,17.50889679715303,2.4911032028469693,历史2/4次成功; 当前距低点2.49%; 最新日涨幅-1.03%; 状态bottom_area; 底部已确认
10,73.39447537106307,62.92965207026814,300363,博腾股份,bottom_area,2024-01-04,24.15,2023-12-26,23.78,1.5559293523969615,7.232968881412948,27.18922229026331,True,-1.5491,0.9025,1,2,1,50.0,36.97403760071621,36.97403760071621,18.444070647603038,1.5559293523969615,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
11,72.6334350940518,64.14146631439897,000070,特发信息,bottom_area,2024-01-04,7.81,2023-12-26,7.57,3.1704095112285247,5.680317040951119,27.00096432015428,False,0.1282,1.1908,1,2,1,50.0,50.60532687651331,50.60532687651331,16.829590488771476,3.1704095112285247,历史1/2次成功; 当前距低点3.17%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
12,61.92025742447271,55.43248851703234,000058,深赛格,bottom_area,2024-01-04,7.16,2023-12-27,6.89,3.9187227866473218,5.370101596516692,27.320675105485236,False,-0.2786,0.599,1,2,1,50.0,34.82352941176472,34.82352941176472,16.081277213352678,3.9187227866473218,历史1/2次成功; 当前距低点3.92%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
13,61.071110578242006,53.48491602644274,601858,中国科传,bottom_area,2024-01-04,23.83,2023-12-28,23.2,2.715517241379306,7.974137931034489,29.268292682926827,True,-2.5756,0.9387,1,4,1,25.0,21.243523316062173,21.243523316062173,17.284482758620694,2.715517241379306,历史1/4次成功; 当前距低点2.72%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
