rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.48255393535024,82.77277882353683,605218,伟时电子,bottom_area,2024-01-12,20.71,2024-01-12,20.48,1.123046875000002,5.273437499999992,29.887024991441287,False,-2.9522,3.9121,3,3,3,100.0,22.54476182009046,42.36874236874236,6.876953124999999,1.123046875000002,历史3/3次成功; 当前距低点1.12%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
2,85.46493869988863,81.24878550606063,000070,特发信息,bottom_area,2024-01-12,7.4,2024-01-10,7.3,1.3698630136986376,3.2876712328767157,29.604628736740597,False,-1.4647,0.8903,2,2,2,100.0,34.04340417899739,50.60532687651331,6.6301369863013635,1.3698630136986376,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
3,85.18767754403027,84.42816314465664,300745,欣锐科技,bottom_area,2024-01-12,24.9,2024-01-10,24.05,3.5343035343035254,6.320166320166318,27.777777777777768,False,1.1784,2.705,4,4,4,100.0,21.862232273487457,36.150000000000006,4.465696465696475,3.5343035343035254,历史4/4次成功; 当前距低点3.53%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
4,83.97374252942447,78.95313304357653,688079,美迪凯,bottom_area,2024-01-12,10.14,2024-01-12,10.06,0.7952286282306169,3.0815109343936253,28.55113636363636,False,-2.6871,2.7407,4,4,4,100.0,21.162657612593186,30.064655172413808,7.204771371769383,0.7952286282306169,历史4/4次成功; 当前距低点0.80%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
5,82.97841266743592,82.59964771850714,688111,金山办公,bottom_area,2024-01-12,257.33,2024-01-10,248.0,3.7620967741935423,6.346774193548391,29.541451218819255,False,0.2454,0.5149,4,4,4,100.0,14.823808406819378,27.68058076225045,4.237903225806458,3.7620967741935423,历史4/4次成功; 当前距低点3.76%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,82.72713034695381,79.63534883720928,603013,亚普股份,bottom_area,2024-01-12,16.67,2024-01-10,16.34,2.0195838433292645,3.671970624235015,28.175824175824175,False,-0.6555,0.3993,1,1,1,100.0,53.30739299610896,53.30739299610896,5.980416156670736,2.0195838433292645,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
7,81.7133028686707,77.14322140876614,002355,兴民智通,bottom_area,2024-01-12,5.01,2024-01-10,4.96,1.0080645161290287,3.83064516129033,28.427128427128423,False,-1.9569,2.0903,4,5,4,80.0,17.535529599679155,21.138211382113823,6.9919354838709715,1.0080645161290287,历史4/5次成功; 当前距低点1.01%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
8,81.67737304309634,78.57802798389855,300601,康泰生物,bottom_area,2024-01-12,25.13,2024-01-09,24.64,1.9886363636363573,6.006493506493507,27.911059098888234,False,-1.451,0.9682,3,3,3,100.0,10.602789747255038,11.580726965342352,6.011363636363642,1.9886363636363573,历史3/3次成功; 当前距低点1.99%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
9,81.39178959074522,77.54928496271725,688072,拓荆科技,bottom_area,2024-01-12,198.09,2024-01-10,195.19,1.4857318510169608,5.794354218966137,27.643090154211148,False,-0.9996,1.2626,2,2,2,100.0,15.573943994816789,19.9367088607595,6.51426814898304,1.4857318510169608,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
10,81.19789078025403,75.62324661863839,603286,日盈电子,bottom_area,2024-01-12,23.17,2024-01-11,23.1,0.30303030303030426,3.0735930735930617,31.37254901960783,False,-1.3623,2.3508,3,3,3,100.0,13.893310266384404,16.874999999999986,7.696969696969696,0.30303030303030426,历史3/3次成功; 当前距低点0.30%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
11,81.08317493367977,80.00887506149117,300454,深信服,bottom_area,2024-01-12,65.3,2024-01-10,63.21,3.3064388546116064,5.995886726783736,30.52319191030996,False,-0.9556,1.0718,4,4,4,100.0,17.782557258094812,29.49391262831224,4.693561145388394,3.3064388546116064,历史4/4次成功; 当前距低点3.31%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
12,80.95798205774753,79.64117461109772,002095,生意宝,bottom_area,2024-01-12,17.37,2024-01-10,16.84,3.147268408551076,7.422802850356295,30.240265120132566,True,-2.251,1.6836,3,3,3,100.0,21.32766979889348,33.84030418250951,4.852731591448924,3.147268408551076,历史3/3次成功; 当前距低点3.15%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
13,80.76362247684587,81.34816015460349,002146,荣盛发展,bottom_area,2024-01-12,1.67,2024-01-10,1.6,4.37499999999999,6.874999999999992,27.927927927927932,False,0.6024,2.6198,4,4,4,100.0,15.608387927975553,19.587628865979376,3.62500000000001,4.37499999999999,历史4/4次成功; 当前距低点4.37%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
14,80.69664396210442,76.43335613696694,301360,荣旗科技,bottom_area,2024-01-12,66.98,2024-01-12,66.2,1.1782477341389743,5.438066465256789,32.95523597326311,False,-4.1225,9.3946,2,2,2,100.0,16.020220273138687,23.857583403420236,6.821752265861026,1.1782477341389743,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
15,80.57488601842518,77.38342071681255,002284,亚太股份,bottom_area,2024-01-12,8.05,2024-01-10,7.9,1.8987341772151944,5.69620253164556,30.457746478873233,False,-2.0681,1.3989,2,2,2,100.0,19.744809897113992,27.214170692431566,6.101265822784805,1.8987341772151944,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
16,79.99725251090172,75.64655343752207,002324,普利特,confirmed_rebound,2024-01-12,11.1,2024-01-09,10.98,1.0928961748633808,12.477231329690339,28.608582574772434,False,-2.4605,1.3846,2,2,2,100.0,10.74385331296014,13.260869565217392,6.90710382513662,1.0928961748633808,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-2.46%; 状态confirmed_rebound; 底部未确认
17,79.65315245541224,75.50551405470061,603186,华正新材,bottom_area,2024-01-12,30.7,2024-01-10,30.33,1.2199142762941015,3.6267721727662425,30.911161731207294,False,-1.413,1.0813,1,1,1,100.0,17.994186046511643,17.994186046511643,6.780085723705899,1.2199142762941015,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
18,79.32555942066637,77.65040462427746,600172,黄河旋风,bottom_area,2024-01-12,3.56,2024-01-08,3.46,2.890173410404627,4.913294797687859,29.098360655737704,False,-1.1111,1.2586,1,1,1,100.0,51.074589127686465,51.074589127686465,5.109826589595373,2.890173410404627,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
19,79.20573425077215,73.33864282478902,605178,时空科技,bottom_area,2024-01-12,21.22,2024-01-12,21.22,0.0,3.440150801131011,30.426229508196723,False,-2.257,5.1707,3,3,3,100.0,10.153993681661406,11.97247706422018,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
20,78.88980930211464,75.39661367570088,600006,东风股份,bottom_area,2024-01-12,5.56,2024-01-10,5.47,1.6453382084095038,3.2906764168190237,27.645502645502646,False,-1.0676,0.4882,1,1,1,100.0,22.6235741444867,22.6235741444867,6.354661791590496,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
21,78.70527065115381,74.52018300936703,001236,弘业期货,bottom_area,2024-01-12,10.47,2024-01-10,10.35,1.1594202898550823,2.9951690821256087,28.025034770514612,False,-0.9461,1.1671,1,1,1,100.0,11.955168119551693,11.955168119551693,6.840579710144917,1.1594202898550823,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
22,78.66174434001053,77.19979650285501,300678,中科信息,bottom_area,2024-01-12,26.91,2024-01-10,26.12,3.024502297090349,6.8147013782542025,29.09880564603692,False,-2.6059,1.9257,3,3,3,100.0,15.890654517317197,24.552238805970156,4.975497702909651,3.024502297090349,历史3/3次成功; 当前距低点3.02%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
23,78.27434053196733,76.72064418298339,002385,大北农,bottom_area,2024-01-12,5.57,2024-01-09,5.41,2.957486136783736,4.251386321626609,27.38255033557047,False,0.0,0.7037,1,1,1,100.0,23.353293413173663,23.353293413173663,5.042513863216263,2.957486136783736,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,77.92008628505508,74.02831216006862,301488,豪恩汽电,bottom_area,2024-01-12,63.7,2024-01-10,62.86,1.3363028953229452,3.802099904549794,30.0,False,-1.6824,3.7727,1,1,1,100.0,11.478939577445836,11.478939577445836,6.663697104677055,1.3363028953229452,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
25,77.6333163383558,72.7785504923379,603039,泛微网络,bottom_area,2024-01-12,40.68,2024-01-10,40.42,0.6432459178624393,4.057397328055419,28.320624224153217,False,-1.3818,0.3849,2,2,2,100.0,19.43629669389389,25.971438060445035,7.35675408213756,0.6432459178624393,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
26,77.04287786741847,75.18001035421665,601777,千里科技,bottom_area,2024-01-12,3.39,2024-01-08,3.3,2.7272727272727364,4.242424242424246,28.41648590021693,False,-0.5865,0.2688,2,2,2,100.0,18.054796625798296,27.96352583586626,5.272727272727264,2.7272727272727364,历史2/2次成功; 当前距低点2.73%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
27,76.76587919842723,76.22017831090942,002413,雷科防务,bottom_area,2024-01-12,5.14,2024-01-10,4.96,3.6290322580645102,4.032258064516133,27.906976744186046,False,0.7843,1.934,1,1,1,100.0,28.894472361809044,28.894472361809044,4.37096774193549,3.6290322580645102,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
28,75.8990395953114,73.27968079251512,002195,岩山科技,bottom_area,2024-01-12,2.82,2024-01-11,2.76,2.173913043478263,4.347826086956526,29.230769230769234,False,-1.7422,1.2495,1,1,1,100.0,17.72151898734177,17.72151898734177,5.8260869565217375,2.173913043478263,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
29,75.64659003623038,70.52478970582176,600981,苏豪汇鸿,bottom_area,2024-01-12,2.82,2024-01-10,2.81,0.35587188612098886,2.8469750889679744,27.948717948717945,False,-1.7422,0.8912,1,1,1,100.0,20.463320463320475,20.463320463320475,7.644128113879011,0.35587188612098886,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
30,74.9651319457385,73.7259554249461,603306,华懋科技,bottom_area,2024-01-12,23.37,2024-01-11,22.66,3.1332744924977973,5.8693733451014936,27.603833865814696,False,-0.4685,1.828,2,2,2,100.0,15.214092837855201,19.519094766619503,4.866725507502203,3.1332744924977973,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
31,74.56355046606899,70.22072272638248,002632,道明光学,bottom_area,2024-01-12,8.02,2024-01-11,7.95,0.8805031446540804,4.276729559748415,31.876606683804624,False,-2.9056,6.0693,1,1,1,100.0,25.259515570934255,25.259515570934255,7.119496855345919,0.8805031446540804,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
32,73.73430566322844,68.89841678686722,002862,实丰文化,bottom_area,2024-01-12,16.96,2024-01-12,16.88,0.47393364928911047,7.345971563981054,32.45298119247699,False,-6.8132,22.0604,1,1,1,100.0,23.381642512077295,23.381642512077295,7.52606635071089,0.47393364928911047,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
