rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.13767239193535,80.16343767503747,688023,安恒信息,bottom_area,2024-01-18,81.93,2024-01-18,80.48,1.8016898608349936,5.168986083499001,28.334817453250217,False,-1.6801,2.3735,2,2,2,100.0,33.50156213839389,39.261744966442954,13.198310139165006,1.8016898608349936,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
2,89.02837986968856,82.56787723785169,000957,中通客车,bottom_area,2024-01-18,8.09,2024-01-18,7.82,3.4526854219948793,5.1150895140665,28.125,False,-2.0581,1.9805,3,3,3,100.0,132.3344468028054,354.54545454545456,11.547314578005121,3.4526854219948793,历史3/3次成功; 当前距低点3.45%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
3,84.54017816318488,77.61209302325582,603013,亚普股份,bottom_area,2024-01-18,15.93,2024-01-18,15.48,2.906976744186042,4.198966408268725,31.956043956043956,False,-0.4375,0.8437,1,1,1,100.0,53.30739299610896,53.30739299610896,12.093023255813957,2.906976744186042,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
4,83.5302349451932,76.94019857110149,300647,超频三,bottom_area,2024-01-18,5.68,2024-01-18,5.51,3.085299455535389,5.08166969147006,28.161668839634945,False,-0.8726,1.9004,2,2,2,100.0,31.90688886947406,48.45360824742268,11.91470054446461,3.085299455535389,历史2/2次成功; 当前距低点3.09%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
5,82.78060445833374,76.51566282301786,000021,深科技,bottom_area,2024-01-18,12.94,2024-01-18,12.53,3.2721468475658435,3.750997605746215,29.606741573033712,False,0.1548,1.6193,1,1,1,100.0,26.108374384236456,26.108374384236456,11.727853152434156,3.2721468475658435,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
6,81.95680346892557,76.86080142778873,300353,东土科技,bottom_area,2024-01-18,8.22,2024-01-18,7.9,4.050632911392409,4.3037974683544284,27.985414767547862,False,0.612,1.8634,2,2,2,100.0,20.840024009480672,21.377672209026137,10.949367088607591,4.050632911392409,历史2/2次成功; 当前距低点4.05%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
7,80.97221209182135,73.16985291776379,605123,派克新材,bottom_area,2024-01-18,70.4,2024-01-18,68.98,2.058567700782838,4.885474050449392,28.295218295218294,False,-2.6683,1.9632,1,1,1,100.0,15.71713589004656,15.71713589004656,12.941432299217162,2.058567700782838,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
8,80.12646010033345,74.35619531955373,300579,数字认证,bottom_area,2024-01-18,22.57,2024-01-18,21.81,3.4846400733608505,4.860155891792766,27.3,False,-0.485,0.8214,2,2,2,100.0,22.90954132697023,24.946808510638284,11.51535992663915,3.4846400733608505,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
9,79.71488669203973,74.06354052943595,600360,华微电子,bottom_area,2024-01-18,6.71,2024-01-18,6.48,3.5493827160493754,3.8580246913580245,27.10911136107986,False,0.7508,1.5046,1,1,1,100.0,16.32329635499208,16.32329635499208,11.450617283950622,3.5493827160493754,历史1/1次成功; 当前距低点3.55%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
10,79.64773804573808,72.74617760617762,600981,苏豪汇鸿,bottom_area,2024-01-18,2.73,2024-01-18,2.66,2.631578947368415,3.3834586466165355,31.79487179487179,False,-0.7273,1.2151,1,1,1,100.0,20.463320463320475,20.463320463320475,12.368421052631584,2.631578947368415,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
11,79.60383774500576,73.55002046809646,688280,精进电动,bottom_area,2024-01-18,6.67,2024-01-18,6.46,3.250773993808049,5.572755417956661,28.22222222222222,False,-1.4771,1.1,1,1,1,100.0,32.37518910741301,32.37518910741301,11.749226006191952,3.250773993808049,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
