rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.3036095406024,84.45457943232695,603348,文灿股份,bottom_area,2024-01-24,28.25,2024-01-24,27.3,3.4798534798534773,5.274725274725267,32.923832923832926,False,0.284,1.1356,4,4,4,100.0,21.33680304512298,31.539888682745836,4.520146520146523,3.4798534798534773,历史4/4次成功; 当前距低点3.48%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,84.79366908482167,83.76366381548125,603226,菲林格尔,bottom_area,2024-01-24,5.53,2024-01-24,5.35,3.3644859813084222,5.607476635514033,29.419525065963064,False,0.7286,1.4803,4,4,4,100.0,16.208020714325002,20.479302832244016,4.635514018691578,3.3644859813084222,历史4/4次成功; 当前距低点3.36%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
3,84.54687178718443,83.6545565176627,600418,江淮汽车,bottom_area,2024-01-24,13.2,2024-01-23,12.76,3.448275862068962,4.310344827586213,30.0438596491228,False,0.9946,2.0375,4,4,4,100.0,16.648524103117875,24.365079365079367,4.551724137931038,3.448275862068962,历史4/4次成功; 当前距低点3.45%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
4,84.50169945208758,83.4252446819973,002370,亚太药业,bottom_area,2024-01-24,3.72,2024-01-23,3.6,3.333333333333336,4.166666666666664,30.367504835589937,False,1.6393,1.6794,4,4,4,100.0,14.006691838695174,15.633423180592995,4.666666666666664,3.333333333333336,历史4/4次成功; 当前距低点3.33%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
5,83.6963109242338,80.68978734111288,300538,同益股份,bottom_area,2024-01-24,14.6,2024-01-24,14.3,2.0979020979020904,5.45454545454545,30.073349633251826,False,-0.7478,4.6277,3,3,3,100.0,23.295721098546444,30.150753768844226,5.90209790209791,2.0979020979020904,历史3/3次成功; 当前距低点2.10%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
6,83.32170421580392,81.1244287544388,688103,国力电子,bottom_area,2024-01-24,36.95,2024-01-23,36.01,2.6103860038878226,7.7478478200499845,27.67624020887729,True,-3.0184,1.964,3,3,3,100.0,32.93606905001623,57.609964966913196,5.389613996112177,2.6103860038878226,历史3/3次成功; 当前距低点2.61%; 最新日涨幅-3.02%; 状态bottom_area; 底部已确认
7,83.12462449805898,84.10703170028823,300735,光弘科技,bottom_area,2024-01-24,18.15,2024-01-24,17.35,4.610951008645516,5.475504322766566,28.008298755186722,False,0.3317,2.9939,3,3,3,100.0,50.43111523258737,93.48973607038124,3.389048991354484,4.610951008645516,历史3/3次成功; 当前距低点4.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,82.89572908938226,81.58633427034702,688037,芯源微,bottom_area,2024-01-24,104.08,2024-01-24,100.88,3.172085646312454,7.3354480570975475,27.099291805174158,False,-2.4189,1.9969,5,5,5,100.0,24.616610451287148,34.08866995073892,4.827914353687547,3.172085646312454,历史5/5次成功; 当前距低点3.17%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
9,82.34221875489187,82.34221875489187,000665,湖北广电,bottom_area,2024-01-24,4.16,2024-01-24,4.0,4.0000000000000036,4.0000000000000036,29.32862190812721,False,1.7115,1.1923,4,4,4,100.0,16.35601481124668,26.231691078561926,3.9999999999999964,4.0000000000000036,历史4/4次成功; 当前距低点4.00%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
10,81.34717474310327,82.47658381882046,000868,安凯客车,bottom_area,2024-01-24,4.44,2024-01-23,4.24,4.7169811320754755,5.660377358490571,29.568106312292354,False,0.9091,1.5557,5,5,5,100.0,25.867208601895335,69.53846153846153,3.2830188679245245,4.7169811320754755,历史5/5次成功; 当前距低点4.72%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
11,80.74343646230197,79.34085652669891,688176,亚虹医药,bottom_area,2024-01-24,8.01,2024-01-24,7.77,3.0888030888030915,4.761904761904775,28.84615384615385,False,0.5019,2.1474,2,2,2,100.0,22.38348155467721,25.473484848484844,4.9111969111969085,3.0888030888030915,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
