rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.77260466334826,84.10703170028823,300735,光弘科技,bottom_area,2024-01-24,18.15,2024-01-24,17.35,4.610951008645516,5.475504322766566,28.008298755186722,False,0.3317,2.9939,3,3,3,100.0,50.43111523258737,93.48973607038124,15.389048991354484,4.610951008645516,历史3/3次成功; 当前距低点4.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
2,88.498005898221,77.211058281087,002304,洋河股份,bottom_area,2024-01-24,94.84,2024-01-24,92.52,2.5075659316904533,3.166882836143544,27.53759398496241,False,0.498,0.4262,1,1,1,100.0,20.474777448071226,20.474777448071226,17.49243406830955,2.5075659316904533,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,88.0243880257674,79.06615384615388,002426,胜利精密,bottom_area,2024-01-24,2.03,2024-01-23,1.95,4.102564102564095,4.615384615384619,29.090909090909093,False,1.5,0.9882,1,1,1,100.0,51.31578947368419,51.31578947368419,15.897435897435908,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
4,87.7026612392003,77.90753464785216,688136,科兴制药,bottom_area,2024-01-24,17.18,2024-01-24,16.6,3.493975903614447,7.289156626506007,27.25679228746713,False,-2.5525,1.3029,2,2,2,100.0,42.117202731683314,60.65012831479899,16.506024096385556,3.493975903614447,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
5,86.87146864106315,76.74966631712977,002609,捷顺科技,bottom_area,2024-01-24,8.72,2024-01-24,8.45,3.1952662721893654,5.207100591715992,31.90975020145045,False,0.3452,3.0498,1,1,1,100.0,26.42405063291139,26.42405063291139,16.804733727810635,3.1952662721893654,历史1/1次成功; 当前距低点3.20%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
6,86.2074212398118,77.31705319986503,601069,西部黄金,bottom_area,2024-01-24,10.61,2024-01-24,10.2,4.019607843137257,4.509803921568636,27.246790299572044,False,0.3784,0.8051,1,1,1,100.0,39.579349904397695,39.579349904397695,15.980392156862743,4.019607843137257,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
7,85.79353033431032,76.23515738498787,300636,同和药业,bottom_area,2024-01-24,8.55,2024-01-24,8.26,3.5108958837772506,5.084745762711863,31.452282157676354,False,-0.5814,1.2639,1,1,1,100.0,122.63187748156552,122.63187748156552,16.489104116222748,3.5108958837772506,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
8,84.75863929814233,77.1039791949344,002676,顺威股份,bottom_area,2024-01-24,4.15,2024-01-24,3.96,4.797979797979808,5.303030303030303,32.07547169811321,False,1.2195,2.0686,2,2,2,100.0,31.308457711442777,39.33333333333333,15.202020202020194,4.797979797979808,历史2/2次成功; 当前距低点4.80%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
9,84.70578398541781,75.63244951712029,300580,贝斯特,bottom_area,2024-01-24,23.64,2024-01-24,22.78,3.7752414398595233,6.628621597892879,29.451842675751,False,-1.6639,1.9522,1,1,1,100.0,53.89266817838245,53.89266817838245,16.22475856014048,3.7752414398595233,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
10,84.38321636799029,77.03581137309293,002577,雷柏科技,bottom_area,2024-01-24,15.14,2024-01-24,14.42,4.993065187239949,6.102635228848826,29.65853658536585,False,0.9333,2.2753,1,1,1,100.0,50.0,50.0,15.006934812760054,4.993065187239949,历史1/1次成功; 当前距低点4.99%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
11,84.35523809523808,77.02,002666,德联集团,bottom_area,2024-01-24,4.41,2024-01-23,4.2,4.999999999999999,5.952380952380952,28.327645051194537,False,1.8476,2.1034,1,1,1,100.0,51.275510204081634,51.275510204081634,15.000000000000002,4.999999999999999,历史1/1次成功; 当前距低点5.00%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
12,83.78657743561926,74.79083019414881,001332,锡装股份,bottom_area,2024-01-24,28.7,2024-01-24,27.66,3.7599421547360774,4.736080983369482,27.172195892575036,False,-0.1044,4.2197,2,2,2,100.0,28.620958639500337,31.086142322097377,16.240057845263923,3.7599421547360774,历史2/2次成功; 当前距低点3.76%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
13,83.56357113198844,73.79595848677502,688037,芯源微,bottom_area,2024-01-24,104.08,2024-01-24,100.88,3.172085646312454,7.3354480570975475,27.099291805174158,False,-2.4189,1.9969,4,5,4,80.0,26.066203012728074,34.08866995073892,16.827914353687547,3.172085646312454,历史4/5次成功; 当前距低点3.17%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
14,83.35709084553102,74.72290584223121,688337,普源精电,bottom_area,2024-01-24,35.95,2024-01-24,34.57,3.9919004917558647,6.7399479317327105,31.787687450670877,False,-0.5257,1.2823,2,2,2,100.0,31.09913421201392,33.36842105263158,16.008099508244136,3.9919004917558647,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
15,83.27393403061392,74.69311755015022,688296,和达科技,bottom_area,2024-01-24,13.44,2024-01-24,12.92,4.024767801857582,5.26315789473684,29.244249726177447,False,0.0745,3.3028,1,1,1,100.0,25.535420098846778,25.535420098846778,15.97523219814242,4.024767801857582,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
16,82.65946013617892,74.53967033891182,002399,海普瑞,bottom_area,2024-01-24,9.18,2024-01-24,8.8,4.318181818181807,4.999999999999994,32.15111796453354,False,0.0,0.5995,1,1,1,100.0,28.307123034227555,28.307123034227555,15.681818181818194,4.318181818181807,历史1/1次成功; 当前距低点4.32%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,82.61494851016852,73.96270728106302,300410,正业科技,bottom_area,2024-01-24,6.89,2024-01-24,6.63,3.9215686274509776,5.279034690799405,28.324324324324323,False,0.5839,1.345,1,1,1,100.0,20.34346103038308,20.34346103038308,16.078431372549023,3.9215686274509776,历史1/1次成功; 当前距低点3.92%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
18,82.47854539049956,74.26770295259318,688155,先惠技术,bottom_area,2024-01-24,45.75,2024-01-24,43.89,4.237867395762131,5.969469127363858,29.607056936647957,False,-0.2399,0.4647,2,2,2,100.0,31.66688502650995,38.11460912628228,15.76213260423787,4.237867395762131,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
19,81.26373170786452,73.59536293348121,000021,深科技,bottom_area,2024-01-24,12.63,2024-01-23,12.08,4.552980132450337,5.463576158940398,32.13483146067416,False,0.8786,1.5185,1,1,1,100.0,26.108374384236456,26.108374384236456,15.447019867549663,4.552980132450337,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
20,81.06161320307267,73.94031260392421,002255,海陆重工,bottom_area,2024-01-24,4.88,2024-01-23,4.65,4.946236559139774,5.376344086021505,27.795031055900623,False,2.521,3.5801,1,1,1,100.0,32.783505154639194,32.783505154639194,15.053763440860227,4.946236559139774,历史1/1次成功; 当前距低点4.95%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
