rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.98442852512478,87.97037520504657,688315,诺禾致源,bottom_area,2024-01-29,17.34,2024-01-24,17.14,1.1668611435239165,7.4679113185530985,27.24957555178268,True,-2.0339,1.2868,3,3,3,100.0,41.83235813054352,86.2826357231662,13.833138856476083,1.1668611435239165,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
2,91.86603246971718,82.79898650370599,002536,飞龙股份,bottom_area,2024-01-29,11.15,2024-01-24,10.94,1.9195612431444318,8.135283363802564,27.212242182302067,True,-3.6301,2.2411,3,3,3,100.0,33.47089321545858,55.505617977528075,13.080438756855568,1.9195612431444318,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-3.63%; 状态bottom_area; 底部已确认
3,90.85745959264791,79.20406467240807,688037,芯源微,bottom_area,2024-01-29,97.43,2024-01-29,97.3,0.1336073997944601,6.351490236382331,29.68637086284145,False,-3.2665,2.1167,5,5,5,100.0,24.616610451287148,34.08866995073892,14.866392600205538,0.1336073997944601,历史5/5次成功; 当前距低点0.13%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
4,90.36676781431055,80.68552834137071,688176,亚虹医药,bottom_area,2024-01-29,7.88,2024-01-24,7.77,1.4157014157014198,8.751608751608748,28.84615384615385,True,-2.9557,2.3226,2,2,2,100.0,22.38348155467721,25.473484848484844,13.58429858429858,1.4157014157014198,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
5,88.06999251240826,78.45100042240057,300593,新雷能,bottom_area,2024-01-29,10.99,2024-01-24,10.85,1.2903225806451666,7.834101382488476,31.11111111111111,True,-2.3111,1.6269,1,1,1,100.0,25.499655410062033,25.499655410062033,13.709677419354833,1.2903225806451666,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
6,86.46393300394573,76.1667358622394,300354,东华测试,bottom_area,2024-01-29,36.3,2024-01-29,36.05,0.6934812760055479,4.299583911234409,29.768166764075595,False,-2.5503,2.0173,2,2,2,100.0,38.26813533081753,39.34343434343434,14.306518723994452,0.6934812760055479,历史2/2次成功; 当前距低点0.69%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
7,85.73096634615382,78.20384615384614,002426,胜利精密,bottom_area,2024-01-29,2.0,2024-01-23,1.95,2.5641025641025665,8.717948717948726,29.090909090909093,True,-3.3816,0.8833,1,1,1,100.0,51.31578947368419,51.31578947368419,12.435897435897433,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
8,85.07609092489025,75.06013698630134,300580,贝斯特,bottom_area,2024-01-29,22.07,2024-01-25,21.9,0.7762557077625649,7.8082191780821955,32.177144626819455,False,-0.809,1.7835,1,1,1,100.0,53.89266817838245,53.89266817838245,14.223744292237434,0.7762557077625649,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
9,84.74619504178224,76.23232721072326,002600,领益智造,bottom_area,2024-01-29,5.05,2024-01-22,4.96,1.8145161290322551,9.677419354838717,27.272727272727277,True,-2.5097,0.6657,3,4,3,75.0,24.163569811380693,38.381201044386415,13.185483870967746,1.8145161290322551,历史3/4次成功; 当前距低点1.81%; 最新日涨幅-2.51%; 状态bottom_area; 底部已确认
10,83.63946263089473,75.34771365440791,002609,捷顺科技,bottom_area,2024-01-29,8.61,2024-01-24,8.45,1.8934911242603567,7.928994082840236,31.90975020145045,True,-3.9063,1.9139,1,1,1,100.0,26.42405063291139,26.42405063291139,13.106508875739642,1.8934911242603567,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-3.91%; 状态bottom_area; 底部已确认
11,83.58173610741761,75.94673673317942,002213,大为股份,bottom_area,2024-01-29,11.3,2024-01-24,11.04,2.3550724637681304,8.33333333333335,27.98434442270059,True,-4.0747,1.2447,2,2,2,100.0,18.636031992315928,20.248254460822338,12.64492753623187,2.3550724637681304,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-4.07%; 状态bottom_area; 底部已确认
