rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.55720451287323,78.29454437699866,000532,华金资本,bottom_area,2024-02-02,12.22,2024-02-02,12.05,1.410788381742738,9.875518672199165,30.225825130283724,False,-8.7379,11.9097,2,2,2,100.0,28.877106921355356,32.044198895027606,18.589211618257263,1.410788381742738,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
2,89.4480342387269,76.54870152064821,002715,登云股份,bottom_area,2024-02-02,10.48,2024-02-02,10.33,1.4520813165537305,14.23039690222653,27.762237762237767,False,-8.7108,2.9356,1,1,1,100.0,36.66369313113291,36.66369313113291,18.54791868344627,1.4520813165537305,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-8.71%; 状态bottom_area; 底部未确认
3,88.704290890977,78.26299171723234,603198,迎驾贡酒,bottom_area,2024-02-02,50.22,2024-02-02,48.7,3.121149897330587,6.981519507186855,27.86253888312843,False,0.44,0.7439,1,1,1,100.0,33.65168539325842,33.65168539325842,16.878850102669414,3.121149897330587,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
4,87.03266114687277,77.2479240948575,300649,杭州园林,bottom_area,2024-02-02,12.0,2024-02-02,11.6,3.448275862068969,15.086206896551724,29.4403892944039,False,-6.4692,3.4231,2,2,2,100.0,48.22576914179969,71.60305343511452,16.551724137931032,3.448275862068969,历史2/2次成功; 当前距低点3.45%; 最新日涨幅-6.47%; 状态bottom_area; 底部未确认
5,86.14089341504229,75.8366333657893,000042,中洲控股,bottom_area,2024-02-02,4.46,2024-02-02,4.33,3.0023094688221685,14.780600461893755,27.470686767169173,False,-2.6201,2.4008,2,2,2,100.0,24.956445993031362,28.57142857142858,16.997690531177835,3.0023094688221685,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
6,86.08136915634807,73.62222362056083,002072,凯瑞德,bottom_area,2024-02-02,4.29,2024-02-02,4.23,1.4184397163120472,14.657210401891232,27.568493150684926,False,-8.7234,4.8708,1,1,1,100.0,20.51756007393714,20.51756007393714,18.581560283687953,1.4184397163120472,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-8.72%; 状态bottom_area; 底部未确认
7,85.44600886268339,74.28438690598539,301356,天振股份,bottom_area,2024-02-02,13.71,2024-02-02,13.4,2.3134328358208993,12.761194029850738,27.80172413793103,False,-1.3669,3.6725,1,1,1,100.0,24.83340737450022,24.83340737450022,17.686567164179102,2.3134328358208993,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
8,85.13811801011201,75.58466582415886,300417,南华仪器,bottom_area,2024-02-02,8.07,2024-02-02,7.8,3.4615384615384674,18.71794871794872,31.216931216931215,False,-7.3479,5.9302,3,3,3,100.0,22.779427507884694,25.514403292181065,16.538461538461537,3.4615384615384674,历史3/3次成功; 当前距低点3.46%; 最新日涨幅-7.35%; 状态bottom_area; 底部未确认
9,84.90195385370642,74.28920962199311,603161,科华控股,bottom_area,2024-02-02,12.32,2024-02-02,12.0,2.6666666666666687,12.166666666666675,27.536231884057965,False,-5.9542,2.9812,1,1,1,100.0,39.40435280641466,39.40435280641466,17.333333333333336,2.6666666666666687,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
10,84.15163323145323,74.611186440678,002836,新宏泽,bottom_area,2024-02-02,6.1,2024-02-02,5.9,3.3898305084745637,14.406779661016941,27.96092796092795,False,-6.8702,2.9574,1,1,1,100.0,59.30851063829788,59.30851063829788,16.610169491525436,3.3898305084745637,历史1/1次成功; 当前距低点3.39%; 最新日涨幅-6.87%; 状态bottom_area; 底部未确认
11,83.3170041413666,73.63833699361075,300765,新诺威,bottom_area,2024-02-02,25.99,2024-02-02,25.18,3.216838760921361,10.881652104845124,27.14120370370371,False,-5.1114,2.2648,2,2,2,100.0,25.982415959739026,28.947368421052634,16.78316123907864,3.216838760921361,历史2/2次成功; 当前距低点3.22%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
12,82.60514069131244,72.4221477899392,002304,洋河股份,bottom_area,2024-02-02,90.75,2024-02-02,88.3,2.774631936579845,5.141562853907142,30.84273182957394,False,-0.4934,0.4931,1,1,1,100.0,20.474777448071226,20.474777448071226,17.225368063420156,2.774631936579845,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
13,82.52817068510107,73.70454497632826,603004,鼎龙科技,bottom_area,2024-02-02,19.73,2024-02-02,19.01,3.7874802735402358,11.415044713308774,29.774658293313628,False,-5.8234,16.178,1,1,1,100.0,55.7168784029038,55.7168784029038,16.212519726459764,3.7874802735402358,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-5.82%; 状态bottom_area; 底部未确认
14,82.50504107161898,74.03243964552051,300354,东华测试,bottom_area,2024-02-02,36.0,2024-02-02,34.6,4.04624277456647,9.219653179190743,32.59302552113773,False,-3.3816,2.4275,2,2,2,100.0,38.26813533081753,39.34343434343434,15.953757225433533,4.04624277456647,历史2/2次成功; 当前距低点4.05%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
15,82.19141945196726,72.96861990950228,603063,禾望电气,bottom_area,2024-02-02,18.83,2024-02-02,18.2,3.4615384615384563,11.263736263736268,28.346456692913385,False,-5.85,1.7361,2,2,2,100.0,25.38133119252664,28.846153846153843,16.538461538461547,3.4615384615384563,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-5.85%; 状态bottom_area; 底部未确认
