rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.25699273128241,76.88600841161906,600396,华电辽能,bottom_area,2024-02-06,2.09,2024-02-06,2.06,1.456310679611641,7.281553398058247,27.208480565371023,False,-3.6866,1.3844,2,2,2,100.0,21.862348178137655,25.263157894736842,8.54368932038836,1.456310679611641,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
2,82.25319483624605,80.70124776386405,603030,全筑股份,bottom_area,2024-02-06,2.08,2024-02-06,2.0,4.0000000000000036,9.000000000000007,27.007299270073,False,-1.4218,1.2969,4,4,4,100.0,30.006708407871198,50.5813953488372,5.999999999999997,4.0000000000000036,历史4/4次成功; 当前距低点4.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
3,81.06503150789882,78.22922220303867,603122,合富中国,bottom_area,2024-02-06,5.6,2024-02-06,5.43,3.130755064456721,8.471454880294658,30.651340996168585,False,-7.131,12.631,2,2,2,100.0,49.609375,72.1590909090909,6.869244935543279,3.130755064456721,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-7.13%; 状态bottom_area; 底部未确认
4,79.59104985374219,72.35549986703835,000798,中水渔业,bottom_area,2024-02-06,6.6,2024-02-06,6.6,0.0,5.757575757575769,30.010604453870627,False,-9.9591,6.2915,3,3,3,100.0,15.08333261848572,17.3015873015873,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
5,77.71611344754365,70.65101222503968,600097,开创国际,bottom_area,2024-02-06,7.8,2024-02-06,7.8,0.0,3.205128205128217,32.40901213171577,False,-10.0346,4.3572,2,2,2,100.0,22.586087231396153,30.552291421856637,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
6,77.02202820206722,74.0293522596556,000620,盈新发展,bottom_area,2024-02-06,1.41,2024-02-06,1.37,2.9197080291970665,9.489051094890502,27.513227513227505,False,-2.0833,1.0408,3,4,3,75.0,35.0606804635748,58.4192439862543,7.080291970802934,2.9197080291970665,历史3/4次成功; 当前距低点2.92%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
7,76.0376690777853,71.46743402631695,600936,北投科技,bottom_area,2024-02-06,2.33,2024-02-06,2.29,1.746724890829696,8.73362445414848,32.647058823529406,False,-8.2677,2.04,1,1,1,100.0,12.95681063122924,12.95681063122924,8.253275109170305,1.746724890829696,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-8.27%; 状态bottom_area; 底部未确认
8,75.77844228758497,68.8894929887136,001219,青岛食品,bottom_area,2024-02-06,16.0,2024-02-06,16.0,0.0,7.000000000000006,30.0087489063867,False,-10.0112,12.7572,5,6,5,83.33333333333334,15.893331480539011,27.212020033388985,10.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
9,75.40458724202628,68.54962476547843,002564,天沃科技,bottom_area,2024-02-06,3.17,2024-02-06,3.17,0.0,1.89274447949527,28.28054298642534,False,-5.0898,2.2775,1,1,1,100.0,27.954971857410886,27.954971857410886,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
10,70.92289813127991,69.3883481246765,603278,大业股份,bottom_area,2024-02-06,7.28,2024-02-06,7.01,3.8516405135520753,9.272467902995727,32.53128007699712,False,-6.5469,4.4434,1,1,1,100.0,27.581120943952804,27.581120943952804,6.148359486447926,3.8516405135520753,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-6.55%; 状态bottom_area; 底部未确认
11,68.40832739458284,67.46149933375817,600983,惠而浦,bottom_area,2024-02-06,6.84,2024-02-06,6.56,4.268292682926833,7.621951219512195,27.272727272727277,False,-1.1561,0.5841,1,1,1,100.0,12.114014251781468,12.114014251781468,5.731707317073168,4.268292682926833,历史1/1次成功; 当前距低点4.27%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
12,66.15777509447972,60.14343190407247,002309,中利集团,bottom_area,2024-02-06,1.96,2024-02-06,1.96,0.0,0.0,29.24187725631769,False,-4.8544,0.2079,3,5,3,60.0,19.42705324770143,30.136986301369873,10.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
13,54.80803921568628,49.825490196078434,603117,万林物流,bottom_area,2024-02-06,2.48,2024-02-06,2.48,0.0,4.032258064516133,32.240437158469945,False,-4.9808,0.6686,1,2,1,50.0,18.954248366013076,18.954248366013076,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
14,54.77435949486608,52.88081081081083,603059,倍加洁,bottom_area,2024-02-06,18.32,2024-02-06,17.76,3.153153153153146,5.968468468468461,28.73194221508828,False,-7.1465,2.9948,1,2,1,50.0,21.935483870967733,21.935483870967733,6.846846846846855,3.153153153153146,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-7.15%; 状态bottom_area; 底部未确认
