rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.62256401086344,86.83092326087137,002432,九安医疗,bottom_area,2024-04-15,40.49,2024-04-12,40.07,1.0481657100074913,3.6935363114549458,27.118952346307744,False,0.7966,2.5079,2,2,2,100.0,37.638392901550795,65.03496503496503,8.95183428999251,1.0481657100074913,历史2/2次成功; 当前距低点1.05%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
2,91.62847907027708,86.72562057221033,603327,福蓉科技,bottom_area,2024-04-15,15.46,2024-04-15,15.14,2.1136063408190244,6.671070013210026,30.550458715596328,False,-3.2541,3.4125,5,5,5,100.0,49.487328114396234,129.39632545931758,7.8863936591809765,2.1136063408190244,历史5/5次成功; 当前距低点2.11%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
3,87.04141400590927,82.08087421631461,002405,四维图新,bottom_area,2024-04-15,6.9,2024-04-15,6.77,1.9202363367799231,6.942392909896612,27.125941872981695,False,-3.8997,2.3924,4,4,4,100.0,22.145231527810978,41.62162162162163,8.079763663220078,1.9202363367799231,历史4/4次成功; 当前距低点1.92%; 最新日涨幅-3.90%; 状态bottom_area; 底部未确认
4,86.08589237747668,81.64095723253236,688167,炬光科技,bottom_area,2024-04-15,70.53,2024-04-15,69.0,2.2173913043478275,7.898550724637684,31.676403604317255,False,-3.8839,2.9771,4,4,4,100.0,23.422631217448355,39.13715105373497,7.782608695652173,2.2173913043478275,历史4/4次成功; 当前距低点2.22%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
5,85.99595400661168,81.09225749458614,603131,上海沪工,bottom_area,2024-04-15,12.75,2024-04-15,12.51,1.9184652278177474,8.153477218225417,29.640044994375707,False,-4.6372,3.6404,4,4,4,100.0,16.80837749468061,23.708721422523276,8.081534772182252,1.9184652278177474,历史4/4次成功; 当前距低点1.92%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
6,84.81504008617843,79.6426313226569,300533,冰川网络,bottom_area,2024-04-15,19.17,2024-04-15,18.85,1.697612732095492,7.957559681697612,31.92488262910798,False,-4.5794,8.222,3,3,3,100.0,22.974130923842026,40.564081294068856,8.302387267904509,1.697612732095492,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
7,83.01173439784809,80.73813242103543,603000,人民网,bottom_area,2024-04-15,23.97,2024-04-11,23.15,3.5421166306695477,7.818574514038887,27.588364091335627,False,-0.2082,2.4107,4,4,4,100.0,24.592249134204234,48.493150684931514,6.457883369330453,3.5421166306695477,历史4/4次成功; 当前距低点3.54%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
8,82.58703893463401,78.46979652440298,688071,华依科技,confirmed_rebound,2024-04-15,24.3,2024-04-15,23.75,2.3157894736842133,11.747368421052629,32.45164960182024,False,-8.059,5.7083,5,5,5,100.0,17.794604969908505,29.494190020505805,7.684210526315788,2.3157894736842133,历史5/5次成功; 当前距低点2.32%; 最新日涨幅-8.06%; 状态confirmed_rebound; 底部未确认
9,82.41932903488828,77.98044231830768,300449,汉邦高科,confirmed_rebound,2024-04-15,3.9,2024-04-15,3.82,2.094240837696337,12.56544502617801,30.291970802919714,False,-9.3023,3.9077,2,2,2,100.0,45.78124423793193,71.7557251908397,7.905759162303664,2.094240837696337,历史2/2次成功; 当前距低点2.09%; 最新日涨幅-9.30%; 状态confirmed_rebound; 底部未确认
10,82.41566937037238,76.68594738119658,688358,祥生医疗,bottom_area,2024-04-15,28.24,2024-04-15,27.9,1.2186379928315407,6.559139784946244,27.324824172961716,False,-4.1737,1.5438,2,2,2,100.0,17.87334411211015,21.905089408528212,8.78136200716846,1.2186379928315407,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-4.17%; 状态bottom_area; 底部未确认
11,82.41318705462774,77.81312348668281,688232,新点软件,bottom_area,2024-04-15,21.06,2024-04-15,20.65,1.9854721549636811,6.924939467312348,27.59467040673212,False,-3.483,3.4283,1,1,1,100.0,51.87398153177622,51.87398153177622,8.01452784503632,1.9854721549636811,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
