rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.04301136611872,77.81312348668281,688232,新点软件,bottom_area,2024-04-15,21.06,2024-04-15,20.65,1.9854721549636811,6.924939467312348,27.59467040673212,False,-3.483,3.4283,1,1,1,100.0,51.87398153177622,51.87398153177622,18.01452784503632,1.9854721549636811,历史1/1次成功; 当前距低点1.99%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
2,87.44684393012193,74.05816294377931,300417,南华仪器,bottom_area,2024-04-15,6.87,2024-04-15,6.81,0.8810572687224744,17.327459618208525,27.24358974358974,False,-14.6584,7.5688,3,3,3,100.0,22.779427507884694,25.514403292181065,19.118942731277528,0.8810572687224744,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-14.66%; 状态bottom_area; 底部未确认
3,87.18,72.65,002388,新亚制程,bottom_area,2024-04-15,3.98,2024-04-15,3.98,0.0,10.050251256281404,28.80143112701252,False,-9.9548,5.918,1,1,1,100.0,50.505050505050505,50.505050505050505,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
4,86.53646968288459,76.14324564098897,688114,华大智造,bottom_area,2024-04-15,54.39,2024-04-15,52.82,2.9723589549413107,4.770920106020453,29.033991670025532,False,0.5546,0.8968,1,1,1,100.0,20.431312141156706,20.431312141156706,17.02764104505869,2.9723589549413107,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
5,85.50149201631218,76.07381088825215,002097,山河智能,bottom_area,2024-04-15,7.23,2024-04-15,6.98,3.5816618911174785,7.593123209169045,29.352226720647774,False,-1.8996,5.1713,1,1,1,100.0,50.210970464135016,50.210970464135016,16.418338108882523,3.5816618911174785,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
6,83.71327457873471,73.31154601333854,688337,普源精电,bottom_area,2024-04-15,28.77,2024-04-15,28.01,2.7133166726169153,6.069260978222061,27.01928087545597,False,-3.2291,5.294,3,4,3,75.0,38.886602295188766,54.46153846153845,17.286683327383084,2.7133166726169153,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
7,83.41655520581972,72.20623176560098,300730,科创信息,bottom_area,2024-04-15,8.85,2024-04-15,8.67,2.076124567474045,9.919261822376003,31.67848699763593,False,-6.1506,3.6298,1,1,1,100.0,20.966643975493536,20.966643975493536,17.923875432525957,2.076124567474045,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-6.15%; 状态bottom_area; 底部未确认
8,82.27036238179917,73.42078488772711,300461,田中精机,bottom_area,2024-04-15,15.78,2024-04-15,15.21,3.747534516765276,12.294543063773816,27.57142857142857,False,-7.6112,7.712,2,2,2,100.0,31.318083795440543,39.80283425754775,16.252465483234722,3.747534516765276,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
9,82.17632558139533,71.45767441860464,300528,幸福蓝海,bottom_area,2024-04-15,7.04,2024-04-15,6.88,2.325581395348839,10.465116279069765,29.072164948453604,False,-7.0013,2.488,1,1,1,100.0,20.0,20.0,17.674418604651162,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
10,81.62167187491988,70.70097754293263,603327,福蓉科技,bottom_area,2024-04-15,15.46,2024-04-15,15.14,2.1136063408190244,6.671070013210026,30.550458715596328,False,-3.2541,3.4125,3,5,3,60.0,73.13891504398597,129.39632545931758,17.88639365918098,2.1136063408190244,历史3/5次成功; 当前距低点2.11%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
11,81.20205985388743,68.98018218118293,002432,九安医疗,bottom_area,2024-04-15,40.49,2024-04-12,40.07,1.0481657100074913,3.6935363114549458,27.118952346307744,False,0.7966,2.5079,1,2,1,50.0,65.03496503496503,65.03496503496503,18.951834289992508,1.0481657100074913,历史1/2次成功; 当前距低点1.05%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
