code,name,latest_date,latest_close,current_stage,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
603030,全筑股份,2024-04-17,2.06,bottom_area,2024-04-16,1.99,3.5175879396984957,7.035175879396981,30.175438596491233,False,5
688276,百克生物,2024-04-17,41.1,bottom_area,2024-04-15,40.05,2.6217228464419584,5.86766541822722,27.445652173913054,False,3
002432,九安医疗,2024-04-17,40.9,bottom_area,2024-04-17,39.72,2.9707955689828798,3.57502517623364,27.75554747180793,False,2
301367,瑞迈特,2024-04-17,75.6,confirmed_rebound,2024-04-16,73.03,3.5191017390113557,8.024099685060932,28.387919199843108,False,4
688232,新点软件,2024-04-17,20.69,bottom_area,2024-04-16,20.02,3.3466533466533557,5.794205794205795,29.803646563814866,False,1
688114,华大智造,2024-04-17,53.9,bottom_area,2024-04-15,52.82,2.0446800454373313,4.770920106020453,29.033991670025532,False,1
000042,中洲控股,2024-04-17,3.61,bottom_area,2024-04-17,3.46,4.335260115606934,6.06936416184971,32.81553398058253,False,2
688277,天智航,2024-04-17,8.0,bottom_area,2024-04-16,7.66,4.438642297650128,6.788511749347252,29.981718464351005,False,2
002558,巨人网络,2024-04-17,10.69,bottom_area,2024-04-16,10.23,4.496578690127068,7.038123167155414,28.109627547434997,False,2
603259,药明康德,2024-04-17,43.15,bottom_area,2024-04-16,41.17,4.809327179985418,5.78090842846732,30.078125,False,2
301520,万邦医药,2024-04-17,42.75,confirmed_rebound,2024-04-16,40.99,4.293730178092212,10.026835813613074,27.80908770693906,False,1
688177,百奥泰,2024-04-17,29.51,bottom_area,2024-04-16,28.38,3.9816772374912004,7.751937984496121,31.614457831325304,False,1
688017,绿的谐波,2024-04-17,107.85,bottom_area,2024-04-16,105.18,2.53850541928122,6.4746149458071764,29.171717171717166,False,2
000002,万科A,2024-04-17,7.1,bottom_area,2024-04-16,6.91,2.749638205499269,4.920405209840808,32.25490196078431,False,2
301391,卡莱特,2024-04-17,99.2,bottom_area,2024-04-16,95.12,4.289318755256516,6.160639192598821,28.22757111597374,False,1
