rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.85594435921887,85.63426966292134,002685,华东重机,bottom_area,2024-04-22,2.71,2024-04-16,2.67,1.4981273408239715,7.490636704119858,28.22580645161291,True,-2.8674,1.9039,2,2,2,100.0,62.24778046811945,109.52380952380952,6.501872659176029,1.4981273408239715,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
2,86.10816219965358,81.88364138180323,002432,九安医疗,bottom_area,2024-04-22,40.27,2024-04-17,39.72,1.3846928499496582,3.57502517623364,27.75554747180793,False,-0.6905,1.2713,2,2,2,100.0,37.638392901550795,65.03496503496503,6.615307150050342,1.3846928499496582,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
3,85.8808330392055,81.35177514792899,600052,东望时代,confirmed_rebound,2024-04-22,3.42,2024-04-16,3.38,1.1834319526627228,9.467455621301783,27.311827956989255,True,-2.8409,0.4744,1,1,1,100.0,56.0655737704918,56.0655737704918,6.816568047337277,1.1834319526627228,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.84%; 状态confirmed_rebound; 底部已确认
4,85.20675364940439,84.45382210021967,301367,瑞迈特,bottom_area,2024-04-22,74.03,2024-04-19,71.5,3.53846153846154,4.657342657342655,29.888213375171606,False,2.8194,2.0247,4,4,4,100.0,22.05115273070954,32.411969715178486,4.46153846153846,3.53846153846154,历史4/4次成功; 当前距低点3.54%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
5,84.77953187456619,79.22268036108709,002459,晶澳科技,bottom_area,2024-04-22,14.77,2024-04-22,14.7,0.47619047619047816,3.4013605442176873,28.222656250000007,False,-0.0677,1.3514,4,4,4,100.0,18.701046488179387,26.683937823834192,7.523809523809522,0.47619047619047816,历史4/4次成功; 当前距低点0.48%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
6,83.42426261188986,81.14381371545548,300725,药石科技,confirmed_rebound,2024-04-22,30.06,2024-04-16,29.31,2.5588536335721597,9.757761856021846,27.053260328521656,True,0.2668,1.8106,1,1,1,100.0,43.26881720430109,43.26881720430109,5.441146366427841,2.5588536335721597,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.27%; 状态confirmed_rebound; 底部已确认
7,83.24238612566941,81.45985287453257,002022,科华生物,bottom_area,2024-04-22,6.8,2024-04-22,6.61,2.874432677760961,3.630862329803318,27.362637362637354,False,0.4431,1.0912,3,3,3,100.0,14.481502042083621,25.04038772213247,5.125567322239039,2.874432677760961,历史3/3次成功; 当前距低点2.87%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
8,82.86294471315345,79.49822004875047,688276,百克生物,bottom_area,2024-04-22,39.75,2024-04-22,39.03,1.8447348193697126,4.406866512938762,29.293478260869566,False,-1.8519,1.6451,3,3,3,100.0,13.786104499534513,16.844155844155843,6.155265180630288,1.8447348193697126,历史3/3次成功; 当前距低点1.84%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
9,82.31870251640726,76.22102084852523,000889,中嘉博创,bottom_area,2024-04-22,1.21,2024-04-22,1.21,0.0,0.0,32.40223463687151,False,-4.7244,0.3014,5,5,5,100.0,19.199036820028066,34.408602150537625,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
10,81.75959974527218,76.26556015800465,300769,德方纳米,bottom_area,2024-04-22,31.35,2024-04-22,31.23,0.384245917387131,4.482869036183164,27.355198883461274,False,-3.2706,3.9921,5,5,5,100.0,11.890542202404806,20.592193808882907,7.6157540826128685,0.384245917387131,历史5/5次成功; 当前距低点0.38%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
11,81.49901506181577,80.34875914147463,002256,兆新股份,confirmed_rebound,2024-04-22,1.9,2024-04-16,1.84,3.2608695652173822,8.152173913043473,30.82706766917293,True,-1.0417,0.9933,5,5,5,100.0,20.07280510844219,31.775700934579426,4.739130434782618,3.2608695652173822,历史5/5次成功; 当前距低点3.26%; 最新日涨幅-1.04%; 状态confirmed_rebound; 底部已确认
