rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.46356607247186,83.62464812862196,002837,英维克,bottom_area,2024-05-29,24.39,2024-05-27,23.85,2.264150943396223,4.402515723270428,28.335336538461537,False,0.8268,1.2115,3,3,3,100.0,18.639313330996423,24.517374517374524,5.735849056603777,2.264150943396223,历史3/3次成功; 当前距低点2.26%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
2,85.63519598517215,79.49101614248502,605117,德业股份,confirmed_rebound,2024-05-29,69.18,2024-05-29,69.09,0.13026487190621422,9.277753654653345,31.857185126738337,False,-1.0866,1.5497,9,9,9,100.0,26.118387367909573,60.22338317420285,7.869735128093786,0.13026487190621422,历史9/9次成功; 当前距低点0.13%; 最新日涨幅-1.09%; 状态confirmed_rebound; 底部未确认
3,84.23697747904289,82.85681300184503,300598,诚迈科技,bottom_area,2024-05-29,28.24,2024-05-29,27.38,3.1409788166544903,5.441928414901395,31.240582621798097,False,1.2186,2.5937,3,3,3,100.0,25.25938012804982,43.96339317141851,4.85902118334551,3.1409788166544903,历史3/3次成功; 当前距低点3.14%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
4,82.6799809250297,81.53090155207772,605303,园林股份,confirmed_rebound,2024-05-29,7.89,2024-05-28,7.64,3.2722513089005236,8.376963350785337,29.19369786839666,False,1.5444,8.0847,4,4,4,100.0,13.28835772242428,23.681489141675293,4.727748691099476,3.2722513089005236,历史4/4次成功; 当前距低点3.27%; 最新日涨幅1.54%; 状态confirmed_rebound; 底部未确认
5,82.28968773973683,78.35889716084837,002670,国盛证券,bottom_area,2024-05-29,9.76,2024-05-27,9.62,1.4553014553014614,2.702702702702719,28.208955223880604,False,0.9307,1.9602,1,1,1,100.0,13.747228381374727,13.747228381374727,6.544698544698539,1.4553014553014614,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
6,79.50489310559453,74.47451844645663,600227,赤天化,bottom_area,2024-05-29,1.67,2024-05-29,1.66,0.6024096385542175,3.6144578313253044,28.755364806866957,False,-1.7647,1.1259,1,1,1,100.0,44.72049689440993,44.72049689440993,7.397590361445783,0.6024096385542175,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
7,78.41466376330536,72.83259498240979,605108,同庆楼,bottom_area,2024-05-29,24.78,2024-05-29,24.74,0.16168148746969563,2.0614389652384864,28.600288600288604,False,-1.2356,0.778,2,2,2,100.0,13.82381061204675,17.52165223184544,7.838318512530304,0.16168148746969563,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
8,76.75964455886896,74.87727390515678,603110,东方材料,bottom_area,2024-05-29,13.27,2024-05-27,12.92,2.7089783281733717,3.94736842105263,32.883116883116884,False,0.6829,1.8613,1,1,1,100.0,10.396475770925107,10.396475770925107,5.291021671826629,2.7089783281733717,历史1/1次成功; 当前距低点2.71%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
9,76.7385135382603,71.05417920209287,000702,正虹科技,bottom_area,2024-05-29,5.81,2024-05-29,5.81,0.0,4.991394148020655,29.57575757575758,False,-9.9225,25.8965,2,2,2,100.0,24.753651624155225,34.05275779376499,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
10,76.17018362440476,75.81856131107799,688238,和元生物,bottom_area,2024-05-29,5.52,2024-05-27,5.32,3.759398496240588,4.887218045112777,27.421555252387446,False,1.4706,1.0471,2,2,2,100.0,11.666612271540478,11.958224543080954,4.240601503759412,3.759398496240588,历史2/2次成功; 当前距低点3.76%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
11,75.4687900182911,69.87850927619546,000525,红太阳,bottom_area,2024-05-29,5.14,2024-05-29,5.14,0.0,0.0,27.092198581560282,False,-4.9908,0.3505,2,2,2,100.0,18.432845570943286,20.348837209302317,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
