rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.42718902924493,83.10873564732022,688095,福昕软件,bottom_area,2024-06-06,45.55,2024-06-06,45.03,1.1547856984232645,8.261159227181876,27.951999999999998,False,-4.8266,2.1227,4,4,4,100.0,18.288424944759377,31.679509356817103,8.845214301576735,1.1547856984232645,历史4/4次成功; 当前距低点1.15%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
2,88.54128403121761,83.09994515658121,002795,永和智控,bottom_area,2024-06-06,3.65,2024-06-06,3.59,1.6713091922005585,9.749303621169918,29.330708661417326,False,-5.9278,3.5244,4,4,4,100.0,24.57274255268006,31.302270011947446,8.328690807799441,1.6713091922005585,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
3,87.31992479884208,81.28184489253917,300745,欣锐科技,confirmed_rebound,2024-06-06,14.7,2024-06-06,14.52,1.2396694214876014,13.154269972451793,32.96398891966759,False,-8.9783,11.2457,5,5,5,100.0,19.72199555661768,36.150000000000006,8.760330578512399,1.2396694214876014,历史5/5次成功; 当前距低点1.24%; 最新日涨幅-8.98%; 状态confirmed_rebound; 底部未确认
4,86.94267990868595,81.27415217638391,002837,英维克,bottom_area,2024-06-06,23.6,2024-05-31,23.26,1.4617368873602745,5.546001719690452,30.108173076923073,False,-0.8403,1.0991,3,3,3,100.0,18.639313330996423,24.517374517374524,8.538263112639727,1.4617368873602745,历史3/3次成功; 当前距低点1.46%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
5,86.84192229882106,80.72071892011529,301393,昊帆生物,bottom_area,2024-06-06,39.97,2024-06-06,39.51,1.1642622120982054,7.061503416856491,29.547075606276753,False,-4.2635,6.0119,2,2,2,100.0,38.899122385479515,58.59438845001361,8.835737787901795,1.1642622120982054,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
6,86.74990060282639,81.34155268494443,300584,海辰药业,bottom_area,2024-06-06,15.04,2024-06-06,14.8,1.621621621621611,7.635135135135128,27.734375,False,-4.8703,2.3174,3,3,3,100.0,31.17661280775102,54.23197492163009,8.37837837837839,1.621621621621611,历史3/3次成功; 当前距低点1.62%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
7,86.6919616600463,80.67317687955247,000995,皇台酒业,confirmed_rebound,2024-06-06,8.27,2024-06-06,8.17,1.2239902080783311,11.260709914320685,29.93138936535163,False,-8.9207,4.4309,6,6,6,100.0,16.257390075113197,24.697644812221508,8.77600979192167,1.2239902080783311,历史6/6次成功; 当前距低点1.22%; 最新日涨幅-8.92%; 状态confirmed_rebound; 底部未确认
8,85.75353940856911,79.23036622757301,002761,浙江建投,bottom_area,2024-06-06,8.32,2024-06-06,8.25,0.8484848484848518,4.4848484848484755,28.26086956521739,False,-2.8037,2.9987,6,6,6,100.0,23.305976785583134,43.73730534867976,9.151515151515149,0.8484848484848518,历史6/6次成功; 当前距低点0.85%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
9,85.7064007707129,79.67333333333333,002491,通鼎互联,bottom_area,2024-06-06,3.46,2024-06-06,3.42,1.1695906432748548,8.479532163742691,29.48453608247422,False,-5.7221,1.6523,1,1,1,100.0,52.39520958083833,52.39520958083833,8.830409356725145,1.1695906432748548,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-5.72%; 状态bottom_area; 底部未确认
10,85.42665530097996,81.21923275186684,603333,尚纬股份,bottom_area,2024-06-06,3.05,2024-06-06,2.98,2.3489932885905986,9.060402684563758,28.70813397129186,False,-6.1538,3.4128,4,4,4,100.0,22.768480913190327,47.19626168224298,7.651006711409403,2.3489932885905986,历史4/4次成功; 当前距低点2.35%; 最新日涨幅-6.15%; 状态bottom_area; 底部未确认
11,85.33899214322308,80.01127256211787,300752,隆利科技,confirmed_rebound,2024-06-06,12.57,2024-06-06,12.37,1.616814874696856,10.024252223120456,31.086350974930365,False,-4.9887,5.0157,4,4,4,100.0,17.51403481949826,21.807655194596325,8.383185125303145,1.616814874696856,历史4/4次成功; 当前距低点1.62%; 最新日涨幅-4.99%; 状态confirmed_rebound; 底部未确认
12,85.32275555782083,78.70115681189117,688159,有方科技,bottom_area,2024-06-06,31.77,2024-06-06,31.53,0.7611798287345335,9.705042816365374,31.15720524017467,False,-5.4183,3.3768,4,4,4,100.0,29.60562807207472,61.150808574652125,9.238820171265468,0.7611798287345335,历史4/4次成功; 当前距低点0.76%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
13,85.31588333913426,79.85323896348494,002862,实丰文化,bottom_area,2024-06-06,12.63,2024-06-06,12.44,1.5273311897106214,7.315112540192928,27.505827505827508,False,-4.5351,4.3943,3,3,3,100.0,22.019107935619076,29.78505629477994,8.47266881028938,1.5273311897106214,历史3/3次成功; 当前距低点1.53%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
14,85.18421219299896,79.09107316685599,688129,东来技术,bottom_area,2024-06-06,11.89,2024-06-06,11.76,1.105442176870755,7.993197278911561,27.40740740740741,False,-5.4097,0.9154,2,2,2,100.0,29.416566290974792,32.881355932203384,8.894557823129245,1.105442176870755,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
15,84.28523803573438,78.51635235727363,300665,飞鹿股份,confirmed_rebound,2024-06-06,4.75,2024-06-06,4.69,1.2793176972281364,11.727078891257992,28.067484662576675,False,-8.6538,7.0374,3,3,3,100.0,22.006433908353674,23.50486787204451,8.720682302771865,1.2793176972281364,历史3/3次成功; 当前距低点1.28%; 最新日涨幅-8.65%; 状态confirmed_rebound; 底部未确认
16,83.89659618189471,77.92629641222739,688296,和达科技,confirmed_rebound,2024-06-06,8.98,2024-06-06,8.88,1.1261261261261222,12.950450450450433,30.298273155416005,False,-8.8325,4.5266,3,3,3,100.0,16.956257955886723,25.535420098846778,8.873873873873878,1.1261261261261222,历史3/3次成功; 当前距低点1.13%; 最新日涨幅-8.83%; 状态confirmed_rebound; 底部未确认
17,83.79368631368632,79.35428571428572,002687,乔治白,bottom_area,2024-06-06,4.29,2024-06-06,4.2,2.1428571428571392,4.523809523809512,28.2051282051282,False,-1.6055,3.0635,1,1,1,100.0,64.00000000000001,64.00000000000001,7.857142857142861,2.1428571428571392,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
18,83.67367712334554,80.20971066093443,300649,杭州园林,bottom_area,2024-06-06,9.98,2024-06-06,9.71,2.780638516992786,9.98970133882594,28.968544257498163,False,-5.9378,4.7604,3,3,3,100.0,39.29874451439769,71.60305343511452,7.219361483007214,2.780638516992786,历史3/3次成功; 当前距低点2.78%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
19,83.65830818880832,80.98345599754542,300538,同益股份,bottom_area,2024-06-06,13.17,2024-06-06,12.75,3.294117647058823,9.33333333333333,27.966101694915253,False,-1.7897,10.0325,5,5,5,100.0,22.871205552900758,33.419913419913414,6.705882352941178,3.294117647058823,历史5/5次成功; 当前距低点3.29%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
20,83.37944311926601,77.13825688073393,300720,海川智能,confirmed_rebound,2024-06-06,14.3,2024-06-06,14.17,0.9174311926605561,13.620324629498953,27.146529562982003,False,-9.6081,4.3866,3,3,3,100.0,57.75229601757511,75.69193742478939,9.082568807339445,0.9174311926605561,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-9.61%; 状态confirmed_rebound; 底部未确认
21,83.28440675053484,77.81276695411476,002162,悦心健康,bottom_area,2024-06-06,2.83,2024-06-06,2.79,1.4336917562724028,9.318996415770602,28.64450127877238,False,-4.3919,1.656,1,1,1,100.0,43.23432343234324,43.23432343234324,8.566308243727597,1.4336917562724028,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
22,83.2643625776318,78.33163967611334,600201,生物股份,bottom_area,2024-06-06,7.94,2024-06-06,7.8,1.7948717948718023,3.076923076923068,28.767123287671232,False,0.5063,2.3552,1,1,1,100.0,17.76315789473684,17.76315789473684,8.205128205128197,1.7948717948718023,历史1/1次成功; 当前距低点1.79%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
23,83.14225799550424,77.19673643428628,300611,美力科技,bottom_area,2024-06-06,7.31,2024-06-06,7.23,1.1065006915629207,9.958506224066387,30.279652844744447,False,-7.1156,5.6648,1,1,1,100.0,35.911602209944746,35.911602209944746,8.89349930843708,1.1065006915629207,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-7.12%; 状态bottom_area; 底部未确认
24,82.92810061838593,78.78550778945646,300485,赛升药业,confirmed_rebound,2024-06-06,6.2,2024-06-06,6.06,2.31023102310232,11.05610561056107,29.20560747663552,False,-7.6006,2.8261,4,4,4,100.0,19.423841516826613,34.915773353751916,7.68976897689768,2.31023102310232,历史4/4次成功; 当前距低点2.31%; 最新日涨幅-7.60%; 状态confirmed_rebound; 底部未确认
25,82.91041972810737,78.74371209270844,000813,德展健康,bottom_area,2024-06-06,2.23,2024-06-06,2.18,2.293577981651368,8.256880733944941,29.677419354838708,False,-5.1064,1.5415,3,3,3,100.0,25.446612316524458,39.9103139013453,7.706422018348633,2.293577981651368,历史3/3次成功; 当前距低点2.29%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
26,82.8845403306011,77.35890430856104,000663,永安林业,confirmed_rebound,2024-06-06,4.41,2024-06-06,4.35,1.3793103448275978,11.034482758620701,27.86069651741294,False,-7.5472,3.5629,2,2,2,100.0,33.67597792885999,50.39215686274511,8.620689655172404,1.3793103448275978,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-7.55%; 状态confirmed_rebound; 底部未确认
