rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.06458727360541,85.3380355048353,002317,众生药业,bottom_area,2024-07-02,11.45,2024-06-25,11.25,1.7777777777777715,6.222222222222216,27.745664739884397,False,-1.2931,1.3507,4,4,4,100.0,27.695531388003374,58.31999999999999,6.2222222222222285,1.7777777777777715,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
2,88.94873804054359,84.27497803482088,688111,金山办公,bottom_area,2024-07-02,200.02,2024-07-02,197.66,1.1939694424769876,4.482444601841553,27.776965799473842,False,-2.4293,1.3301,4,4,4,100.0,14.823808406819378,27.68058076225045,6.8060305575230124,1.1939694424769876,历史4/4次成功; 当前距低点1.19%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
3,88.01236330288401,83.1214722020051,600416,湘电股份,bottom_area,2024-07-02,9.83,2024-06-26,9.73,1.0277492291880745,4.933196300102779,27.496274217585686,False,-0.5061,0.813,3,3,3,100.0,23.251292712655438,34.41084462982274,6.972250770811926,1.0277492291880745,历史3/3次成功; 当前距低点1.03%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
4,85.3687545616376,82.48169475495,688185,康希诺,bottom_area,2024-07-02,41.14,2024-07-01,40.25,2.211180124223604,4.993788819875771,27.136133236784943,False,-0.4838,0.7044,8,8,8,100.0,17.651534613869938,36.75601999091322,5.7888198757763965,2.211180124223604,历史8/8次成功; 当前距低点2.21%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
5,85.32509486410945,82.3133560920894,300769,德方纳米,confirmed_rebound,2024-07-02,27.79,2024-06-26,27.21,2.1315692760014637,10.694597574421168,27.323717948717942,True,-0.036,2.4859,6,6,6,100.0,16.792118502004005,41.300000000000004,5.868430723998537,2.1315692760014637,历史6/6次成功; 当前距低点2.13%; 最新日涨幅-0.04%; 状态confirmed_rebound; 底部已确认
6,84.72051308347217,81.9049720857875,603368,柳药集团,bottom_area,2024-07-02,17.78,2024-06-28,17.39,2.242668200115012,4.945370902817707,27.842323651452283,False,-1.3866,1.6783,3,3,3,100.0,31.603524634675978,42.85714285714285,5.757331799884988,2.242668200115012,历史3/3次成功; 当前距低点2.24%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
7,84.70384809351889,83.41522666096331,001212,中旗新材,bottom_area,2024-07-02,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-1.3126,0.9526,4,4,4,100.0,34.82643959229107,82.06521739130437,4.7971530249110375,3.2028469750889625,历史4/4次成功; 当前距低点3.20%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
8,84.67995398307231,82.83121690656938,002810,山东赫达,bottom_area,2024-07-02,11.9,2024-07-01,11.57,2.852203975799482,4.58081244598098,31.335311572700302,False,0.0,0.6975,3,3,3,100.0,21.58194608275378,46.13526570048308,5.1477960242005185,2.852203975799482,历史3/3次成功; 当前距低点2.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,84.26152598490758,83.81052762994823,601388,怡球资源,bottom_area,2024-07-02,2.23,2024-06-26,2.15,3.720930232558143,4.651162790697678,27.609427609427616,False,0.0,0.6701,4,4,4,100.0,20.829293334305355,35.632183908045974,4.279069767441857,3.720930232558143,历史4/4次成功; 当前距低点3.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,83.88937924417391,78.85375259905118,603305,旭升集团,bottom_area,2024-07-02,10.31,2024-07-01,10.23,0.7820136852394923,3.910068426197462,30.170648464163826,False,-1.9962,1.1212,4,4,4,100.0,20.466364523640955,32.41061130334487,7.217986314760508,0.7820136852394923,历史4/4次成功; 当前距低点0.78%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
11,83.5633481241524,78.66332899306722,688156,路德科技,bottom_area,2024-07-02,12.92,2024-07-01,12.81,0.8587041373926576,3.2786885245901636,28.235294117647065,False,-0.6154,1.1688,5,5,5,100.0,20.38265820603483,44.22535211267606,7.141295862607342,0.8587041373926576,历史5/5次成功; 当前距低点0.86%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
12,83.35678955253162,81.62492164970314,002838,道恩股份,bottom_area,2024-07-02,9.2,2024-06-26,8.94,2.908277404921698,5.369127516778528,28.934817170111295,False,-1.0753,0.5313,5,5,5,100.0,21.59029103722908,38.59649122807017,5.091722595078302,2.908277404921698,历史5/5次成功; 当前距低点2.91%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
13,83.17260480916686,81.75927858636733,603060,国检集团,bottom_area,2024-07-02,5.97,2024-06-26,5.79,3.1088082901554355,5.354058721934363,27.71535580524344,False,1.0152,0.1938,3,3,3,100.0,18.964309074848,36.2098138747885,4.8911917098445645,3.1088082901554355,历史3/3次成功; 当前距低点3.11%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
14,82.80905426127184,81.11305404042656,600223,福瑞达,bottom_area,2024-07-02,7.04,2024-07-01,6.84,2.9239766081871372,4.093567251461992,27.15654952076678,False,0.1422,0.6592,2,2,2,100.0,29.890971543512023,47.49216300940439,5.076023391812863,2.9239766081871372,历史2/2次成功; 当前距低点2.92%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
15,82.52005294960082,79.13828695819574,301332,德尔玛,bottom_area,2024-07-02,8.93,2024-06-24,8.77,1.824401368301028,4.332953249714946,30.507131537242472,False,-0.4459,0.8757,1,1,1,100.0,44.935064935064936,44.935064935064936,6.175598631698972,1.824401368301028,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
16,82.44519353106068,78.23629665976625,002568,百润股份,bottom_area,2024-07-02,16.67,2024-06-28,16.46,1.275820170109361,5.589307411907644,31.416666666666664,False,-2.4576,1.4964,2,2,2,100.0,16.69444434201939,21.848739495798313,6.724179829890639,1.275820170109361,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
17,82.28391166690882,81.17850227423833,002219,新里程,bottom_area,2024-07-02,1.88,2024-07-01,1.82,3.296703296703287,4.945054945054937,30.26819923371647,False,1.0753,0.6292,2,2,2,100.0,34.81175156302061,45.685279187817265,4.703296703296713,3.296703296703287,历史2/2次成功; 当前距低点3.30%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
18,82.0669813089052,80.62298750288342,002145,钛能化学,bottom_area,2024-07-02,3.35,2024-07-01,3.25,3.0769230769230793,4.615384615384613,31.72268907563025,False,0.0,0.724,3,3,3,100.0,12.46436622724744,16.649537512846855,4.923076923076921,3.0769230769230793,历史3/3次成功; 当前距低点3.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,81.40122316013783,80.17827055095592,601908,京运通,bottom_area,2024-07-02,2.57,2024-06-24,2.49,3.2128514056224744,6.827309236947787,28.857142857142854,False,0.3906,0.6848,2,2,2,100.0,28.406299762231964,40.33898305084744,4.787148594377526,3.2128514056224744,历史2/2次成功; 当前距低点3.21%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
20,81.328954137421,78.21599127769319,002779,中坚科技,bottom_area,2024-07-02,27.94,2024-07-02,27.4,1.9708029197080392,3.1021897810219032,28.720083246618106,False,-0.4986,0.7586,2,2,2,100.0,25.1044190033737,29.818594104308378,6.0291970802919606,1.9708029197080392,历史2/2次成功; 当前距低点1.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
21,80.65754962056863,75.2069503802733,601012,隆基绿能,bottom_area,2024-07-02,13.82,2024-07-01,13.77,0.3631082062454663,3.0501089324618733,30.664652567975832,False,-1.637,1.0008,3,3,3,100.0,12.391597260822351,14.403553299492398,7.636891793754534,0.3631082062454663,历史3/3次成功; 当前距低点0.36%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
22,80.60611282639883,80.07853658536584,002687,乔治白,bottom_area,2024-07-02,4.25,2024-06-24,4.1,3.6585365853658622,4.390243902439039,29.914529914529915,False,0.0,0.7346,1,1,1,100.0,64.00000000000001,64.00000000000001,4.341463414634138,3.6585365853658622,历史1/1次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
23,80.56696825281253,81.1323504861656,603326,我乐家居,bottom_area,2024-07-02,5.74,2024-06-27,5.5,4.363636363636368,5.636363636363629,32.34932349323494,False,0.7018,1.0142,4,4,4,100.0,14.30882470568014,20.141843971631218,3.6363636363636327,4.363636363636368,历史4/4次成功; 当前距低点4.36%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
24,80.52207662216604,77.90663944093464,300601,康泰生物,bottom_area,2024-07-02,15.68,2024-07-01,15.33,2.283105022831048,4.305283757338553,29.257037378864798,False,-1.5075,0.7943,3,3,3,100.0,10.602789747255038,11.580726965342352,5.716894977168952,2.283105022831048,历史3/3次成功; 当前距低点2.28%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
25,80.19295818090154,76.7984913020106,300393,中来股份,bottom_area,2024-07-02,5.81,2024-06-26,5.71,1.7513134851138292,5.078809106830123,29.766297662976637,False,-0.5137,0.9258,4,5,4,80.0,24.792935742312604,36.516853932584276,6.248686514886171,1.7513134851138292,历史4/5次成功; 当前距低点1.75%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
26,80.04267463435244,76.8812045410746,002612,朗姿股份,bottom_area,2024-07-02,13.91,2024-07-01,13.65,1.904761904761903,3.150183150183148,28.38405036726127,False,-0.4295,0.9397,2,2,2,100.0,17.118611203934037,20.77294685990338,6.095238095238097,1.904761904761903,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
27,78.9874366751682,77.77444080933455,002129,TCL中环,bottom_area,2024-07-02,8.72,2024-06-25,8.45,3.1952662721893654,5.68047337278107,29.110738255033564,False,-0.9091,1.182,3,3,3,100.0,21.073375859818903,31.12759643916912,4.804733727810635,3.1952662721893654,历史3/3次成功; 当前距低点3.20%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
28,78.7918687488148,77.11026750621161,300755,华致酒行,bottom_area,2024-07-02,13.94,2024-07-01,13.55,2.8782287822878136,4.059040590405896,28.26892535733192,False,0.4323,0.3843,1,1,1,100.0,24.47650069799908,24.47650069799908,5.121771217712187,2.8782287822878136,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
29,78.75245813690127,76.41972519728158,300653,正海生物,bottom_area,2024-07-02,20.18,2024-07-01,19.7,2.4365482233502562,3.8578680203045765,29.54220314735337,False,-0.8354,0.3195,2,2,2,100.0,21.156210465162204,29.647513278609367,5.563451776649744,2.4365482233502562,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
