rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.30822737523053,83.47761583326991,000065,北方国际,bottom_area,2024-07-11,9.85,2024-07-09,9.54,3.2494758909853303,3.7735849056603903,28.000000000000007,False,1.9669,0.8058,3,3,3,100.0,29.926993896325044,41.48061104582843,6.750524109014671,3.2494758909853303,历史3/3次成功; 当前距低点3.25%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
2,84.89631138419057,82.19625982595429,600973,宝胜股份,bottom_area,2024-07-11,3.44,2024-07-09,3.33,3.3033033033032995,4.504504504504501,28.077753779697623,False,1.1765,0.7631,2,2,2,100.0,40.36446966390223,46.551724137931025,6.6966966966967005,3.3033033033032995,历史2/2次成功; 当前距低点3.30%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
3,84.3887382649834,80.66570569446944,000620,盈新发展,bottom_area,2024-07-11,1.56,2024-07-10,1.52,2.6315789473684235,4.605263157894741,30.59360730593607,False,1.9608,0.8312,5,6,5,83.33333333333334,26.67942129643067,58.4192439862543,7.368421052631577,2.6315789473684235,历史5/6次成功; 当前距低点2.63%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
4,84.17686417824132,79.01519072819514,600295,鄂尔多斯,bottom_area,2024-07-11,9.69,2024-07-10,9.53,1.6789087093389312,4.40713536201469,29.250185597624355,False,1.1482,0.2962,1,1,1,100.0,20.016680567139286,20.016680567139286,8.32109129066107,1.6789087093389312,历史1/1次成功; 当前距低点1.68%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
5,82.31725973608134,80.97890544113375,601886,江河集团,bottom_area,2024-07-11,4.78,2024-07-09,4.59,4.139433551198265,4.57516339869281,27.488151658767773,False,2.3555,0.8532,3,3,3,100.0,27.40222547239673,33.5540838852097,5.860566448801735,4.139433551198265,历史3/3次成功; 当前距低点4.14%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
6,81.9448653976902,76.52690834384256,601699,潞安环能,bottom_area,2024-07-11,16.54,2024-07-11,16.31,1.410177805027593,2.7590435315757382,31.871345029239773,False,-0.601,0.772,1,1,1,100.0,25.817815802717657,25.817815802717657,8.589822194972408,1.410177805027593,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
7,81.2893554469747,80.68761728417742,603368,柳药集团,bottom_area,2024-07-11,17.7,2024-07-09,16.92,4.6099290780141695,5.319148936170204,29.79253112033195,False,2.4899,1.7059,3,3,3,100.0,31.603524634675978,42.85714285714285,5.390070921985831,4.6099290780141695,历史3/3次成功; 当前距低点4.61%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
8,81.08787704949538,79.92289919679632,600155,华创云信,bottom_area,2024-07-11,5.9,2024-07-08,5.66,4.240282685512371,4.593639575971728,27.806122448979586,False,2.6087,0.897,2,2,2,100.0,39.627654407336166,46.19883040935671,5.759717314487629,4.240282685512371,历史2/2次成功; 当前距低点4.24%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
9,80.45889523629964,78.4964831573655,603063,禾望电气,bottom_area,2024-07-11,14.0,2024-07-09,13.5,3.7037037037037033,5.925925925925931,28.4957627118644,False,0.7919,2.6819,2,2,2,100.0,25.38133119252664,28.846153846153843,6.296296296296297,3.7037037037037033,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
10,80.35983221908438,76.70805302581238,002572,索菲亚,bottom_area,2024-07-11,14.83,2024-07-09,14.46,2.5587828492392752,3.6652835408022084,32.869080779944284,False,1.5753,1.4905,1,1,1,100.0,18.398268398268392,18.398268398268392,7.4412171507607265,2.5587828492392752,历史1/1次成功; 当前距低点2.56%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
11,79.46920559441386,78.84835242570752,603208,江山欧派,bottom_area,2024-07-11,17.78,2024-07-09,17.0,4.588235294117654,5.88235294117647,29.460580912863076,False,2.3015,0.4472,3,3,3,100.0,21.449080087611623,33.175355450236964,5.411764705882346,4.588235294117654,历史3/3次成功; 当前距低点4.59%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
12,79.26068484842945,77.40135897650747,600161,天坛生物,bottom_area,2024-07-11,23.77,2024-07-05,22.91,3.7538192928852006,5.543430816237449,29.42082563154652,False,0.2954,0.3654,1,1,1,100.0,36.77455357142857,36.77455357142857,6.2461807071147994,3.7538192928852006,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
13,78.88301178581591,78.05266429333362,605567,春雪食品,bottom_area,2024-07-11,7.52,2024-07-09,7.2,4.444444444444437,5.416666666666662,29.961089494163417,False,2.5921,1.7368,2,2,2,100.0,32.07525605734906,36.46616541353383,5.555555555555563,4.444444444444437,历史2/2次成功; 当前距低点4.44%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
14,78.61287711855746,76.32761906278542,002698,博实股份,bottom_area,2024-07-11,11.69,2024-07-09,11.3,3.4513274336283075,5.044247787610606,28.84130982367758,False,1.7406,0.8974,2,2,2,100.0,10.627126943322317,11.142857142857146,6.548672566371694,3.4513274336283075,历史2/2次成功; 当前距低点3.45%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
15,78.36457438776296,76.70866961771885,688215,瑞晟智能,bottom_area,2024-07-11,17.14,2024-07-10,16.5,3.8787878787878824,4.242424242424238,31.19266055045872,False,3.6276,0.7483,2,2,2,100.0,17.915623555673264,18.13676907829534,6.121212121212118,3.8787878787878824,历史2/2次成功; 当前距低点3.88%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
16,77.48163539821209,75.22867867582276,600389,江山股份,bottom_area,2024-07-11,13.49,2024-07-09,13.04,3.4509202453987817,5.061349693251535,28.74316939890711,False,2.352,1.1054,1,1,1,100.0,21.380520620064356,21.380520620064356,6.54907975460122,3.4509202453987817,历史1/1次成功; 当前距低点3.45%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
