rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.556603542339,81.4396832493777,600973,宝胜股份,bottom_area,2024-07-12,3.39,2024-07-09,3.33,1.8018018018018036,4.504504504504501,28.077753779697623,False,-1.4535,0.7415,2,2,2,100.0,40.36446966390223,46.551724137931025,13.198198198198197,1.8018018018018036,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
2,90.36437052976945,80.50291489077865,601717,中创智领,bottom_area,2024-07-12,13.29,2024-07-12,13.12,1.2957317073170727,4.115853658536593,27.513812154696144,False,-2.3512,1.4737,2,2,2,100.0,29.124640771298786,35.43478260869567,13.704268292682928,1.2957317073170727,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
3,90.15792381429378,81.68755294018814,000065,北方国际,bottom_area,2024-07-12,9.75,2024-07-09,9.54,2.2012578616352294,4.088050314465415,28.000000000000007,False,-1.0152,0.7335,3,3,3,100.0,29.926993896325044,41.48061104582843,12.798742138364771,2.2012578616352294,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
4,86.1595545323497,79.60690806431927,603368,柳药集团,bottom_area,2024-07-12,17.47,2024-07-09,16.92,3.2505910165484466,5.319148936170204,29.79253112033195,False,-1.2994,1.3622,3,3,3,100.0,31.603524634675978,42.85714285714285,11.749408983451554,3.2505910165484466,历史3/3次成功; 当前距低点3.25%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
5,84.97682791916279,76.90359380845857,600161,天坛生物,bottom_area,2024-07-12,23.4,2024-07-05,22.91,2.1388040157136556,5.543430816237449,29.42082563154652,False,-1.5566,0.3849,1,1,1,100.0,36.77455357142857,36.77455357142857,12.861195984286343,2.1388040157136556,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
6,83.07919927811552,78.65486322188451,600094,大名城,bottom_area,2024-07-12,3.44,2024-07-09,3.29,4.559270516717322,9.118541033434644,30.000000000000004,True,-2.5496,0.8487,2,2,2,100.0,51.71595225176342,87.28070175438596,10.440729483282677,4.559270516717322,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-2.55%; 状态bottom_area; 底部已确认
7,82.77939441670668,78.8126642933336,605567,春雪食品,bottom_area,2024-07-12,7.55,2024-07-09,7.2,4.861111111111106,7.638888888888887,29.961089494163417,True,0.3989,2.2825,2,2,2,100.0,32.07525605734906,36.46616541353383,10.138888888888893,4.861111111111106,历史2/2次成功; 当前距低点4.86%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
8,82.61882759474105,77.29563746727757,601886,江河集团,bottom_area,2024-07-12,4.77,2024-07-09,4.59,3.921568627450974,5.228758169934646,27.488151658767773,False,-0.2092,0.8112,3,3,3,100.0,27.40222547239673,33.5540838852097,11.078431372549025,3.921568627450974,历史3/3次成功; 当前距低点3.92%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
9,82.14485326096668,75.60431858597835,002572,索菲亚,bottom_area,2024-07-12,14.9,2024-07-09,14.46,3.04287690179806,5.463347164591972,32.869080779944284,False,0.472,1.3734,1,1,1,100.0,18.398268398268392,18.398268398268392,11.95712309820194,3.04287690179806,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
10,81.62589418121821,73.99223938523639,600970,中材国际,bottom_area,2024-07-12,10.1,2024-07-12,9.88,2.2267206477732677,3.947368421052619,27.03101920236336,False,-1.8465,1.3501,1,1,1,100.0,22.19979818365287,22.19979818365287,12.773279352226732,2.2267206477732677,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
11,81.40803935312567,74.73957870862795,688215,瑞晟智能,bottom_area,2024-07-12,16.98,2024-07-10,16.5,2.9090909090909114,4.666666666666664,31.19266055045872,False,-0.9335,0.858,2,2,2,100.0,17.915623555673264,18.13676907829534,12.090909090909088,2.9090909090909114,历史2/2次成功; 当前距低点2.91%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
12,81.00564274252045,75.81191516715754,002299,圣农发展,bottom_area,2024-07-12,12.4,2024-07-10,11.93,3.9396479463537353,6.370494551550711,31.436781609195396,False,-1.7433,0.6006,3,3,3,100.0,19.64684131636587,26.73830594184577,11.060352053646264,3.9396479463537353,历史3/3次成功; 当前距低点3.94%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
