rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.74553370919453,84.61928037584553,603215,比依股份,bottom_area,2024-07-15,11.72,2024-07-09,11.5,1.913043478260875,6.956521739130441,32.70918665886483,False,-1.6779,1.3503,4,4,4,100.0,25.48935218430281,36.01562499999999,8.086956521739125,1.913043478260875,历史4/4次成功; 当前距低点1.91%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
2,88.9999842026181,84.03563775773371,000923,河钢资源,bottom_area,2024-07-15,16.42,2024-07-12,16.1,1.9875776397515543,7.4534161490683175,27.050294517444488,False,0.3667,1.5996,3,3,3,100.0,17.458681593372262,27.519999999999996,8.012422360248445,1.9875776397515543,历史3/3次成功; 当前距低点1.99%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
3,86.70806937362873,83.5982862948277,300480,光力科技,bottom_area,2024-07-15,13.71,2024-07-09,13.3,3.082706766917294,7.4436090225563785,28.108108108108105,True,-2.2111,1.2165,5,5,5,100.0,25.144396362360865,39.69465648854962,6.917293233082707,3.082706766917294,历史5/5次成功; 当前距低点3.08%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
4,86.3785547617535,80.49614422242261,601717,中创智领,bottom_area,2024-07-15,13.26,2024-07-15,13.09,1.298701298701298,1.757066462948819,27.679558011049732,False,-0.2257,1.1852,2,2,2,100.0,29.124640771298786,35.43478260869567,8.701298701298702,1.298701298701298,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
5,86.07072372525685,81.7629364331136,603368,柳药集团,bottom_area,2024-07-15,17.31,2024-07-09,16.92,2.3049645390070745,5.319148936170204,29.79253112033195,False,-0.9159,0.881,3,3,3,100.0,31.603524634675978,42.85714285714285,7.6950354609929255,2.3049645390070745,历史3/3次成功; 当前距低点2.30%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
6,86.0404491387516,82.07652600769799,603113,金能科技,bottom_area,2024-07-15,5.28,2024-07-09,5.15,2.524271844660192,6.407766990291264,28.867403314917123,False,-1.8587,0.6612,5,5,5,100.0,19.31110652431836,31.03448275862069,7.475728155339809,2.524271844660192,历史5/5次成功; 当前距低点2.52%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
7,85.28610416165691,79.79064196320307,002803,吉宏股份,bottom_area,2024-07-15,10.12,2024-07-10,9.97,1.5045135406218513,6.018054162487458,32.40677966101694,False,-1.5564,1.3475,2,2,2,100.0,27.854477611940297,41.25000000000001,8.49548645937815,1.5045135406218513,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
8,84.87664367502536,82.22424856018081,601388,怡球资源,bottom_area,2024-07-15,2.17,2024-07-09,2.1,3.3333333333333255,7.619047619047604,29.292929292929294,True,-2.2523,0.6684,4,4,4,100.0,20.829293334305355,35.632183908045974,6.666666666666675,3.3333333333333255,历史4/4次成功; 当前距低点3.33%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
9,84.19843891904716,77.62346488987369,000065,北方国际,bottom_area,2024-07-15,9.61,2024-07-09,9.54,0.7337526205450764,4.088050314465415,28.000000000000007,False,-1.4359,0.4985,3,3,3,100.0,29.926993896325044,41.48061104582843,9.266247379454924,0.7337526205450764,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
10,84.03735030395138,81.42689969604865,600094,大名城,bottom_area,2024-07-15,3.4,2024-07-09,3.29,3.3434650455927013,9.118541033434644,30.000000000000004,True,-1.1628,0.4743,2,2,2,100.0,51.71595225176342,87.28070175438596,6.656534954407299,3.3434650455927013,历史2/2次成功; 当前距低点3.34%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
11,84.0086093455175,80.27602962414029,601886,江河集团,bottom_area,2024-07-15,4.71,2024-07-09,4.59,2.614379084967323,5.228758169934646,27.488151658767773,False,-1.2579,0.5402,3,3,3,100.0,27.40222547239673,33.5540838852097,7.3856209150326775,2.614379084967323,历史3/3次成功; 当前距低点2.61%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
12,84.00201665499065,78.91629957149436,600295,鄂尔多斯,bottom_area,2024-07-15,9.45,2024-07-15,9.29,1.7222820236813794,2.691065662002153,31.03192279138828,False,0.4251,0.2568,1,1,1,100.0,20.016680567139286,20.016680567139286,8.277717976318621,1.7222820236813794,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
13,82.85757224722305,78.58245897831814,605580,恒盛能源,bottom_area,2024-07-15,8.29,2024-07-09,8.11,2.219482120838468,7.274969173859431,28.859649122807024,True,-2.0095,1.1386,2,2,2,100.0,20.929452762526086,27.66233766233766,7.7805178791615335,2.219482120838468,历史2/2次成功; 当前距低点2.22%; 最新日涨幅-2.01%; 状态bottom_area; 底部已确认
14,82.18833010588871,79.70892726507944,688102,斯瑞新材,bottom_area,2024-07-15,8.23,2024-07-05,7.96,3.3919597989949803,9.798994974874375,31.90761334473909,True,-1.4371,1.2186,3,3,3,100.0,24.691374230042936,37.1943371943372,6.60804020100502,3.3919597989949803,历史3/3次成功; 当前距低点3.39%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
15,81.29250991869564,80.65048015715833,002317,众生药业,bottom_area,2024-07-15,11.18,2024-07-10,10.69,4.58372310570627,8.886810102899917,31.342324983943488,True,-2.4433,1.0774,4,4,4,100.0,27.695531388003374,58.31999999999999,5.4162768942937305,4.58372310570627,历史4/4次成功; 当前距低点4.58%; 最新日涨幅-2.44%; 状态bottom_area; 底部已确认
