rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.32937910488015,85.43864799900118,601886,江河集团,bottom_area,2024-07-18,4.68,2024-07-18,4.58,2.18340611353711,2.18340611353711,27.64612954186414,False,0.2141,0.6552,3,3,3,100.0,27.40222547239673,33.5540838852097,12.81659388646289,2.18340611353711,历史3/3次成功; 当前距低点2.18%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,93.19227544046772,83.31788583286931,000065,北方国际,bottom_area,2024-07-18,9.56,2024-07-18,9.42,1.486199575371556,2.441613588110408,28.905660377358487,False,-0.7269,0.798,3,3,3,100.0,29.926993896325044,41.48061104582843,13.513800424628444,1.486199575371556,历史3/3次成功; 当前距低点1.49%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
3,92.09208106061833,83.95563945875165,600973,宝胜股份,bottom_area,2024-07-18,3.24,2024-07-18,3.16,2.531645569620255,2.84810126582278,31.749460043196542,False,0.9346,0.5781,2,2,2,100.0,40.36446966390223,46.551724137931025,12.468354430379744,2.531645569620255,历史2/2次成功; 当前距低点2.53%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
4,92.0055477134443,84.50843522276827,603368,柳药集团,bottom_area,2024-07-18,17.19,2024-07-16,16.7,2.934131736526958,3.413173652694613,30.705394190871377,False,0.703,1.14,3,3,3,100.0,31.603524634675978,42.85714285714285,12.06586826347304,2.934131736526958,历史3/3次成功; 当前距低点2.93%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
5,91.24556990611998,82.43733089118254,000811,冰轮环境,bottom_area,2024-07-18,8.47,2024-07-18,8.3,2.048192771084336,3.012048192771084,30.13468013468013,False,-1.2821,2.6376,3,3,3,100.0,32.0817763938432,47.451868629671566,12.951807228915662,2.048192771084336,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
6,90.75387474816965,83.29419392662825,002246,北化股份,bottom_area,2024-07-18,7.47,2024-07-18,7.26,2.892561983471074,3.5812672176308515,31.315042573320724,False,0.0,1.7389,3,3,3,100.0,24.565780908291877,31.992687385740403,12.107438016528924,2.892561983471074,历史3/3次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,89.76669035542346,80.1588639101215,300349,金卡智能,bottom_area,2024-07-18,10.7,2024-07-18,10.55,1.421800947867285,2.3696682464454977,29.24211938296445,False,-1.1091,1.0362,1,1,1,100.0,45.48693586698337,45.48693586698337,13.578199052132714,1.421800947867285,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
8,89.7584815252755,81.54964235245374,001218,丽臣实业,bottom_area,2024-07-18,14.38,2024-07-18,14.05,2.348754448398577,3.416370106761556,29.040404040404038,False,0.0696,0.8144,2,2,2,100.0,25.18711018711019,29.999999999999993,12.651245551601424,2.348754448398577,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
9,89.5803127607566,80.08072176491132,601717,中创智领,bottom_area,2024-07-18,13.02,2024-07-18,12.83,1.4809041309430984,2.3382696804364826,29.11602209944752,False,-0.1534,0.9343,2,2,2,100.0,29.124640771298786,35.43478260869567,13.519095869056901,1.4809041309430984,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
10,88.43792896406256,81.92213930695466,603209,兴通股份,bottom_area,2024-07-18,12.51,2024-07-18,12.1,3.388429752066117,3.4710743801652884,27.674835624626425,False,1.4599,0.857,3,3,3,100.0,23.267522267018258,26.115859449192786,11.611570247933884,3.388429752066117,历史3/3次成功; 当前距低点3.39%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
11,88.2937531233042,79.69137157107231,002687,乔治白,bottom_area,2024-07-18,4.09,2024-07-09,4.01,1.9950124688279323,6.733167082294276,31.45299145299145,False,-0.9685,0.7552,1,1,1,100.0,64.00000000000001,64.00000000000001,13.004987531172068,1.9950124688279323,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
12,87.13504156139318,80.25260283158937,603282,亚光股份,bottom_area,2024-07-18,15.73,2024-07-09,15.26,3.079947575360424,7.7326343381389355,27.848699763593377,True,0.447,0.8951,1,1,1,100.0,34.64991023339317,34.64991023339317,11.920052424639575,3.079947575360424,历史1/1次成功; 当前距低点3.08%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
13,86.9192901849218,79.49297297297299,603012,创力集团,bottom_area,2024-07-18,4.18,2024-07-09,4.07,2.7027027027026884,6.633906633906624,27.19141323792486,False,0.0,0.9085,1,1,1,100.0,35.13513513513512,35.13513513513512,12.29729729729731,2.7027027027026884,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,86.73841441774849,81.63289919679632,600155,华创云信,bottom_area,2024-07-18,5.9,2024-07-08,5.66,4.240282685512371,7.59717314487632,27.806122448979586,True,0.0,0.8171,2,2,2,100.0,39.627654407336166,46.19883040935671,10.759717314487629,4.240282685512371,历史2/2次成功; 当前距低点4.24%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
15,86.68929471767086,78.59982380093254,002367,康力电梯,bottom_area,2024-07-18,5.48,2024-07-18,5.36,2.2388059701492558,3.1716417910447747,30.208333333333325,False,0.0,0.7332,1,1,1,100.0,24.646781789638936,24.646781789638936,12.761194029850746,2.2388059701492558,历史1/1次成功; 当前距低点2.24%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,85.91202934696243,78.35307123034228,000629,钒钛股份,bottom_area,2024-07-18,2.41,2024-07-18,2.35,2.5531914893617045,2.5531914893617045,28.78787878787878,False,0.4167,0.5504,1,1,1,100.0,27.173913043478265,27.173913043478265,12.446808510638295,2.5531914893617045,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
