rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.44586290851379,85.07380129739421,603113,金能科技,bottom_area,2024-07-19,5.02,2024-07-19,4.96,1.209677419354831,2.4193548387096793,31.491712707182323,False,-1.3752,0.9681,5,5,5,100.0,19.31110652431836,31.03448275862069,8.790322580645169,1.209677419354831,历史5/5次成功; 当前距低点1.21%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
2,89.89588007940172,84.12275016604565,300349,金卡智能,bottom_area,2024-07-19,10.71,2024-07-18,10.55,1.5165876777251197,2.654028436018951,29.24211938296445,False,0.0935,0.8031,1,1,1,100.0,45.48693586698337,45.48693586698337,8.48341232227488,1.5165876777251197,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
3,89.14584353464036,85.24383691527898,000811,冰轮环境,bottom_area,2024-07-19,8.52,2024-07-18,8.3,2.65060240963854,3.734939759036129,30.13468013468013,False,0.5903,1.599,3,3,3,100.0,32.0817763938432,47.451868629671566,7.34939759036146,2.65060240963854,历史3/3次成功; 当前距低点2.65%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
4,88.39018188547692,82.6935173564753,600287,苏豪时尚,bottom_area,2024-07-19,2.7,2024-07-16,2.66,1.5037593984962419,6.766917293233071,29.066666666666663,False,0.0,3.0611,2,2,2,100.0,20.978971962616825,28.499999999999993,8.496240601503759,1.5037593984962419,历史2/2次成功; 当前距低点1.50%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,88.28128119001187,84.59342723414322,000065,北方国际,bottom_area,2024-07-19,9.68,2024-07-18,9.42,2.760084925690019,3.290870488322723,28.905660377358487,False,1.2552,0.5635,3,3,3,100.0,29.926993896325044,41.48061104582843,7.239915074309981,2.760084925690019,历史3/3次成功; 当前距低点2.76%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
6,87.41684547145097,84.23538133055271,603368,柳药集团,bottom_area,2024-07-19,17.21,2024-07-16,16.7,3.053892215568872,3.413173652694613,30.705394190871377,False,0.1163,0.8097,3,3,3,100.0,31.603524634675978,42.85714285714285,6.9461077844311285,3.053892215568872,历史3/3次成功; 当前距低点3.05%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
7,87.00999375462314,81.22274108172086,000923,河钢资源,bottom_area,2024-07-19,15.34,2024-07-19,15.13,1.3879709187045544,2.1810971579643095,31.445400996828273,False,-2.2307,1.4805,3,3,3,100.0,17.458681593372262,27.519999999999996,8.612029081295447,1.3879709187045544,历史3/3次成功; 当前距低点1.39%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
8,86.89399449648096,82.01639340208936,600955,维远股份,bottom_area,2024-07-19,13.99,2024-07-09,13.72,1.9679300291545156,7.069970845481041,28.911917098445596,True,-0.1428,0.1956,3,3,3,100.0,19.641257357858347,25.969084423305596,8.032069970845484,1.9679300291545156,历史3/3次成功; 当前距低点1.97%; 最新日涨幅-0.14%; 状态bottom_area; 底部已确认
9,86.71714828190579,83.23412047140988,600973,宝胜股份,bottom_area,2024-07-19,3.25,2024-07-18,3.16,2.84810126582278,3.4810126582278436,31.749460043196542,False,0.3086,0.4259,2,2,2,100.0,40.36446966390223,46.551724137931025,7.1518987341772196,2.84810126582278,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
10,85.39422634589991,80.25995012468826,002687,乔治白,bottom_area,2024-07-19,4.08,2024-07-09,4.01,1.745635910224446,6.733167082294276,31.45299145299145,False,-0.2445,0.5158,1,1,1,100.0,64.00000000000001,64.00000000000001,8.254364089775553,1.745635910224446,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
11,83.96266047073667,81.72394599274395,002246,北化股份,bottom_area,2024-07-19,7.52,2024-07-18,7.26,3.5812672176308515,5.234159779614324,31.315042573320724,False,0.6693,1.4614,3,3,3,100.0,24.565780908291877,31.992687385740403,6.418732782369149,3.5812672176308515,历史3/3次成功; 当前距低点3.58%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
12,83.35357597387876,79.39726189969596,601515,衢州东峰,bottom_area,2024-07-19,2.93,2024-07-18,2.86,2.4475524475524577,4.195804195804199,31.90476190476191,False,-1.3468,0.4524,3,3,3,100.0,20.632696129653542,34.48275862068966,7.552447552447543,2.4475524475524577,历史3/3次成功; 当前距低点2.45%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
13,83.1220923628734,76.83554756231995,601886,江河集团,bottom_area,2024-07-19,4.62,2024-07-18,4.58,0.873362445414848,2.18340611353711,27.64612954186414,False,-1.2821,0.532,3,3,3,100.0,27.40222547239673,33.5540838852097,9.126637554585153,0.873362445414848,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
