rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.75070550421857,84.93908396946566,002687,乔治白,bottom_area,2024-07-25,3.99,2024-07-25,3.93,1.5267175572519098,2.035623409669202,32.82051282051282,False,0.5038,0.6813,1,1,1,100.0,64.00000000000001,64.00000000000001,8.473282442748092,1.5267175572519098,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
2,90.31776484099463,84.12170385791184,603368,柳药集团,bottom_area,2024-07-25,16.74,2024-07-25,16.53,1.2704174228674971,2.6618269812462048,31.410788381742737,False,-0.0597,1.0645,3,3,3,100.0,31.603524634675978,42.85714285714285,8.729582577132504,1.2704174228674971,历史3/3次成功; 当前距低点1.27%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
3,90.24924634219416,85.42676753001585,000789,万年青,bottom_area,2024-07-25,4.34,2024-07-09,4.25,2.1176470588235263,7.2941176470588145,29.752066115702476,True,1.4019,0.4085,2,2,2,100.0,34.00539152759949,47.599999999999994,7.882352941176474,2.1176470588235263,历史2/2次成功; 当前距低点2.12%; 最新日涨幅1.40%; 状态bottom_area; 底部已确认
4,89.77939857293661,83.29865736563168,600210,紫江企业,bottom_area,2024-07-25,4.73,2024-07-25,4.68,1.0683760683760837,2.350427350427357,27.329192546583858,False,0.2119,0.5931,2,2,2,100.0,18.895455922199744,19.867549668874158,8.931623931623916,1.0683760683760837,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
5,88.98678439134045,84.79349555221556,601886,江河集团,bottom_area,2024-07-25,4.57,2024-07-25,4.46,2.4663677130044914,3.363228699551578,29.54186413902054,False,1.5556,0.6683,3,3,3,100.0,27.40222547239673,33.5540838852097,7.533632286995509,2.4663677130044914,历史3/3次成功; 当前距低点2.47%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
6,88.54433691274028,83.09928725532498,001218,丽臣实业,bottom_area,2024-07-25,14.01,2024-07-25,13.78,1.6690856313497853,2.975326560232222,30.404040404040412,False,0.0714,0.8804,2,2,2,100.0,25.18711018711019,29.999999999999993,8.330914368650214,1.6690856313497853,历史2/2次成功; 当前距低点1.67%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
7,88.26180827666778,81.85544650040224,300469,信息发展,bottom_area,2024-07-25,12.56,2024-07-25,12.43,1.0458567980691937,3.4593724859211563,27.900232018561482,False,-0.4754,11.2111,1,1,1,100.0,52.431476569407586,52.431476569407586,8.954143201930806,1.0458567980691937,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
8,87.90595368166515,84.54829415309719,000811,冰轮环境,bottom_area,2024-07-25,8.36,2024-07-24,8.12,2.955665024630545,3.3251231527093763,31.64983164983166,False,1.827,1.0272,3,3,3,100.0,32.0817763938432,47.451868629671566,7.0443349753694555,2.955665024630545,历史3/3次成功; 当前距低点2.96%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
9,87.7132778239399,81.24355905840525,000065,北方国际,bottom_area,2024-07-25,9.28,2024-07-25,9.19,0.9793253536452652,2.285092491838965,30.641509433962266,False,0.0,0.5667,3,3,3,100.0,29.926993896325044,41.48061104582843,9.020674646354736,0.9793253536452652,历史3/3次成功; 当前距低点0.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,87.60849696636878,81.4773795564121,002698,博实股份,bottom_area,2024-07-25,11.03,2024-07-25,10.9,1.1926605504587064,2.935779816513764,31.360201511335013,False,0.1817,0.486,2,2,2,100.0,10.627126943322317,11.142857142857146,8.807339449541294,1.1926605504587064,历史2/2次成功; 当前距低点1.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
11,87.15536868779495,82.12800778884704,000597,东北制药,bottom_area,2024-07-25,3.79,2024-07-09,3.72,1.8817204301075225,7.258064516129033,29.00763358778626,True,0.0,0.4758,2,2,2,100.0,13.378120266087073,16.59751037344398,8.118279569892477,1.8817204301075225,历史2/2次成功; 当前距低点1.88%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
12,87.00723996814672,81.5852220838258,601163,三角轮胎,bottom_area,2024-07-25,14.4,2024-07-25,14.17,1.6231474947071307,2.5405786873676743,27.18396711202467,False,0.911,0.5212,2,2,2,100.0,16.48386221375298,20.655412115193645,8.37685250529287,1.6231474947071307,历史2/2次成功; 当前距低点1.62%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
13,86.74689481773655,80.67818201155744,300349,金卡智能,bottom_area,2024-07-25,10.17,2024-07-25,10.05,1.1940298507462608,3.084577114427848,32.59557344064386,False,-0.4892,1.1653,1,1,1,100.0,45.48693586698337,45.48693586698337,8.805970149253739,1.1940298507462608,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
14,86.71714828190579,83.23412047140988,600973,宝胜股份,bottom_area,2024-07-25,3.25,2024-07-18,3.16,2.84810126582278,4.113924050632908,31.749460043196542,False,0.9317,0.5871,2,2,2,100.0,40.36446966390223,46.551724137931025,7.1518987341772196,2.84810126582278,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
15,85.90627893384004,81.52303199552458,688188,柏楚电子,bottom_area,2024-07-25,139.9,2024-07-25,136.82,2.251132875310636,4.64844321005702,32.58438038925844,False,0.6185,0.6529,2,2,2,100.0,23.84739221092917,34.07281509974057,7.748867124689364,2.251132875310636,历史2/2次成功; 当前距低点2.25%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
16,85.866364389792,80.62417236685786,002768,国恩股份,bottom_area,2024-07-25,17.41,2024-07-25,17.12,1.6939252336448547,2.3364485981308327,27.549724925941593,False,1.1034,0.5435,2,2,2,100.0,12.184526341764123,13.681691264459511,8.306074766355145,1.6939252336448547,历史2/2次成功; 当前距低点1.69%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
17,85.22350225532736,78.560470605806,601666,平煤股份,bottom_area,2024-07-25,9.68,2024-07-25,9.61,0.728407908428723,2.3933402705515134,29.597069597069602,False,-1.2245,0.7819,4,4,4,100.0,18.23247654313697,27.30923694779115,9.271592091571277,0.728407908428723,历史4/4次成功; 当前距低点0.73%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
18,85.01114610639432,78.92662113186508,000726,鲁泰A,bottom_area,2024-07-25,5.5,2024-07-25,5.44,1.102941176470581,1.6544117647058796,27.94701986754966,False,0.365,0.4313,1,1,1,100.0,12.480252764612954,12.480252764612954,8.897058823529418,1.102941176470581,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
19,84.72744264019393,82.06671176011926,603209,兴通股份,bottom_area,2024-07-25,12.43,2024-07-25,12.03,3.3250207813798864,4.23940149625935,28.093245666467432,False,2.0525,1.0782,3,3,3,100.0,23.267522267018258,26.115859449192786,6.6749792186201145,3.3250207813798864,历史3/3次成功; 当前距低点3.33%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
20,84.30698694348831,79.75299767912576,603317,天味食品,bottom_area,2024-07-25,10.28,2024-07-24,10.07,2.0854021847070414,3.5749751737835096,31.262798634812288,False,1.0816,0.3387,2,2,2,100.0,12.299541184181786,14.347826086956525,7.914597815292959,2.0854021847070414,历史2/2次成功; 当前距低点2.09%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
21,84.07513174725479,78.48085538877302,002171,楚江新材,bottom_area,2024-07-25,5.85,2024-07-25,5.77,1.3864818024263446,2.5996533795494,28.94088669950739,False,0.1712,0.5798,1,1,1,100.0,13.559322033898319,13.559322033898319,8.613518197573654,1.3864818024263446,历史1/1次成功; 当前距低点1.39%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
22,84.02703190567942,80.05316953316955,603012,创力集团,bottom_area,2024-07-25,4.17,2024-07-09,4.07,2.457002457002448,6.633906633906624,27.19141323792486,False,1.956,0.7773,1,1,1,100.0,35.13513513513512,35.13513513513512,7.542997542997552,2.457002457002448,历史1/1次成功; 当前距低点2.46%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
23,83.13401922702542,77.31805903418825,001308,康冠科技,bottom_area,2024-07-25,20.34,2024-07-25,20.1,1.1940298507462608,2.487562189054726,32.84330103575008,False,-0.2941,1.6704,1,1,1,100.0,27.421758569299566,27.421758569299566,8.805970149253739,1.1940298507462608,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
24,82.71322163315243,76.3992352489423,002246,北化股份,bottom_area,2024-07-25,7.26,2024-07-25,7.2,0.8333333333333279,3.055555555555552,31.882686849574267,False,-0.684,1.5456,3,3,3,100.0,24.565780908291877,31.992687385740403,9.166666666666673,0.8333333333333279,历史3/3次成功; 当前距低点0.83%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
25,82.56952563552271,77.66145761330199,600230,沧州大化,bottom_area,2024-07-25,9.13,2024-07-24,8.97,1.783723522853959,2.8985507246376785,29.647058823529406,False,0.6615,0.3805,1,1,1,100.0,14.02337228714524,14.02337228714524,8.216276477146042,1.783723522853959,历史1/1次成功; 当前距低点1.78%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
26,82.26622227324872,77.59853076427791,603187,海容冷链,bottom_area,2024-07-25,10.54,2024-07-25,10.34,1.9342359767891615,3.771760154738884,32.90071382219338,False,0.7648,1.1778,1,1,1,100.0,15.530047265361235,15.530047265361235,8.06576402321084,1.9342359767891615,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
27,82.2012860102575,78.44005187370155,300435,中泰股份,bottom_area,2024-07-25,10.49,2024-07-25,10.23,2.5415444770283457,3.714565004887576,27.549575070821525,False,1.3527,0.5698,1,1,1,100.0,27.498781082398814,27.498781082398814,7.458455522971655,2.5415444770283457,历史1/1次成功; 当前距低点2.54%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
28,82.01115044532683,75.53827916429758,002545,东方铁塔,bottom_area,2024-07-25,5.87,2024-07-25,5.83,0.6861063464837056,1.8867924528301943,29.247572815533985,False,-0.1701,0.6183,3,3,3,100.0,18.132266850969987,28.468653648509758,9.313893653516296,0.6861063464837056,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
29,81.56405447502371,75.18021707670044,601038,一拖股份,bottom_area,2024-07-25,13.92,2024-07-25,13.82,0.7235890014471754,2.3154848046309717,30.726817042606513,False,-0.5714,0.3993,1,1,1,100.0,53.52941176470589,53.52941176470589,9.276410998552825,0.7235890014471754,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
30,81.47976092976944,76.8499373121867,603036,如通股份,bottom_area,2024-07-25,8.98,2024-07-25,8.81,1.9296254256526666,3.2917139614074817,31.171875,False,0.4474,0.5864,1,1,1,100.0,11.448834853090181,11.448834853090181,8.070374574347333,1.9296254256526666,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
31,81.16428143850759,76.70470553529287,000786,北新建材,bottom_area,2024-07-25,27.09,2024-07-25,26.55,2.0338983050847426,4.143126177024474,27.26027397260274,False,1.271,0.81,1,1,1,100.0,11.946202531645568,11.946202531645568,7.966101694915258,2.0338983050847426,历史1/1次成功; 当前距低点2.03%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
32,81.0803908804018,77.79325164938736,002552,宝鼎科技,bottom_area,2024-07-25,10.91,2024-07-25,10.61,2.827521206409055,3.675777568331768,30.197368421052634,False,-0.0916,1.1307,1,1,1,100.0,52.23596574690771,52.23596574690771,7.172478793590946,2.827521206409055,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
33,80.83154753158465,74.13696267989019,002543,万和电气,bottom_area,2024-07-25,8.66,2024-07-25,8.62,0.46403712296984834,1.7401392111368954,29.632653061224495,False,0.0,0.3358,1,1,1,100.0,18.736383442265804,18.736383442265804,9.535962877030151,0.46403712296984834,历史1/1次成功; 当前距低点0.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,80.31918894468284,77.55403128332742,002191,劲嘉股份,bottom_area,2024-07-25,3.59,2024-07-09,3.48,3.160919540229881,8.62068965517241,27.348643006263053,True,0.8427,0.5125,1,1,1,100.0,21.134020618556693,21.134020618556693,6.83908045977012,3.160919540229881,历史1/1次成功; 当前距低点3.16%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
35,80.29005931635857,77.4347499011653,002563,森马服饰,bottom_area,2024-07-25,4.99,2024-07-25,4.84,3.0991735537190155,3.5123966942148748,28.18991097922849,False,2.045,0.6297,1,1,1,100.0,28.929384965831446,28.929384965831446,6.900826446280985,3.0991735537190155,历史1/1次成功; 当前距低点3.10%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
