rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.19840889164438,84.3097005745885,601666,平煤股份,bottom_area,2024-07-29,9.75,2024-07-25,9.61,1.456815816857446,5.411030176899078,29.597069597069602,False,-1.8127,0.9999,4,4,4,100.0,18.23247654313697,27.30923694779115,8.543184183142555,1.456815816857446,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
2,89.33071956190363,85.18021847081003,000065,北方国际,bottom_area,2024-07-29,9.42,2024-07-25,9.19,2.502720348204575,3.69967355821545,30.641509433962266,False,0.2128,0.5543,3,3,3,100.0,29.926993896325044,41.48061104582843,7.497279651795425,2.502720348204575,历史3/3次成功; 当前距低点2.50%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,86.05172211368226,82.92256858227563,002246,北化股份,bottom_area,2024-07-29,7.42,2024-07-25,7.2,3.055555555555552,4.30555555555555,31.882686849574267,False,0.135,1.501,3,3,3,100.0,24.565780908291877,31.992687385740403,6.944444444444449,3.055555555555552,历史3/3次成功; 当前距低点3.06%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
4,85.2502487022901,80.17893129770994,002687,乔治白,bottom_area,2024-07-29,4.0,2024-07-25,3.93,1.7811704834605555,2.5445292620865163,32.82051282051282,False,-0.2494,0.5333,1,1,1,100.0,64.00000000000001,64.00000000000001,8.218829516539444,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
5,85.06398176336072,78.22894523722216,603368,柳药集团,bottom_area,2024-07-29,16.63,2024-07-25,16.53,0.604960677555946,2.7223230490018104,31.410788381742737,False,-1.9458,0.9926,3,3,3,100.0,31.603524634675978,42.85714285714285,9.395039322444054,0.604960677555946,历史3/3次成功; 当前距低点0.60%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
6,84.6000710434192,80.61349555221555,601886,江河集团,bottom_area,2024-07-29,4.57,2024-07-25,4.46,2.4663677130044914,4.260089686098664,29.54186413902054,False,-0.6522,0.4887,3,3,3,100.0,27.40222547239673,33.5540838852097,7.533632286995509,2.4663677130044914,历史3/3次成功; 当前距低点2.47%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
7,84.08793738009474,77.96549370281821,002563,森马服饰,bottom_area,2024-07-29,4.89,2024-07-25,4.84,1.0330578512396658,5.7851239669421535,28.18991097922849,False,-2.9762,0.531,1,1,1,100.0,28.929384965831446,28.929384965831446,8.966942148760335,1.0330578512396658,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
8,83.61603230313948,81.6714734123688,000789,万年青,bottom_area,2024-07-29,4.41,2024-07-09,4.25,3.7647058823529442,7.2941176470588145,29.752066115702476,True,0.4556,0.3992,2,2,2,100.0,34.00539152759949,47.599999999999994,6.235294117647056,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
9,82.54944413481338,77.40522208382579,601163,三角轮胎,bottom_area,2024-07-29,14.4,2024-07-25,14.17,1.6231474947071307,3.5991531404375428,27.18396711202467,False,-1.0989,0.4524,2,2,2,100.0,16.48386221375298,20.655412115193645,8.37685250529287,1.6231474947071307,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
10,81.32000414171773,75.14719854680187,002545,东方铁塔,bottom_area,2024-07-29,5.88,2024-07-25,5.83,0.8576329331046282,2.2298456260720396,29.247572815533985,False,-1.0101,0.5404,3,3,3,100.0,18.132266850969987,28.468653648509758,9.142367066895373,0.8576329331046282,历史3/3次成功; 当前距低点0.86%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
11,80.85622561186442,74.01763936608484,001203,大中矿业,bottom_area,2024-07-29,8.28,2024-07-29,8.25,0.3636363636363559,2.9090909090909114,29.06276870163371,False,-2.3585,0.4219,2,2,2,100.0,22.670592877288865,29.46341463414634,9.636363636363644,0.3636363636363559,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
