rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.8581728354695,79.91203036127565,001218,丽臣实业,bottom_area,2024-08-05,13.95,2024-07-25,13.78,1.233671988388969,6.603773584905662,30.404040404040412,False,-1.7606,0.9703,2,2,2,100.0,25.18711018711019,29.999999999999993,8.766328011611032,1.233671988388969,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,83.69541981752526,80.97354817701242,000065,北方国际,bottom_area,2024-08-05,9.49,2024-07-25,9.19,3.26441784548423,8.7051142546246,30.641509433962266,True,-2.4666,0.8845,3,3,3,100.0,29.926993896325044,41.48061104582843,6.735582154515771,3.26441784548423,历史3/3次成功; 当前距低点3.26%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
3,82.12122748538371,79.18315051935762,002545,东方铁塔,bottom_area,2024-08-05,6.01,2024-07-25,5.83,3.0874785591766676,7.375643224699823,29.247572815533985,True,-2.4351,0.8331,3,3,3,100.0,18.132266850969987,28.468653648509758,6.912521440823332,3.0874785591766676,历史3/3次成功; 当前距低点3.09%; 最新日涨幅-2.44%; 状态bottom_area; 底部已确认
4,81.94291742438972,79.76744174055636,601886,江河集团,bottom_area,2024-08-05,4.62,2024-07-25,4.46,3.587443946188344,8.744394618834074,29.54186413902054,True,-1.7021,0.8115,3,3,3,100.0,27.40222547239673,33.5540838852097,6.412556053811656,3.587443946188344,历史3/3次成功; 当前距低点3.59%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
5,81.3686929624315,78.3045999220052,300349,金卡智能,bottom_area,2024-08-05,10.35,2024-07-25,10.05,2.9850746268656607,9.55223880597014,32.59557344064386,True,-2.3585,1.3634,1,1,1,100.0,45.48693586698337,45.48693586698337,7.014925373134339,2.9850746268656607,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
6,81.19235265663973,77.85832061068703,002687,乔治白,bottom_area,2024-08-05,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.7371,0.8387,1,1,1,100.0,64.00000000000001,64.00000000000001,7.20101781170484,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
7,80.90574072785247,74.9944161599505,600997,开滦股份,bottom_area,2024-08-05,5.95,2024-07-30,5.89,1.018675721561978,5.942275042444831,30.70588235294118,False,-1.6529,0.4453,1,1,1,100.0,12.77955271565495,12.77955271565495,8.981324278438024,1.018675721561978,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
8,80.83640511883442,74.0064354348809,001203,大中矿业,bottom_area,2024-08-05,8.17,2024-08-05,8.14,0.36855036855036066,3.1941031941031914,30.00859845227859,False,-1.6847,0.5158,2,2,2,100.0,22.670592877288865,29.46341463414634,9.631449631449641,0.36855036855036066,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
9,80.83518424116122,76.78400367895848,002563,森马服饰,bottom_area,2024-08-05,4.89,2024-07-30,4.78,2.301255230125511,7.531380753138063,29.080118694362017,True,-1.6097,0.7217,1,1,1,100.0,28.929384965831446,28.929384965831446,7.69874476987449,2.301255230125511,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
10,79.0562884877006,73.81601633693442,002601,龙佰集团,bottom_area,2024-08-05,16.65,2024-07-25,16.42,1.4007308160779346,6.211936662606575,29.224137931034473,False,-0.5376,0.5868,1,1,1,100.0,11.127325793506023,11.127325793506023,8.599269183922067,1.4007308160779346,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
11,78.67970464197361,73.3857105941378,002706,良信股份,bottom_area,2024-08-05,6.03,2024-07-30,5.95,1.3445378151260516,7.394957983193269,32.7683615819209,True,-3.0547,1.7589,3,4,3,75.0,13.31320867002797,14.727153188691638,8.655462184873949,1.3445378151260516,历史3/4次成功; 当前距低点1.34%; 最新日涨幅-3.05%; 状态bottom_area; 底部已确认
