rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.28198221112598,87.11725053125834,600343,航天动力,bottom_area,2024-08-14,7.92,2024-08-13,7.71,2.723735408560311,5.05836575875486,31.16071428571428,False,1.0204,4.2845,4,4,4,100.0,26.383694961160476,55.72413793103447,5.276264591439689,2.723735408560311,历史4/4次成功; 当前距低点2.72%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
2,88.23939980295276,85.3169285195079,001239,永达股份,bottom_area,2024-08-14,14.55,2024-08-13,14.23,2.248770203794802,3.162333099086432,30.888780961631856,False,0.8316,13.4401,3,3,3,100.0,27.54905690408631,62.04678362573098,5.751229796205198,2.248770203794802,历史3/3次成功; 当前距低点2.25%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
3,84.4026730921171,80.55789297140284,300424,航新科技,bottom_area,2024-08-14,12.89,2024-08-12,12.69,1.576044129235627,5.752561071710011,27.2362385321101,False,-1.6031,5.253,2,2,2,100.0,32.85630960247343,52.29885057471265,6.423955870764372,1.576044129235627,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
4,83.55946473696225,78.51986289059978,000983,山西焦煤,bottom_area,2024-08-14,7.89,2024-08-14,7.83,0.7662835249042096,1.2771392081736863,27.834101382488473,False,-1.0038,0.2776,4,4,4,100.0,18.47843724398591,27.212389380530986,7.2337164750957905,0.7662835249042096,历史4/4次成功; 当前距低点0.77%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
5,83.46107523496035,79.16894091745219,002563,森马服饰,bottom_area,2024-08-14,4.84,2024-07-30,4.78,1.2552301255230043,7.531380753138063,29.080118694362017,True,-1.4257,0.4094,1,1,1,100.0,28.929384965831446,28.929384965831446,6.7447698744769955,1.2552301255230043,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
6,83.26809485920009,80.9927894028907,603368,柳药集团,confirmed_rebound,2024-08-14,16.83,2024-07-31,16.41,2.5594149908592208,8.470444850700796,31.908713692946062,True,-1.5789,0.9699,3,3,3,100.0,31.603524634675978,42.85714285714285,5.440585009140779,2.5594149908592208,历史3/3次成功; 当前距低点2.56%; 最新日涨幅-1.58%; 状态confirmed_rebound; 底部已确认
7,82.82554282692674,78.26035542701739,002607,中公教育,bottom_area,2024-08-14,1.92,2024-08-13,1.9,1.0526315789473695,5.78947368421052,28.838951310861425,False,-2.0408,10.2719,6,7,6,85.71428571428571,11.706980022366963,18.337408312958438,6.947368421052631,1.0526315789473695,历史6/7次成功; 当前距低点1.05%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
8,82.05488058418572,80.65095652613813,002196,方正电机,bottom_area,2024-08-14,4.32,2024-08-13,4.19,3.1026252983293525,4.534606205250585,28.49829351535836,False,0.9346,3.7183,3,3,3,100.0,12.929796808220722,18.661971830985923,4.897374701670648,3.1026252983293525,历史3/3次成功; 当前距低点3.10%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
9,80.33615856175716,74.56350046151114,001203,大中矿业,bottom_area,2024-08-14,8.06,2024-08-14,8.05,0.12422360248446938,3.2298136645962705,30.782459157351678,False,-2.7744,0.4724,2,2,2,100.0,22.670592877288865,29.46341463414634,7.875776397515531,0.12422360248446938,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
10,79.99906654692414,79.71770992366413,002687,乔治白,bottom_area,2024-08-14,4.08,2024-07-25,3.93,3.8167938931297685,5.852417302798981,32.82051282051282,False,0.7407,0.5806,1,1,1,100.0,64.00000000000001,64.00000000000001,4.183206106870232,3.8167938931297685,历史1/1次成功; 当前距低点3.82%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,76.78290051855642,75.57534911276018,601163,三角轮胎,bottom_area,2024-08-14,14.62,2024-07-25,14.17,3.1757233592095933,7.339449541284409,27.18396711202467,True,-1.7473,0.3293,2,2,2,100.0,16.48386221375298,20.655412115193645,4.824276640790407,3.1757233592095933,历史2/2次成功; 当前距低点3.18%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
