rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.48267317005369,85.03957731262727,002357,富临运业,bottom_area,2024-08-30,5.28,2024-08-29,5.12,3.1250000000000027,4.492187499999991,28.08988764044944,False,1.1494,3.6273,4,4,4,100.0,20.132136089393963,31.941031941031934,4.874999999999997,3.1250000000000027,历史4/4次成功; 当前距低点3.13%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
2,85.11853245520388,80.60291115040864,600011,华能国际,bottom_area,2024-08-30,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,0.0,0.7235,1,1,1,100.0,22.267759562841515,22.267759562841515,6.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,81.71777881642564,79.64120805816822,002110,三钢闽光,bottom_area,2024-08-30,2.7,2024-08-29,2.63,2.6615969581749157,3.802281368821296,30.0531914893617,False,1.5038,0.3956,2,2,2,100.0,18.761554423693642,22.90322580645161,5.338403041825085,2.6615969581749157,历史2/2次成功; 当前距低点2.66%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
4,80.96297309713498,81.23887872298661,000597,东北制药,bottom_area,2024-08-30,4.24,2024-08-26,4.07,4.176904176904174,5.65110565110564,32.053422370617696,False,0.4739,2.5262,3,3,3,100.0,29.259248636172746,61.02150537634409,3.8230958230958256,4.176904176904174,历史3/3次成功; 当前距低点4.18%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
5,80.78061851390477,78.80181732334088,001205,盛航股份,bottom_area,2024-08-30,14.4,2024-08-28,14.02,2.7104136947218316,4.208273894436519,27.806385169927918,False,1.4085,0.5423,2,2,2,100.0,14.847099716702502,14.929577464788741,5.289586305278168,2.7104136947218316,历史2/2次成功; 当前距低点2.71%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
6,79.46163661339536,78.61329173851924,603132,金徽股份,bottom_area,2024-08-30,11.12,2024-08-29,10.75,3.441860465116272,5.116279069767449,28.285523682454972,False,0.0,1.7196,2,2,2,100.0,22.799643005292072,33.20754716981132,4.558139534883728,3.441860465116272,历史2/2次成功; 当前距低点3.44%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,79.08787847835981,78.56748906196667,001218,丽臣实业,bottom_area,2024-08-30,13.89,2024-08-30,13.4,3.6567164179104497,4.850746268656718,32.323232323232325,False,0.4338,1.6787,2,2,2,100.0,25.18711018711019,29.999999999999993,4.34328358208955,3.6567164179104497,历史2/2次成功; 当前距低点3.66%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
8,77.86864945319613,76.87669213532102,000600,建投能源,bottom_area,2024-08-30,4.65,2024-08-26,4.5,3.333333333333341,5.1111111111111205,31.08728943338438,False,0.6494,1.7369,2,2,2,100.0,12.132753415704464,13.438735177865627,4.666666666666659,3.333333333333341,历史2/2次成功; 当前距低点3.33%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
9,77.86351171504855,77.96804988248876,000037,深南电A,bottom_area,2024-08-30,7.16,2024-08-28,6.88,4.069767441860469,5.087209302325589,28.92561983471074,False,1.5603,1.4465,7,8,7,87.5,20.777524999627015,45.16765285996055,3.930232558139531,4.069767441860469,历史7/8次成功; 当前距低点4.07%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
10,77.60285474359743,75.86602742101289,001286,陕西能源,bottom_area,2024-08-30,9.47,2024-08-29,9.21,2.8230184581976085,4.125950054288805,27.07838479809976,False,1.3919,1.5899,1,1,1,100.0,17.110266159695826,17.110266159695826,5.176981541802392,2.8230184581976085,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
11,77.31692680115131,77.82609031887596,600956,新天绿能,bottom_area,2024-08-30,6.97,2024-08-29,6.68,4.341317365269462,6.437125748503004,28.860489882854107,False,1.4556,0.3217,2,2,2,100.0,29.592978019840494,41.27358490566036,3.658682634730538,4.341317365269462,历史2/2次成功; 当前距低点4.34%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
