rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.7120078744886,80.60291115040864,600011,华能国际,bottom_area,2024-09-02,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,0.0,0.5798,1,1,1,100.0,22.267759562841515,22.267759562841515,8.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,84.98676713380846,80.8285360865798,002219,新里程,bottom_area,2024-09-02,1.73,2024-08-23,1.69,2.3668639053254457,7.6923076923077,29.288702928870297,True,-2.809,0.9564,2,2,2,100.0,34.81175156302061,45.685279187817265,7.633136094674555,2.3668639053254457,历史2/2次成功; 当前距低点2.37%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
3,84.01779752477346,80.420058084166,000597,东北制药,bottom_area,2024-09-02,4.18,2024-08-26,4.07,2.7027027027026884,5.65110565110564,32.053422370617696,False,-1.4151,2.128,3,3,3,100.0,29.259248636172746,61.02150537634409,7.297297297297312,2.7027027027026884,历史3/3次成功; 当前距低点2.70%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
4,83.89970460394885,78.81136965898159,001218,丽臣实业,bottom_area,2024-09-02,13.63,2024-08-30,13.4,1.7164179104477644,4.850746268656718,32.323232323232325,False,-1.8719,1.6409,2,2,2,100.0,25.18711018711019,29.999999999999993,8.283582089552235,1.7164179104477644,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
5,82.31506501233983,78.80181732334088,001205,盛航股份,bottom_area,2024-09-02,14.4,2024-08-28,14.02,2.7104136947218316,4.208273894436519,27.806385169927918,False,0.0,0.6704,2,2,2,100.0,14.847099716702502,14.929577464788741,7.289586305278169,2.7104136947218316,历史2/2次成功; 当前距低点2.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,81.71103301206392,75.96251812679309,002357,富临运业,bottom_area,2024-09-02,5.18,2024-08-29,5.12,1.1718749999999925,4.492187499999991,28.08988764044944,False,-1.8939,2.6104,3,4,3,75.0,24.02899530533914,31.941031941031934,8.828125000000009,1.1718749999999925,历史3/4次成功; 当前距低点1.17%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
7,81.16111971299452,76.39638968254079,301509,金凯生科,bottom_area,2024-09-02,25.67,2024-08-28,25.21,1.8246727489091663,6.227687425624754,29.6792189679219,False,-2.8755,2.6438,2,2,2,100.0,13.530341666955287,15.05054819877544,8.175327251090835,1.8246727489091663,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
8,80.19179167269287,75.73669213532104,000600,建投能源,bottom_area,2024-09-02,4.59,2024-08-26,4.5,1.999999999999997,5.1111111111111205,31.08728943338438,False,-1.2903,1.4993,2,2,2,100.0,12.132753415704464,13.438735177865627,8.000000000000004,1.999999999999997,历史2/2次成功; 当前距低点2.00%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
9,80.07196202531647,72.79269275028769,000517,荣安地产,bottom_area,2024-09-02,2.05,2024-08-30,2.05,0.0,8.780487804878058,27.30496453900709,False,-4.6512,1.3757,2,2,2,100.0,34.10049865746067,40.92827004219408,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.65%; 状态bottom_area; 底部未确认
10,79.8189384081877,72.99021911066941,301571,国科天成,bottom_area,2024-09-02,39.11,2024-09-02,38.99,0.3077712233906064,7.155680943831749,30.77059659090909,False,-10.0506,48.8254,1,1,1,100.0,43.34374999999999,43.34374999999999,9.692228776609396,0.3077712233906064,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
11,79.69386614293091,76.90831381733021,000628,高新发展,bottom_area,2024-09-02,35.23,2024-08-28,34.16,3.1323185011709618,9.836065573770512,27.31914893617022,True,-4.8095,6.7588,1,1,1,100.0,99.77973568281939,99.77973568281939,6.8676814988290396,3.1323185011709618,历史1/1次成功; 当前距低点3.13%; 最新日涨幅-4.81%; 状态bottom_area; 底部已确认
