rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.04129065060832,83.09395669431471,002545,东方铁塔,bottom_area,2024-09-09,5.91,2024-07-25,5.83,1.3722126929674112,7.375643224699823,29.247572815533985,True,-0.5051,0.5739,3,3,3,100.0,18.132266850969987,28.468653648509758,8.62778730703259,1.3722126929674112,历史3/3次成功; 当前距低点1.37%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
2,88.6077952628631,82.35275756959966,002674,兴业科技,bottom_area,2024-09-09,7.86,2024-08-21,7.77,1.158301158301168,6.30630630630631,31.72231985940247,False,0.0,0.2675,1,1,1,100.0,31.578947368421055,31.578947368421055,8.841698841698832,1.158301158301168,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,88.55728437063632,83.78782364034004,000517,荣安地产,bottom_area,2024-09-09,1.95,2024-09-09,1.91,2.094240837696337,3.141361256544505,32.26950354609929,False,0.5155,0.7625,2,2,2,100.0,34.10049865746067,40.92827004219408,7.905759162303664,2.094240837696337,历史2/2次成功; 当前距低点2.09%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
4,84.77067800445963,82.44000421222746,300653,正海生物,bottom_area,2024-09-09,19.03,2024-08-28,18.38,3.5364526659412525,7.83460282916214,27.466456195737965,True,0.7945,1.3236,3,3,3,100.0,18.672668228889858,29.647513278609367,6.463547334058747,3.5364526659412525,历史3/3次成功; 当前距低点3.54%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
5,84.50473277700017,78.97638577289736,603132,金徽股份,bottom_area,2024-09-09,10.5,2024-09-09,10.35,1.4492753623188441,2.125603864734306,30.95396931287525,False,-0.2849,1.0892,2,2,2,100.0,22.799643005292072,33.20754716981132,8.550724637681157,1.4492753623188441,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
6,84.45515348461717,78.95713704520679,001286,陕西能源,bottom_area,2024-09-09,8.99,2024-09-09,8.86,1.4672686230248395,1.5801354401805936,29.849564528899453,False,0.1114,1.2001,1,1,1,100.0,17.110266159695826,17.110266159695826,8.53273137697516,1.4672686230248395,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
7,84.44752826215743,82.35927184337977,000597,东北制药,bottom_area,2024-09-09,4.22,2024-08-26,4.07,3.6855036855036722,5.65110565110564,32.053422370617696,False,1.4423,1.8073,3,3,3,100.0,29.259248636172746,61.02150537634409,6.314496314496329,3.6855036855036722,历史3/3次成功; 当前距低点3.69%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
8,83.66020540558254,77.2307280458346,300455,航天智装,bottom_area,2024-09-09,10.03,2024-09-09,9.95,0.8040201005025134,2.3115577889447283,27.793904208998548,False,-0.5946,1.0224,3,3,3,100.0,28.676848790216763,53.103448275862064,9.195979899497488,0.8040201005025134,历史3/3次成功; 当前距低点0.80%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
9,82.19391286984354,79.12577073914213,002682,龙洲股份,bottom_area,2024-09-09,3.43,2024-08-28,3.33,3.003003003003006,6.606606606606599,30.76923076923076,False,0.0,1.6052,2,2,2,100.0,20.175363365532185,26.929674099485425,6.9969969969969945,3.003003003003006,历史2/2次成功; 当前距低点3.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,82.18010804852544,76.59035576791942,600183,生益科技,bottom_area,2024-09-09,17.1,2024-08-29,16.88,1.303317535545038,7.760663507109018,29.519832985386223,True,-1.2132,0.6045,3,4,3,75.0,19.822149187968265,25.158227848101262,8.696682464454963,1.303317535545038,历史3/4次成功; 当前距低点1.30%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
11,81.92351379239489,78.71104722015593,300563,神宇股份,bottom_area,2024-09-09,28.03,2024-09-09,27.24,2.9001468428781303,3.450807635829667,32.640949554896146,False,0.6825,11.6312,2,2,2,100.0,16.68484958020473,20.477137176938378,7.09985315712187,2.9001468428781303,历史2/2次成功; 当前距低点2.90%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
12,81.87908642810315,77.1001079757333,301518,长华化学,bottom_area,2024-09-09,13.81,2024-08-28,13.56,1.8436578171091444,6.12094395280236,28.21598729486501,False,0.0725,0.7206,1,1,1,100.0,11.740041928721173,11.740041928721173,8.156342182890857,1.8436578171091444,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
