rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.20216594718273,83.33032568129444,601919,中远海控,bottom_area,2024-09-11,11.59,2024-09-10,11.47,1.0462074978203941,2.7027027027026915,29.328404189772023,False,-0.1723,0.3343,3,3,3,100.0,24.600423528628724,40.45881126173098,6.953792502179606,1.0462074978203941,历史3/3次成功; 当前距低点1.05%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
2,86.95594531939543,82.74011957582142,605218,伟时电子,bottom_area,2024-09-11,20.05,2024-09-11,19.77,1.4162873039959591,7.637835103692471,27.10176991150443,False,-8.7392,14.106,4,4,4,100.0,19.512121660925835,42.36874236874236,6.58371269600404,1.4162873039959591,历史4/4次成功; 当前距低点1.42%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
3,86.56355983730585,82.53734775184975,603027,千禾味业,bottom_area,2024-09-11,10.66,2024-09-11,10.5,1.5238095238095253,2.380952380952381,27.184466019417474,False,0.188,1.1194,1,1,1,100.0,37.051792828685265,37.051792828685265,6.4761904761904745,1.5238095238095253,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
4,85.87893709869334,82.34096336138516,300455,航天智装,bottom_area,2024-09-11,10.11,2024-09-10,9.93,1.812688821752263,3.625377643504526,27.939042089985485,False,-0.8824,0.7964,3,3,3,100.0,28.676848790216763,53.103448275862064,6.187311178247737,1.812688821752263,历史3/3次成功; 当前距低点1.81%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
5,85.37676035989867,82.10064776475565,000597,东北制药,bottom_area,2024-09-11,4.15,2024-08-26,4.07,1.9656019656019672,5.65110565110564,32.053422370617696,False,-0.9547,1.0766,3,3,3,100.0,29.259248636172746,61.02150537634409,6.034398034398033,1.9656019656019672,历史3/3次成功; 当前距低点1.97%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
6,84.19667188585966,80.2554158217424,000591,太阳能,bottom_area,2024-09-11,4.04,2024-08-23,3.98,1.5075376884422125,7.035175879396981,28.158844765342963,True,-0.7371,0.3228,2,2,2,100.0,21.19678360962714,32.84132841328414,6.492462311557788,1.5075376884422125,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-0.74%; 状态bottom_area; 底部已确认
7,82.4947919799499,78.03561403508773,300761,立华股份,bottom_area,2024-09-11,18.2,2024-09-10,18.0,1.1111111111111072,3.4999999999999947,27.710843373493972,False,-0.8715,0.3641,1,1,1,100.0,30.263157894736853,30.263157894736853,6.888888888888893,1.1111111111111072,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
8,82.33480136526934,79.71183092867302,002674,兴业科技,bottom_area,2024-09-11,7.95,2024-08-21,7.77,2.3166023166023244,6.30630630630631,31.72231985940247,False,0.3788,0.327,1,1,1,100.0,31.578947368421055,31.578947368421055,5.683397683397676,2.3166023166023244,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,82.32916667394544,80.14645471572982,300401,花园生物,bottom_area,2024-09-11,12.22,2024-09-10,11.91,2.6028547439126823,2.9387069689336665,30.023501762632193,False,1.1589,2.8876,2,2,2,100.0,20.757868450810403,29.551451187335093,5.397145256087318,2.6028547439126823,历史2/2次成功; 当前距低点2.60%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
10,81.76514044436692,77.79349633713505,000683,博源化工,bottom_area,2024-09-11,5.03,2024-09-10,4.96,1.4112903225806508,4.435483870967737,28.837876614060253,False,-1.1788,0.8591,2,2,2,100.0,15.974399315155651,22.50673854447439,6.58870967741935,1.4112903225806508,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
11,81.073884764307,81.19952543094348,300653,正海生物,bottom_area,2024-09-11,19.13,2024-08-28,18.38,4.080522306855277,7.83460282916214,27.466456195737965,True,0.5255,0.6676,3,3,3,100.0,18.672668228889858,29.647513278609367,3.9194776931447226,4.080522306855277,历史3/3次成功; 当前距低点4.08%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
