rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.00419796360829,83.2210408851488,000597,东北制药,bottom_area,2024-09-13,4.13,2024-08-26,4.07,1.4742014742014646,5.65110565110564,32.053422370617696,False,-0.4819,1.0287,3,3,3,100.0,29.259248636172746,61.02150537634409,8.525798525798537,1.4742014742014646,历史3/3次成功; 当前距低点1.47%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
2,88.29985560222859,82.72572782484987,300653,正海生物,bottom_area,2024-09-13,18.67,2024-08-28,18.38,1.5778019586507221,7.83460282916214,27.466456195737965,True,-1.4256,0.4915,3,3,3,100.0,18.672668228889858,29.647513278609367,8.422198041349278,1.5778019586507221,历史3/3次成功; 当前距低点1.58%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
3,86.30431881055507,80.12106287155467,000898,鞍钢股份,bottom_area,2024-09-13,1.84,2024-09-12,1.82,1.0989010989010999,2.7472527472527495,30.0,False,0.5464,0.6228,1,1,1,100.0,18.852459016393443,18.852459016393443,8.9010989010989,1.0989010989010999,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
4,85.87038217086592,78.23908992923373,002806,华锋股份,bottom_area,2024-09-13,8.53,2024-09-13,8.52,0.11737089201877685,7.511737089201885,30.335241210139007,False,-5.9537,8.7271,4,4,4,100.0,19.229546037830822,34.66407010710809,9.882629107981224,0.11737089201877685,历史4/4次成功; 当前距低点0.12%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
5,85.73923624674528,79.59646553683717,300536,农尚环境,bottom_area,2024-09-13,4.6,2024-09-13,4.55,1.098901098901095,7.91208791208792,30.428134556574925,False,-3.3613,4.1161,5,6,5,83.33333333333334,34.8313263924641,60.27027027027027,8.901098901098905,1.098901098901095,历史5/6次成功; 当前距低点1.10%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
6,84.46228326247837,76.78389387498032,300455,航天智装,bottom_area,2024-09-13,9.93,2024-09-10,9.93,0.0,3.625377643504526,27.939042089985485,False,-1.4881,0.8706,3,3,3,100.0,28.676848790216763,53.103448275862064,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
7,84.38631694384269,79.05471957702039,000690,宝新能源,bottom_area,2024-09-13,3.87,2024-09-11,3.81,1.5748031496063006,2.624671916010501,27.15105162523901,False,0.2591,0.6927,1,1,1,100.0,18.953068592057758,18.953068592057758,8.4251968503937,1.5748031496063006,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,83.22391509653906,79.76358317920588,300401,花园生物,bottom_area,2024-09-13,12.24,2024-09-10,11.91,2.7707808564231744,6.045340050377839,30.023501762632193,False,0.6579,4.2121,2,2,2,100.0,20.757868450810403,29.551451187335093,7.229219143576826,2.7707808564231744,历史2/2次成功; 当前距低点2.77%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
9,83.07006492376502,77.58588498272708,002674,兴业科技,bottom_area,2024-09-13,7.88,2024-08-21,7.77,1.4157014157014198,6.30630630630631,31.72231985940247,False,-1.623,0.3787,1,1,1,100.0,31.578947368421055,31.578947368421055,8.58429858429858,1.4157014157014198,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
10,83.06090000731778,75.99786932662576,603306,华懋科技,bottom_area,2024-09-13,17.84,2024-09-13,17.78,0.3374578177727712,5.793025871766015,28.680304853590044,False,-5.7581,9.8478,3,3,3,100.0,26.54447930724555,49.205252246026255,9.662542182227229,0.3374578177727712,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-5.76%; 状态bottom_area; 底部未确认
11,82.82522555323254,78.14451344911917,600262,北方股份,bottom_area,2024-09-13,15.71,2024-08-29,15.41,1.9467878001297905,7.722258273848159,31.48065807025344,True,-1.5047,1.9414,2,2,2,100.0,15.232202330188693,17.269624573378834,8.053212199870211,1.9467878001297905,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-1.50%; 状态bottom_area; 底部已确认
