rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.50439532786282,81.72090651922339,300510,金冠股份,bottom_area,2024-10-11,4.26,2024-10-11,4.2,1.428571428571419,8.571428571428557,27.835051546391753,False,-5.7522,4.2665,3,3,3,100.0,30.849727829925854,40.000000000000014,13.571428571428582,1.428571428571419,历史3/3次成功; 当前距低点1.43%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
2,90.18752807901389,81.78868954393943,688037,芯源微,bottom_area,2024-10-11,81.8,2024-10-11,80.0,2.2499999999999964,10.250000000000004,30.434782608695656,False,-7.7374,5.1544,5,5,5,100.0,24.616610451287148,34.08866995073892,12.750000000000004,2.2499999999999964,历史5/5次成功; 当前距低点2.25%; 最新日涨幅-7.74%; 状态bottom_area; 底部未确认
3,86.02835882085533,77.88697369125185,300624,万兴科技,bottom_area,2024-10-11,55.32,2024-10-11,54.15,2.1606648199446012,9.732225300092342,29.271159874608156,False,-9.2669,10.0295,2,2,2,100.0,35.87790043400834,51.195680123425035,12.839335180055397,2.1606648199446012,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-9.27%; 状态bottom_area; 底部未确认
4,83.56714218497657,74.25053511705688,600376,首开股份,bottom_area,2024-10-11,2.63,2024-10-10,2.6,1.1538461538461462,7.307692307692306,27.97783933518005,False,-3.663,1.8454,1,1,1,100.0,20.652173913043484,20.652173913043484,13.846153846153852,1.1538461538461462,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
5,83.31031134098296,75.2905941241621,300426,华智数媒,bottom_area,2024-10-11,8.9,2024-10-11,8.72,2.0642201834862353,9.403669724770625,29.677419354838708,False,-7.4844,2.8864,2,2,2,100.0,20.736645927476964,25.936811168258643,12.935779816513765,2.0642201834862353,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-7.48%; 状态bottom_area; 底部未确认
6,82.86784788119341,74.40298958719,300399,天利科技,bottom_area,2024-10-11,18.99,2024-10-11,18.67,1.71397964649168,9.801821103374388,31.611721611721606,False,-2.8645,11.6763,3,4,3,75.0,22.289586995650758,31.95098963242225,13.286020353508318,1.71397964649168,历史3/4次成功; 当前距低点1.71%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
7,82.4155949618946,74.48347494290698,301369,联动科技,bottom_area,2024-10-11,55.35,2024-10-11,54.23,2.0652775216669825,11.63562603724876,27.17872968980798,False,-7.0841,15.4729,1,1,1,100.0,33.07692307692307,33.07692307692307,12.934722478333017,2.0652775216669825,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-7.08%; 状态bottom_area; 底部未确认
8,82.14010342528417,73.88010243917705,300763,锦浪科技,bottom_area,2024-10-11,72.61,2024-10-11,71.32,1.8087492989343892,7.922041503084698,27.068207383168026,False,-5.4926,4.3792,3,4,3,75.0,30.855112047029355,36.020348268440614,13.19125070106561,1.8087492989343892,历史3/4次成功; 当前距低点1.81%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
9,81.8739818167642,73.44412386719287,300560,中富通,bottom_area,2024-10-11,14.04,2024-10-11,13.81,1.6654598117306203,8.110065170166541,27.277514481305943,False,-6.5868,7.4498,3,4,3,75.0,26.75468945128323,41.47727272727274,13.334540188269377,1.6654598117306203,历史3/4次成功; 当前距低点1.67%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
10,81.58761853065559,74.34988484288867,300662,科锐国际,bottom_area,2024-10-11,19.6,2024-10-11,19.12,2.510460251046027,5.543933054393299,27.739984882842023,False,-0.6085,5.8311,1,1,1,100.0,27.600721587492483,27.600721587492483,12.489539748953971,2.510460251046027,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
11,79.84137269584382,71.47925968645869,300737,科顺股份,bottom_area,2024-10-11,5.21,2024-10-11,5.13,1.5594541910331399,6.627680311890835,28.451882845188287,False,-5.2727,3.109,2,3,2,66.66666666666666,49.613702017997795,80.4289544235925,13.440545808966858,1.5594541910331399,历史2/3次成功; 当前距低点1.56%; 最新日涨幅-5.27%; 状态bottom_area; 底部未确认
12,79.46301743524931,71.90247669773635,300528,幸福蓝海,bottom_area,2024-10-11,7.67,2024-10-11,7.51,2.1304926764314267,9.054593874833552,27.857829010566764,False,-5.6581,2.7451,1,1,1,100.0,20.0,20.0,12.869507323568573,2.1304926764314267,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-5.66%; 状态bottom_area; 底部未确认
13,79.38059686814614,69.91580431166857,301607,富特科技,bottom_area,2024-10-11,44.1,2024-10-11,43.8,0.6849315068493248,9.041095890410961,27.603305785123972,False,-7.6633,28.6493,1,1,1,100.0,31.437893264973205,31.437893264973205,14.315068493150672,0.6849315068493248,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-7.66%; 状态bottom_area; 底部未确认
14,77.75136194207417,69.54125309364535,688236,春立医疗,bottom_area,2024-10-11,12.79,2024-10-11,12.6,1.507936507936504,9.285714285714286,27.33564013840831,False,-7.1169,5.0228,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,13.492063492063494,1.507936507936504,历史2/3次成功; 当前距低点1.51%; 最新日涨幅-7.12%; 状态bottom_area; 底部未确认
15,76.41490292875639,67.32887169369258,688255,凯尔达,bottom_area,2024-10-11,20.0,2024-10-11,19.86,0.7049345417925507,9.214501510574028,27.834302325581394,False,-6.8034,2.6426,1,1,1,100.0,17.774851876234372,17.774851876234372,14.295065458207448,0.7049345417925507,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-6.80%; 状态bottom_area; 底部未确认
16,75.07136509743256,68.32823281378136,688017,绿的谐波,confirmed_rebound,2024-10-11,83.8,2024-10-11,81.8,2.444987775061125,16.13691931540343,28.22672633149074,False,-10.8511,4.3997,3,4,3,75.0,19.02045667161674,22.08643815201191,12.555012224938874,2.444987775061125,历史3/4次成功; 当前距低点2.44%; 最新日涨幅-10.85%; 状态confirmed_rebound; 底部未确认
17,74.7756092626536,67.38132863020085,301499,维科精密,bottom_area,2024-10-11,26.7,2024-10-11,26.2,1.9083969465648856,13.740458015267182,27.222222222222225,False,-2.9091,17.5265,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,13.091603053435113,1.9083969465648856,历史2/3次成功; 当前距低点1.91%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
18,72.41117998723608,64.27790936843407,688047,龙芯中科,bottom_area,2024-10-11,124.6,2024-10-11,123.24,1.1035378123985715,7.392080493346316,27.025106584557086,False,-4.9435,2.0842,2,4,2,50.0,24.752556885498926,33.20076594491089,13.896462187601427,1.1035378123985715,历史2/4次成功; 当前距低点1.10%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
19,70.97705122080652,64.87932933157758,688308,欧科亿,bottom_area,2024-10-11,18.04,2024-10-11,17.57,2.675014228799083,12.407512805919179,29.210314262691377,False,-7.5346,2.6049,2,3,2,66.66666666666666,27.8048124009291,40.26548672566372,12.324985771200916,2.675014228799083,历史2/3次成功; 当前距低点2.68%; 最新日涨幅-7.53%; 状态bottom_area; 底部未确认
20,70.25960076155712,62.86997160457714,688083,中望软件,bottom_area,2024-10-11,91.4,2024-10-11,90.02,1.532992668295945,14.063541435236626,29.10694597574422,False,-10.1985,2.9581,3,6,3,50.0,22.447284345655262,27.053669222343906,13.467007331704053,1.532992668295945,历史3/6次成功; 当前距低点1.53%; 最新日涨幅-10.20%; 状态bottom_area; 底部未确认
21,70.05534960764703,62.95330604092337,688107,安路科技,bottom_area,2024-10-11,25.44,2024-10-11,25.0,1.760000000000005,11.159999999999997,28.57142857142857,False,-7.9928,3.361,2,5,2,40.0,47.34465613399662,67.95615731785945,13.239999999999993,1.760000000000005,历史2/5次成功; 当前距低点1.76%; 最新日涨幅-7.99%; 状态bottom_area; 底部未确认
22,69.82481138185818,62.57036597966176,300713,英可瑞,bottom_area,2024-10-11,15.15,2024-10-11,14.91,1.6096579476861181,9.993293091884631,27.23279648609077,False,-7.8467,9.3875,2,4,2,50.0,21.77626935691452,23.73271889400922,13.39034205231388,1.6096579476861181,历史2/4次成功; 当前距低点1.61%; 最新日涨幅-7.85%; 状态bottom_area; 底部未确认
23,69.71322541650706,62.91781249999999,300474,景嘉微,bottom_area,2024-10-11,78.33,2024-10-11,76.8,1.9921875000000016,10.677083333333337,27.189988623435728,False,-6.5943,7.4783,2,5,2,40.0,56.74256339264612,59.857142857142854,13.007812499999998,1.9921875000000016,历史2/5次成功; 当前距低点1.99%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
24,69.70918637147595,62.57756290517542,300454,深信服,bottom_area,2024-10-11,62.05,2024-10-11,61.01,1.7046385838387135,8.17898705130307,27.62752075919336,False,-5.2382,3.2314,2,4,2,50.0,22.979241270579003,29.49391262831224,13.295361416161287,1.7046385838387135,历史2/4次成功; 当前距低点1.70%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
25,69.2642206184048,62.61634801900118,300530,领湃科技,bottom_area,2024-10-11,19.13,2024-10-11,18.74,2.081109925293493,8.0042689434365,30.541141586360276,False,-6.6829,2.8026,3,6,3,50.0,27.802573379948058,34.07510431154381,12.918890074706507,2.081109925293493,历史3/6次成功; 当前距低点2.08%; 最新日涨幅-6.68%; 状态bottom_area; 底部未确认
26,69.20148772925403,63.52345172990243,688023,安恒信息,confirmed_rebound,2024-10-11,46.82,2024-10-11,45.5,2.9010989010989015,15.472527472527469,28.43661528782636,False,-10.5635,9.1934,2,3,2,66.66666666666666,33.50156213839389,39.261744966442954,12.098901098901099,2.9010989010989015,历史2/3次成功; 当前距低点2.90%; 最新日涨幅-10.56%; 状态confirmed_rebound; 底部未确认
27,67.86012076430588,60.10635571790186,688117,圣诺生物,bottom_area,2024-10-11,26.62,2024-10-11,26.36,0.9863429438543307,5.614567526555389,28.718226068144936,False,-4.5878,3.744,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,14.013657056145668,0.9863429438543307,历史2/3次成功; 当前距低点0.99%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
28,67.17581977124055,60.79686023352108,688173,希荻微,bottom_area,2024-10-11,10.97,2024-10-11,10.74,2.1415270018622015,11.638733705772813,28.160535117056853,False,-10.3025,4.5654,3,6,3,50.0,18.7609774073489,23.120837297811605,12.858472998137799,2.1415270018622015,历史3/6次成功; 当前距低点2.14%; 最新日涨幅-10.30%; 状态bottom_area; 底部未确认
29,65.64479613608093,59.05395315053062,000995,皇台酒业,bottom_area,2024-10-11,11.2,2024-10-11,11.0,1.818181818181812,9.090909090909092,31.207004377736087,False,-8.347,9.5101,3,7,3,42.857142857142854,20.90311357288476,24.697644812221508,13.181818181818189,1.818181818181812,历史3/7次成功; 当前距低点1.82%; 最新日涨幅-8.35%; 状态bottom_area; 底部未确认
30,65.46864624910346,58.07455473392915,688058,宝兰德,bottom_area,2024-10-11,23.7,2024-10-11,23.45,1.0660980810234542,10.831556503198291,29.494888755261574,False,-8.8462,3.5685,1,2,1,50.0,24.27558257345491,24.27558257345491,13.933901918976547,1.0660980810234542,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-8.85%; 状态bottom_area; 底部未确认
