rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.96966369339077,81.76996924468567,000430,张家界,bottom_area,2024-10-14,6.21,2024-10-14,6.03,2.985074626865667,3.1509121061359786,27.349397590361452,False,0.0,5.2084,2,2,2,100.0,34.17171717171716,53.99999999999999,7.014925373134334,2.985074626865667,历史2/2次成功; 当前距低点2.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,83.56518225609177,83.4222523627832,688358,祥生医疗,bottom_area,2024-10-14,23.93,2024-10-14,22.81,4.910127137220522,5.217010083296805,27.884919380335127,False,2.0469,0.8707,4,4,4,100.0,33.31904427766654,68.06588735387884,5.089872862779479,4.910127137220522,历史4/4次成功; 当前距低点4.91%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
3,77.21805083823307,75.45253093048385,300763,锦浪科技,bottom_area,2024-10-14,74.02,2024-10-11,71.32,3.785754346606847,7.922041503084698,27.068207383168026,False,1.9419,3.5605,3,4,3,75.0,30.855112047029355,36.020348268440614,6.214245653393154,3.785754346606847,历史3/4次成功; 当前距低点3.79%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
4,76.66393860518491,75.89830857062555,688331,荣昌生物,bottom_area,2024-10-14,30.83,2024-10-14,29.51,4.473059979667897,6.4723822433073535,29.721362229102166,False,0.4235,2.4849,2,2,2,100.0,20.843469485313637,26.761565836298917,5.526940020332104,4.473059979667897,历史2/2次成功; 当前距低点4.47%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
5,74.05737558717409,73.31864864864866,688310,迈得医疗,bottom_area,2024-10-14,11.91,2024-10-14,11.4,4.473684210526314,4.912280701754391,27.619047619047617,False,1.5345,1.4904,1,1,1,100.0,23.648648648648653,23.648648648648653,5.526315789473686,4.473684210526314,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
6,73.91588066375786,72.4012109780251,300413,芒果超媒,bottom_area,2024-10-14,23.9,2024-10-14,23.0,3.913043478260864,4.3478260869565215,27.12294043092522,False,1.0144,2.8745,1,1,1,100.0,11.843817787418656,11.843817787418656,6.086956521739137,3.913043478260864,历史1/1次成功; 当前距低点3.91%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
7,71.87488816349747,70.30414833174056,688236,春立医疗,bottom_area,2024-10-14,12.98,2024-10-14,12.5,3.840000000000003,4.0,27.912341407151096,False,1.4855,3.9064,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,6.1599999999999975,3.840000000000003,历史2/3次成功; 当前距低点3.84%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
8,71.24572998868476,71.06059213583147,688047,龙芯中科,bottom_area,2024-10-14,127.43,2024-10-14,121.52,4.863396971691912,7.0523370638578085,28.043581241117955,False,2.2713,2.0577,3,4,3,75.0,20.45235070585496,33.20076594491089,5.136603028308089,4.863396971691912,历史3/4次成功; 当前距低点4.86%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
9,66.75038766427113,65.92839199082067,688117,圣诺生物,bottom_area,2024-10-14,27.35,2024-10-14,26.21,4.349484929416255,4.8454788248759995,29.123850730124385,False,2.7423,2.2137,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,5.650515070583745,4.349484929416255,历史2/3次成功; 当前距低点4.35%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
10,61.24944354371599,60.03388148067748,688059,华锐精密,bottom_area,2024-10-14,50.82,2024-10-14,48.89,3.9476375536919606,5.031703824913071,31.140845070422536,False,0.3555,2.8948,2,5,2,40.0,25.7768553929846,38.29213483146067,6.05236244630804,3.9476375536919606,历史2/5次成功; 当前距低点3.95%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
11,57.349419903458966,57.31522227680216,688062,迈威生物,bottom_area,2024-10-14,25.14,2024-10-14,23.95,4.968684759916498,6.179540709812111,27.42424242424243,False,0.0796,2.7025,1,2,1,50.0,35.34313725490197,35.34313725490197,5.031315240083503,4.968684759916498,历史1/2次成功; 当前距低点4.97%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
