rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.49688362722999,85.63944657584766,688358,祥生医疗,bottom_area,2024-10-15,23.29,2024-10-14,22.81,2.1043402016659383,6.0061376589215305,27.884919380335127,False,-2.6745,0.6601,4,4,4,100.0,33.31904427766654,68.06588735387884,7.895659798334062,2.1043402016659383,历史4/4次成功; 当前距低点2.10%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
2,87.95406948758446,81.74917322478518,000430,张家界,bottom_area,2024-10-15,6.1,2024-10-14,6.03,1.1608623548921955,3.316749585406305,27.349397590361452,False,-1.7713,3.8622,2,2,2,100.0,34.17171717171716,53.99999999999999,8.839137645107806,1.1608623548921955,历史2/2次成功; 当前距低点1.16%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
3,86.38349019944232,82.45756474426173,688356,键凯科技,bottom_area,2024-10-15,56.52,2024-10-14,55.11,2.558519324986398,7.965886409000182,28.129890453834122,True,-2.4171,0.7564,4,4,4,100.0,12.585961318444678,15.625,7.441480675013603,2.558519324986398,历史4/4次成功; 当前距低点2.56%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
4,86.04205365254565,82.68870848979046,688008,澜起科技,bottom_area,2024-10-15,65.0,2024-10-14,63.16,2.913236225459157,8.027232425585826,27.477322310253765,True,-2.8836,4.3498,3,3,3,100.0,34.8434789453621,62.20095693779905,7.086763774540844,2.913236225459157,历史3/3次成功; 当前距低点2.91%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
5,83.99266091996844,79.22295445337714,688331,荣昌生物,bottom_area,2024-10-15,30.08,2024-10-14,29.51,1.9315486275838587,7.760081328363263,29.721362229102166,True,-2.4327,1.9255,2,2,2,100.0,20.843469485313637,26.761565836298917,8.068451372416142,1.9315486275838587,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
6,81.32155374642933,74.3121138211382,688166,博瑞医药,bottom_area,2024-10-15,29.6,2024-10-15,29.52,0.2710027100271065,5.758807588075879,28.67842474027543,False,-3.9896,5.0743,1,1,1,100.0,50.993377483443716,50.993377483443716,9.728997289972895,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
7,80.20097428450985,74.63864864864867,688310,迈得医疗,bottom_area,2024-10-15,11.54,2024-10-14,11.4,1.2280701754385859,5.087719298245615,27.619047619047617,False,-3.1066,1.2579,1,1,1,100.0,23.648648648648653,23.648648648648653,8.771929824561415,1.2280701754385859,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
8,79.70314418604654,74.9089700996678,300723,一品红,bottom_area,2024-10-15,15.75,2024-10-14,15.48,1.744186046511625,5.749354005167962,27.392120075046904,False,-3.5517,1.3794,1,1,1,100.0,31.428571428571427,31.428571428571427,8.255813953488374,1.744186046511625,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
9,79.37758841519359,75.02607600679923,688047,龙芯中科,bottom_area,2024-10-15,124.0,2024-10-14,121.52,2.0408163265306154,7.455562870309428,28.043581241117955,True,-2.6917,1.8719,3,4,3,75.0,20.45235070585496,33.20076594491089,7.959183673469385,2.0408163265306154,历史3/4次成功; 当前距低点2.04%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
10,78.54584876986273,77.89314306962555,300560,中富通,confirmed_rebound,2024-10-15,14.44,2024-10-11,13.81,4.5619116582186745,10.644460535843583,27.277514481305943,True,-2.6954,7.6986,4,4,4,100.0,22.81882607722647,41.47727272727274,5.438088341781326,4.5619116582186745,历史4/4次成功; 当前距低点4.56%; 最新日涨幅-2.70%; 状态confirmed_rebound; 底部已确认
11,78.08422882158345,77.73090651922335,300510,金冠股份,bottom_area,2024-10-15,4.4,2024-10-11,4.2,4.761904761904765,8.809523809523812,27.835051546391753,True,-0.6772,4.6784,3,3,3,100.0,30.849727829925854,40.000000000000014,5.2380952380952355,4.761904761904765,历史3/3次成功; 当前距低点4.76%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
