rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.34992550908129,87.63131617650049,002761,浙江建投,bottom_area,2024-11-29,10.01,2024-11-29,9.79,2.247191011235962,3.9836567926455633,29.466858789625373,False,0.7042,5.3086,6,6,6,100.0,23.305976785583134,43.73730534867976,7.752808988764039,2.247191011235962,历史6/6次成功; 当前距低点2.25%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,86.48911510780177,82.56989871708306,002757,南兴股份,bottom_area,2024-11-29,15.19,2024-11-29,14.81,2.5658338960161986,3.646185010128286,27.579462102689483,False,0.1979,9.5533,1,1,1,100.0,50.75376884422111,50.75376884422111,7.434166103983802,2.5658338960161986,历史1/1次成功; 当前距低点2.57%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,86.28693295145978,82.78991304862022,603079,圣达生物,bottom_area,2024-11-29,15.27,2024-11-28,14.85,2.828282828282828,7.138047138047142,29.98585572842999,True,1.6644,8.0432,2,2,2,100.0,28.539773640349868,34.84698914116485,7.171717171717173,2.828282828282828,历史2/2次成功; 当前距低点2.83%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
4,85.5506786295262,83.73899969346587,603004,鼎龙科技,bottom_area,2024-11-29,22.51,2024-11-29,21.67,3.8763267189663124,4.614674665436087,29.711320142718122,False,0.0444,29.0905,3,3,3,100.0,39.0162613586509,55.7168784029038,6.123673281033688,3.8763267189663124,历史3/3次成功; 当前距低点3.88%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
5,81.20977782454511,79.51997828596828,600405,动力源,bottom_area,2024-11-29,4.8,2024-11-29,4.62,3.89610389610389,4.329004329004333,28.8135593220339,False,0.6289,11.0096,3,3,3,100.0,16.575780478952385,21.8568665377176,6.103896103896111,3.89610389610389,历史3/3次成功; 当前距低点3.90%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
6,76.25121765115948,75.10871882952723,601019,山东出版,bottom_area,2024-11-29,10.65,2024-11-25,10.22,4.207436399217218,7.0450097847358,28.028169014084497,True,0.2825,0.2919,1,1,1,100.0,20.815450643776817,20.815450643776817,5.792563600782782,4.207436399217218,历史1/1次成功; 当前距低点4.21%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
7,74.91263649290647,73.76972525653758,000782,恒申新材,bottom_area,2024-11-29,4.97,2024-11-27,4.77,4.192872117400424,5.241090146750524,27.945619335347438,False,0.2016,2.5035,1,1,1,100.0,22.631578947368432,22.631578947368432,5.807127882599577,4.192872117400424,历史1/1次成功; 当前距低点4.19%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
8,73.060433964636,70.81931635835883,301628,强达电路,bottom_area,2024-11-29,82.95,2024-11-27,80.25,3.3644859813084147,6.5420560747663545,29.67312242572956,False,-0.4202,11.2518,1,1,1,100.0,19.08787309538719,19.08787309538719,6.635514018691585,3.3644859813084147,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
9,69.51796216040978,65.480453688184,000695,滨海能源,bottom_area,2024-11-29,12.05,2024-11-29,11.83,1.8596787827557113,4.902789518174134,30.041395623891187,False,-6.6615,11.4281,2,3,2,66.66666666666666,21.042229280647017,21.910112359550556,8.14032121724429,1.8596787827557113,历史2/3次成功; 当前距低点1.86%; 最新日涨幅-6.66%; 状态bottom_area; 底部未确认
10,69.29865278092875,67.97301892166294,001255,博菲电气,bottom_area,2024-11-29,29.74,2024-11-27,28.6,3.986013986013975,6.46853146853146,30.073349633251826,False,-0.4685,15.4957,1,1,1,100.0,11.403929084810729,11.403929084810729,6.013986013986025,3.986013986013975,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
11,67.94732083333334,61.770291666666665,002741,光华科技,bottom_area,2024-11-29,17.1,2024-11-29,17.1,0.0,5.672514619883033,27.109974424552423,False,-10.0,26.9809,2,3,2,66.66666666666666,30.39583333333333,40.99999999999999,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
12,67.78128756558392,67.63069290526856,000812,陕西金叶,bottom_area,2024-11-29,4.94,2024-11-27,4.71,4.883227176220816,7.855626326963909,27.31481481481482,True,-0.6036,8.0953,1,1,1,100.0,11.368015414258185,11.368015414258185,5.1167728237791845,4.883227176220816,历史1/1次成功; 当前距低点4.88%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
13,57.56063942706548,57.169499615088505,301548,崇德科技,bottom_area,2024-11-29,45.31,2024-11-27,43.3,4.642032332563523,5.450346420323324,29.34073107049609,False,0.9131,3.7986,1,3,1,33.33333333333333,54.89098408956984,54.89098408956984,5.357967667436478,4.642032332563523,历史1/3次成功; 当前距低点4.64%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
