rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.36479277486836,86.60664459015618,002530,金财互联,bottom_area,2024-12-19,9.96,2024-12-19,9.84,1.2195121951219614,4.065040650406507,30.06396588486141,False,-1.1905,12.3567,4,4,4,100.0,27.67275481201206,54.814814814814795,6.780487804878038,1.2195121951219614,历史4/4次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
2,88.24401086794394,84.37123296151378,605337,李子园,bottom_area,2024-12-19,12.2,2024-12-19,12.0,1.6666666666666607,4.583333333333339,28.01439712057589,False,-2.0867,3.6221,4,4,4,100.0,21.135661083407342,37.98882681564246,6.333333333333339,1.6666666666666607,历史4/4次成功; 当前距低点1.67%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
3,85.99898480560239,82.50719977574954,688196,卓越新能,bottom_area,2024-12-19,35.33,2024-12-19,34.69,1.8449120784087651,4.554626693571651,27.517760133723364,False,-1.2853,1.553,4,4,4,100.0,13.298921045814655,19.41979522184301,6.155087921591234,1.8449120784087651,历史4/4次成功; 当前距低点1.84%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
4,85.88372101633912,80.47476162821332,603088,宁波精达,bottom_area,2024-12-19,9.76,2024-12-19,9.7,0.618556701030933,3.7113402061855796,28.307464892830748,False,-2.4,5.9452,4,4,4,100.0,27.17780057292387,46.15384615384614,7.381443298969067,0.618556701030933,历史4/4次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
5,84.018850055008,77.79523153241482,002862,实丰文化,bottom_area,2024-12-19,31.64,2024-12-19,31.64,0.0,7.996207332490522,28.09090909090909,False,-10.0114,14.9279,5,5,5,100.0,27.66253512050972,45.40647719762062,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
6,83.00328020445656,79.3018226352594,002681,奋达科技,confirmed_rebound,2024-12-19,7.49,2024-12-19,7.37,1.628222523744913,8.276797829036639,29.74261201143947,False,-4.2199,14.925,3,3,3,100.0,30.506290265579576,46.084337349397586,6.371777476255088,1.628222523744913,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-4.22%; 状态confirmed_rebound; 底部未确认
7,82.45369098308205,76.34601016952041,002403,爱仕达,bottom_area,2024-12-19,17.78,2024-12-19,17.78,0.0,5.174353205849258,27.280163599181996,False,-9.9747,19.0989,6,6,6,100.0,19.87102241677636,52.542372881355924,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
8,81.92047421963419,78.81571628527291,600382,广东明珠,bottom_area,2024-12-19,4.61,2024-12-19,4.52,1.9911504424778927,1.9911504424778927,27.680000000000003,False,-0.2165,1.2412,3,3,3,100.0,11.911501581303833,17.365269461077848,6.008849557522107,1.9911504424778927,历史3/3次成功; 当前距低点1.99%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
9,80.36258702306158,78.20405238974124,300497,富祥股份,bottom_area,2024-12-19,9.13,2024-12-19,8.9,2.584269662921353,2.696629213483148,31.274131274131268,False,-0.3275,1.7498,3,3,3,100.0,15.893479683881248,24.094025465230157,5.415730337078648,2.584269662921353,历史3/3次成功; 当前距低点2.58%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
10,79.87398569525418,73.95739416227238,000525,红太阳,bottom_area,2024-12-19,7.39,2024-12-19,7.39,0.0,0.0,29.4173829990449,False,-5.0129,0.0527,3,3,3,100.0,23.695667539098807,34.22131147540984,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
11,78.60065940738008,76.61659948995239,000816,智慧农业,confirmed_rebound,2024-12-19,3.46,2024-12-19,3.37,2.6706231454005893,14.836795252225517,29.79166666666666,False,-6.7385,16.987,3,3,3,100.0,28.847420760568387,48.23943661971832,5.329376854599411,2.6706231454005893,历史3/3次成功; 当前距低点2.67%; 最新日涨幅-6.74%; 状态confirmed_rebound; 底部未确认
