rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.68329536241833,73.47371944922547,600106,重庆路桥,bottom_area,2024-12-23,5.84,2024-12-23,5.81,0.5163511187607616,4.991394148020655,27.646326276463263,False,-4.1051,2.9277,1,1,1,100.0,48.50000000000001,48.50000000000001,14.483648881239239,0.5163511187607616,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
2,83.21336798790101,73.68403806506348,000882,华联股份,bottom_area,2024-12-23,2.08,2024-12-23,2.06,0.9708737864077678,9.223300970873783,29.452054794520542,False,-7.5556,6.5581,3,3,3,100.0,21.868980097167658,29.268292682926838,14.029126213592233,0.9708737864077678,历史3/3次成功; 当前距低点0.97%; 最新日涨幅-7.56%; 状态bottom_area; 底部未确认
3,83.17749480992283,72.32825635645465,603030,全筑股份,bottom_area,2024-12-23,2.9,2024-12-23,2.9,0.0,8.620689655172415,29.095354523227385,False,-7.6433,3.0026,5,6,5,83.33333333333334,34.381306575921016,51.87969924812029,15.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-7.64%; 状态bottom_area; 底部未确认
4,82.98039327816322,73.54732860385926,002292,奥飞娱乐,bottom_area,2024-12-23,8.9,2024-12-23,8.81,1.0215664018161164,11.010215664018148,32.07401696222051,False,-9.0909,17.8267,1,1,1,100.0,15.250000000000007,15.250000000000007,13.978433598183884,1.0215664018161164,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-9.09%; 状态bottom_area; 底部未确认
5,78.26146551724139,68.05344827586208,002348,高乐股份,bottom_area,2024-12-23,3.52,2024-12-23,3.52,0.0,5.397727272727272,30.43478260869565,False,-9.9744,8.033,1,1,1,100.0,25.287356321839088,25.287356321839088,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
6,77.4696575652154,68.59540170498143,603088,宁波精达,bottom_area,2024-12-23,9.38,2024-12-23,9.29,0.9687836383207927,7.104413347685686,31.33776792313378,False,-5.6338,6.3,3,4,3,75.0,31.985098926628154,46.15384615384614,14.031216361679208,0.9687836383207927,历史3/4次成功; 当前距低点0.97%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
7,76.95386539944684,67.34270802894949,002313,日海智能,bottom_area,2024-12-23,8.86,2024-12-23,8.83,0.3397508493771162,9.39977349943375,28.21138211382114,False,-8.4711,7.808,3,4,3,75.0,17.5394621802651,20.08238928939237,14.660249150622883,0.3397508493771162,历史3/4次成功; 当前距低点0.34%; 最新日涨幅-8.47%; 状态bottom_area; 底部未确认
8,76.74971922593417,66.73888628342102,002339,积成电子,bottom_area,2024-12-23,7.65,2024-12-23,7.65,0.0,8.75816993464052,28.169014084507044,False,-10.0,18.1279,4,6,4,66.66666666666666,40.44204095029229,82.94930875576038,15.0,0.0,历史4/6次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
9,76.20426532991813,67.11235506592017,603058,永吉股份,bottom_area,2024-12-23,8.88,2024-12-23,8.82,0.680272108843543,7.482993197278913,27.227722772277218,False,-6.1311,3.0833,1,1,1,100.0,16.308470290771165,16.308470290771165,14.319727891156456,0.680272108843543,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-6.13%; 状态bottom_area; 底部未确认
10,75.79924855824007,67.75077155948291,000716,黑芝麻,bottom_area,2024-12-23,6.89,2024-12-23,6.79,1.4727540500736325,8.5419734904271,31.552419354838708,False,-5.6164,10.7912,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,13.527245949926368,1.4727540500736325,历史2/3次成功; 当前距低点1.47%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
11,73.65582752798257,64.31397430643044,002682,龙洲股份,bottom_area,2024-12-23,4.53,2024-12-23,4.52,0.22123893805311232,10.39823008849559,29.922480620155046,False,-8.6694,7.7355,2,3,2,66.66666666666666,34.52544311034879,42.121212121212146,14.778761061946888,0.22123893805311232,历史2/3次成功; 当前距低点0.22%; 最新日涨幅-8.67%; 状态bottom_area; 底部未确认
