rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.65296656281099,88.67099820056201,300720,海川智能,bottom_area,2024-12-25,17.78,2024-12-25,17.6,1.022727272727271,6.647727272727262,27.06174886033982,False,-5.1227,2.3938,4,4,4,100.0,46.57428162569997,75.69193742478939,8.97727272727273,1.022727272727271,历史4/4次成功; 当前距低点1.02%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
2,91.95126378690861,85.43503249492296,000691,亚太实业,bottom_area,2024-12-25,3.54,2024-12-25,3.5,1.142857142857144,8.85714285714286,28.86178861788618,False,-6.8421,8.0008,4,4,4,100.0,30.64917623998521,76.05633802816902,8.857142857142856,1.142857142857144,历史4/4次成功; 当前距低点1.14%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
3,91.82523300605577,85.28045397970621,002173,创新医疗,confirmed_rebound,2024-12-25,9.03,2024-12-24,8.93,1.1198208286674092,10.3023516237402,28.041901692183725,True,-0.1106,18.2279,4,4,4,100.0,20.342179941225208,27.109266943291825,8.880179171332593,1.1198208286674092,历史4/4次成功; 当前距低点1.12%; 最新日涨幅-0.11%; 状态confirmed_rebound; 底部已确认
4,88.10583609348774,82.44540528301228,002167,东方锆业,bottom_area,2024-12-25,7.37,2024-12-25,7.26,1.5151515151515196,6.060606060606066,30.259365994236315,False,-3.9113,3.9492,4,4,4,100.0,19.139520094396374,41.1650485436893,8.48484848484848,1.5151515151515196,历史4/4次成功; 当前距低点1.52%; 最新日涨幅-3.91%; 状态bottom_area; 底部未确认
5,85.85613751226305,80.92533785680209,000981,山子高科,bottom_area,2024-12-25,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,False,-6.9264,8.4134,4,4,4,100.0,15.632326550100428,22.499999999999993,8.1042654028436,1.8957345971564,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-6.93%; 状态bottom_area; 底部未确认
6,85.54687267267467,80.68811602438618,002836,新宏泽,bottom_area,2024-12-25,7.39,2024-12-25,7.25,1.9310344827586163,5.793103448275861,27.500000000000004,False,-3.3987,3.2467,3,3,3,100.0,31.456315296106556,59.30851063829788,8.068965517241384,1.9310344827586163,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
7,85.40212945098841,80.87569918987754,002178,延华智能,bottom_area,2024-12-25,6.2,2024-12-25,6.07,2.141680395387148,8.237232289950576,29.663962920046355,False,-4.7619,5.8679,5,5,5,100.0,18.38027145892594,29.076086956521735,7.858319604612853,2.141680395387148,历史5/5次成功; 当前距低点2.14%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
8,85.2268410272345,81.20618899509564,001202,炬申股份,bottom_area,2024-12-25,13.31,2024-12-25,12.99,2.4634334103156297,4.464973056197075,27.022471910112362,False,-1.916,2.2784,5,5,5,100.0,13.88611382051227,15.531135531135526,7.536566589684371,2.4634334103156297,历史5/5次成功; 当前距低点2.46%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
9,85.0449855105122,81.67977863091836,300635,中达安,bottom_area,2024-12-25,10.0,2024-12-25,9.72,2.880658436213985,5.658436213991759,29.870129870129862,False,-2.8183,4.2513,4,4,4,100.0,21.546665943474423,32.72214386459803,7.1193415637860165,2.880658436213985,历史4/4次成功; 当前距低点2.88%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
10,84.54357549548892,81.21293274796022,002146,荣盛发展,bottom_area,2024-12-25,1.78,2024-12-25,1.73,2.890173410404627,5.202312138728328,27.61506276150628,False,-1.6575,4.1432,5,5,5,100.0,19.153377009047105,33.33333333333333,7.109826589595373,2.890173410404627,历史5/5次成功; 当前距低点2.89%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
11,83.82162998956304,78.2635245915974,300386,飞天诚信,bottom_area,2024-12-25,17.39,2024-12-25,17.15,1.399416909621003,9.912536443148705,30.39772727272728,False,-10.4531,21.1938,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,8.600583090378997,1.399416909621003,历史8/9次成功; 当前距低点1.40%; 最新日涨幅-10.45%; 状态bottom_area; 底部未确认
12,83.52656318875844,78.54248660271598,603256,宏和科技,bottom_area,2024-12-25,8.62,2024-12-25,8.47,1.770956316410845,6.8476977567886665,30.45977011494252,False,-4.4346,1.0108,3,3,3,100.0,17.958424753401612,22.318339100346023,8.229043683589156,1.770956316410845,历史3/3次成功; 当前距低点1.77%; 最新日涨幅-4.43%; 状态bottom_area; 底部未确认
13,83.08613378733187,77.47472585352106,600156,华升股份,bottom_area,2024-12-25,4.57,2024-12-25,4.51,1.3303769401330487,7.095343680709541,29.31034482758621,False,-5.9671,4.5647,2,2,2,100.0,23.483791811959197,35.05747126436782,8.669623059866952,1.3303769401330487,历史2/2次成功; 当前距低点1.33%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
14,83.0835768588736,80.80447624678479,000620,盈新发展,bottom_area,2024-12-25,2.34,2024-12-24,2.26,3.539823008849561,8.407079646017717,27.795527156549525,True,1.2987,2.2918,6,7,6,85.71428571428571,24.206535290885213,58.4192439862543,6.4601769911504405,3.539823008849561,历史6/7次成功; 当前距低点3.54%; 最新日涨幅1.30%; 状态bottom_area; 底部已确认
15,82.57377334513745,79.2956299827232,000510,新金路,bottom_area,2024-12-25,3.58,2024-12-25,3.48,2.8735632183908075,8.045977011494248,29.6969696969697,False,-4.7872,3.8365,4,4,4,100.0,18.856742584162507,23.043478260869577,7.1264367816091925,2.8735632183908075,历史4/4次成功; 当前距低点2.87%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
16,82.44178897917558,77.8616895914436,600408,安泰集团,bottom_area,2024-12-25,2.04,2024-12-25,2.0,2.0000000000000018,6.499999999999995,30.069930069930066,False,-3.7736,3.4446,3,3,3,100.0,17.10585801851391,21.457489878542503,7.999999999999999,2.0000000000000018,历史3/3次成功; 当前距低点2.00%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
17,82.42655179213489,76.14234529077945,600416,湘电股份,bottom_area,2024-12-25,10.82,2024-12-25,10.73,0.8387698042870442,3.168685927306616,27.500000000000004,False,-1.8149,0.8433,3,3,3,100.0,23.251292712655438,34.41084462982274,9.161230195712957,0.8387698042870442,历史3/3次成功; 当前距低点0.84%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
18,81.38325758062136,78.73391723755667,002343,慈文传媒,bottom_area,2024-12-25,6.33,2024-12-25,6.13,3.2626427406199054,6.525285481239811,27.7122641509434,False,-3.0628,4.5238,4,4,4,100.0,20.60614347403244,40.33149171270718,6.7373572593800946,3.2626427406199054,历史4/4次成功; 当前距低点3.26%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
19,81.09648598382748,76.2414857142857,002016,世荣兆业,bottom_area,2024-12-25,6.36,2024-12-25,6.25,1.760000000000005,3.840000000000003,28.160919540229877,False,-1.548,0.757,1,1,1,100.0,28.571428571428566,28.571428571428566,8.239999999999997,1.760000000000005,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
20,80.73295314858456,76.44017505074521,000536,华映科技,bottom_area,2024-12-25,4.79,2024-12-25,4.69,2.1321961620469008,7.889125799573543,28.723404255319146,False,-4.7714,4.3781,3,3,3,100.0,11.083775807592168,11.280487804878053,7.867803837953099,2.1321961620469008,历史3/3次成功; 当前距低点2.13%; 最新日涨幅-4.77%; 状态bottom_area; 底部未确认
21,80.23927519465039,74.50160760379751,000681,视觉中国,bottom_area,2024-12-25,22.84,2024-12-25,22.59,1.1066843736166445,7.52545374059318,29.006913890634824,False,-9.004,32.2056,4,5,4,80.0,14.757247180878878,20.93690248565965,8.893315626383357,1.1066843736166445,历史4/5次成功; 当前距低点1.11%; 最新日涨幅-9.00%; 状态bottom_area; 底部未确认
22,79.96210695430851,75.07905206943724,002693,双成药业,bottom_area,2024-12-25,18.02,2024-12-25,17.72,1.693002257336347,7.2234762979684035,29.849564528899453,False,-4.4032,4.7536,6,8,6,75.0,35.882243097656534,102.85714285714285,8.306997742663654,1.693002257336347,历史6/8次成功; 当前距低点1.69%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
23,79.56097303684622,77.40428865820168,600327,大东方,bottom_area,2024-12-25,5.24,2024-12-25,5.06,3.5573122529644388,6.719367588932822,30.494505494505503,False,-2.4209,6.1794,3,3,3,100.0,23.521293521293522,33.030303030303024,6.442687747035561,3.5573122529644388,历史3/3次成功; 当前距低点3.56%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
24,79.12594976337822,74.04243902439023,002670,国盛证券,bottom_area,2024-12-25,13.4,2024-12-25,13.2,1.5151515151515234,3.63636363636364,31.034482758620697,False,-2.1183,3.073,1,1,1,100.0,13.747228381374727,13.747228381374727,8.484848484848477,1.5151515151515234,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
25,79.02325290960556,75.66411353552193,002858,力盛体育,bottom_area,2024-12-25,11.33,2024-12-25,11.03,2.719854941069816,6.6183136899365405,29.430582213691626,False,-3.4101,6.8747,3,3,3,100.0,14.114961296565074,20.566037735849065,7.280145058930184,2.719854941069816,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
26,78.77820559690642,76.90057483013939,300533,冰川网络,bottom_area,2024-12-25,20.56,2024-12-25,19.82,3.7336024217961574,5.297679112008076,29.264810849393285,False,-0.9157,3.7831,3,3,3,100.0,22.974130923842026,40.564081294068856,6.2663975782038435,3.7336024217961574,历史3/3次成功; 当前距低点3.73%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
27,78.44024453251005,73.90530103739135,603216,梦天家居,bottom_area,2024-12-25,10.87,2024-12-25,10.67,1.8744142455482595,4.404873477038432,28.244788164088767,False,-2.336,6.7135,1,1,1,100.0,17.41379310344827,17.41379310344827,8.125585754451741,1.8744142455482595,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
28,78.29609743487845,74.44024103250611,300651,金陵体育,bottom_area,2024-12-25,13.07,2024-12-25,12.77,2.349256068911517,5.090054815974944,32.398094229751194,False,-2.6806,7.596,4,5,4,80.0,19.443789621636355,25.720461095100855,7.650743931088483,2.349256068911517,历史4/5次成功; 当前距低点2.35%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
29,78.24892843123203,73.86287383411897,002453,华软科技,bottom_area,2024-12-25,5.17,2024-12-25,5.07,1.972386587771196,6.903353057199204,28.89200561009817,False,-4.4362,2.5495,1,1,1,100.0,28.60169491525425,28.60169491525425,8.027613412228805,1.972386587771196,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
