rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.68609565179793,84.53533785680209,000981,山子高科,bottom_area,2024-12-27,2.15,2024-12-25,2.11,1.8957345971564,9.478672985782,30.81967213114754,True,-0.9217,8.7984,4,4,4,100.0,15.632326550100428,22.499999999999993,8.1042654028436,1.8957345971564,历史4/4次成功; 当前距低点1.90%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
2,86.56438558603315,84.07501367281571,002146,荣盛发展,bottom_area,2024-12-27,1.79,2024-12-25,1.73,3.4682080924855523,5.202312138728328,27.61506276150628,False,0.5618,3.9446,5,5,5,100.0,19.153377009047105,33.33333333333333,6.531791907514448,3.4682080924855523,历史5/5次成功; 当前距低点3.47%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
3,86.28954985644933,82.03403432579852,000536,华映科技,bottom_area,2024-12-27,4.8,2024-12-25,4.69,2.3454157782515868,7.889125799573543,28.723404255319146,False,1.0526,3.4205,3,3,3,100.0,11.083775807592168,11.280487804878053,7.654584221748414,2.3454157782515868,历史3/3次成功; 当前距低点2.35%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
4,85.12836049140279,80.58170500168329,300533,冰川网络,bottom_area,2024-12-27,20.24,2024-12-25,19.82,2.1190716448032196,5.852674066599396,29.264810849393285,False,-1.0269,2.8937,3,3,3,100.0,22.974130923842026,40.564081294068856,7.880928355196781,2.1190716448032196,历史3/3次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
5,84.7011870517482,80.72168349621073,000688,国城矿业,bottom_area,2024-12-27,12.84,2024-12-27,12.53,2.474062250598567,5.187549880287314,27.320185614849184,False,1.0228,0.9944,2,2,2,100.0,22.271749610620777,30.935251798561143,7.525937749401433,2.474062250598567,历史2/2次成功; 当前距低点2.47%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
6,83.39784807831849,79.43913136528194,002693,双成药业,bottom_area,2024-12-27,18.0,2024-12-27,17.57,2.447353443369378,5.29311326124075,30.443388756927952,False,2.0987,4.9576,6,8,6,75.0,35.882243097656534,102.85714285714285,7.552646556630623,2.447353443369378,历史6/8次成功; 当前距低点2.45%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
7,82.19098803446585,76.34799444942286,000681,视觉中国,bottom_area,2024-12-27,22.37,2024-12-27,22.12,1.1301989150090417,5.922242314647372,30.48397234443746,False,-2.1435,18.4674,4,5,4,80.0,14.757247180878878,20.93690248565965,8.869801084990957,1.1301989150090417,历史4/5次成功; 当前距低点1.13%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
8,82.12615954074583,79.70934307452735,300386,飞天诚信,bottom_area,2024-12-27,17.48,2024-12-27,16.9,3.4319526627219052,7.041420118343203,31.41233766233767,False,1.1574,15.472,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,6.568047337278096,3.4319526627219052,历史8/9次成功; 当前距低点3.43%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
9,82.00025254800437,79.57213233341847,300355,蒙草生态,bottom_area,2024-12-27,5.44,2024-12-25,5.26,3.4220532319391754,7.604562737642592,29.58500669344043,False,0.7407,4.5256,2,2,2,100.0,27.711901624945106,33.201581027668,6.577946768060825,3.4220532319391754,历史2/2次成功; 当前距低点3.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
10,81.4774867679447,77.07968858488094,002583,海能达,bottom_area,2024-12-27,14.67,2024-12-25,14.37,2.0876826722338255,6.750173973556024,28.078078078078082,False,0.0,8.5952,1,1,1,100.0,14.621532675129286,14.621532675129286,7.912317327766175,2.0876826722338255,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,81.28945240292212,80.9458145111296,002178,延华智能,bottom_area,2024-12-27,6.36,2024-12-25,6.07,4.7775947281713345,8.237232289950576,29.663962920046355,False,2.2508,4.6563,5,5,5,100.0,18.38027145892594,29.076086956521735,5.2224052718286655,4.7775947281713345,历史5/5次成功; 当前距低点4.78%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
12,81.26491606701802,80.98821520036763,002167,东方锆业,bottom_area,2024-12-27,7.61,2024-12-25,7.26,4.820936639118465,6.198347107438019,30.259365994236315,False,1.4667,3.2073,4,4,4,100.0,19.139520094396374,41.1650485436893,5.1790633608815355,4.820936639118465,历史4/4次成功; 当前距低点4.82%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
13,81.25845918800461,81.09450451324999,002343,慈文传媒,bottom_area,2024-12-27,6.43,2024-12-25,6.13,4.893964110929851,6.851549755301793,27.7122641509434,False,1.1006,3.2564,4,4,4,100.0,20.60614347403244,40.33149171270718,5.10603588907015,4.893964110929851,历史4/4次成功; 当前距低点4.89%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
14,80.47603644163992,79.87203796044915,603256,宏和科技,bottom_area,2024-12-27,8.86,2024-12-25,8.47,4.604486422668226,7.319952774498219,30.45977011494252,True,1.8391,0.9578,3,3,3,100.0,17.958424753401612,22.318339100346023,5.395513577331775,4.604486422668226,历史3/3次成功; 当前距低点4.60%; 最新日涨幅1.84%; 状态bottom_area; 底部已确认
15,80.45157267080745,77.50308571428572,002016,世荣兆业,bottom_area,2024-12-27,6.44,2024-12-25,6.25,3.0400000000000063,3.840000000000003,28.160919540229877,False,1.0989,0.6343,1,1,1,100.0,28.571428571428566,28.571428571428566,6.959999999999994,3.0400000000000063,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
16,77.97483371997589,77.7779275742184,000620,盈新发展,bottom_area,2024-12-27,2.37,2024-12-24,2.26,4.867256637168156,8.407079646017717,27.795527156549525,True,0.4237,1.7863,6,7,6,85.71428571428571,24.206535290885213,58.4192439862543,5.132743362831844,4.867256637168156,历史6/7次成功; 当前距低点4.87%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
