rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.65076923076923,79.70923076923077,000985,大庆华科,bottom_area,2024-02-01,13.15,2024-02-01,13.0,1.1538461538461564,9.230769230769226,28.88402625820569,False,-8.7439,4.5038,1,1,1,100.0,56.687898089171995,56.687898089171995,18.846153846153847,1.1538461538461564,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
2,90.42785229043555,75.77171034854186,300461,田中精机,bottom_area,2024-02-01,16.73,2024-02-01,16.68,0.299760191846527,4.376498800959236,27.097902097902093,False,-2.7326,4.0829,2,2,2,100.0,31.318083795440543,39.80283425754775,19.700239808153476,0.299760191846527,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
3,90.04887928935321,78.11502719234706,600366,宁波韵升,bottom_area,2024-02-01,5.59,2024-02-01,5.47,2.193784277879344,3.8391224862888476,30.318471337579616,False,0.1792,1.0998,1,1,1,100.0,21.488469601677156,21.488469601677156,17.80621572212066,2.193784277879344,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
4,89.8245782136965,76.4495360442798,603079,圣达生物,bottom_area,2024-02-01,10.54,2024-02-01,10.42,1.151631477927056,5.470249520153554,28.08833678398896,False,-1.4032,1.8219,1,1,1,100.0,22.232558139534888,22.232558139534888,18.848368522072946,1.151631477927056,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
5,89.62605626121764,76.22059241908848,002304,洋河股份,bottom_area,2024-02-01,91.2,2024-01-31,90.2,1.1086474501108647,3.037694013303764,29.3546365914787,False,-0.1205,0.3267,1,1,1,100.0,20.474777448071226,20.474777448071226,18.891352549889138,1.1086474501108647,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
6,88.48735201100664,76.54615225865626,603198,迎驾贡酒,bottom_area,2024-02-01,50.0,2024-02-01,49.0,2.0408163265306123,4.061224489795922,27.41816027255222,False,-0.5173,0.5773,1,1,1,100.0,33.65168539325842,33.65168539325842,17.95918367346939,2.0408163265306123,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
7,86.66681639558438,74.95158579991539,603324,盛剑科技,bottom_area,2024-02-01,23.16,2024-02-01,22.7,2.0264317180616778,6.696035242290748,28.09629394995249,False,-1.0256,5.3856,1,1,1,100.0,24.90241998438719,24.90241998438719,17.973568281938324,2.0264317180616778,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
8,85.53186219527088,78.03421119970109,300354,东华测试,bottom_area,2024-02-01,37.26,2024-02-01,35.5,4.957746478873234,10.366197183098592,30.83966491330606,False,1.8311,3.5602,2,2,2,100.0,38.26813533081753,39.34343434343434,15.042253521126767,4.957746478873234,历史2/2次成功; 当前距低点4.96%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
9,85.49765310899603,74.26238459146771,603035,常熟汽饰,bottom_area,2024-02-01,13.55,2024-02-01,13.25,2.2641509433962317,4.075471698113201,30.664573521716378,False,-0.0737,1.1488,1,1,1,100.0,24.111014744145717,24.111014744145717,17.73584905660377,2.2641509433962317,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
10,84.52758095805306,73.31619408106525,002571,德力股份,bottom_area,2024-02-01,5.14,2024-02-01,5.03,2.1868787276341837,7.554671968190853,27.62589928057554,False,-4.9908,3.644,1,1,1,100.0,28.291814946619215,28.291814946619215,17.813121272365816,2.1868787276341837,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
11,82.92930992494246,74.950464382576,688213,思特威,bottom_area,2024-02-01,39.04,2024-02-01,37.38,4.44087747458533,6.607811663991436,32.46612466124661,False,0.8786,1.5642,1,1,1,100.0,32.01970443349754,32.01970443349754,15.55912252541467,4.44087747458533,历史1/1次成功; 当前距低点4.44%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
12,81.74554257966591,68.64566206829888,001208,华菱线缆,bottom_area,2024-02-01,7.2,2024-02-01,7.17,0.4184100418410076,8.786610878661087,28.22822822822823,False,-9.3199,5.4927,1,1,1,100.0,21.34213421342134,21.34213421342134,19.581589958158993,0.4184100418410076,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-9.32%; 状态bottom_area; 底部未确认
13,81.2762457337884,67.730204778157,002099,海翔药业,bottom_area,2024-02-01,4.34,2024-02-01,4.34,0.0,13.82488479262674,32.29329173166927,False,-9.9585,3.2445,1,1,1,100.0,23.549488054607508,23.549488054607508,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
14,79.79356184076809,70.84609555900178,300663,科蓝软件,bottom_area,2024-02-01,9.85,2024-02-01,9.52,3.4663865546218497,6.092436974789917,30.05143277002204,False,-1.5,6.2749,1,1,1,100.0,20.480951094298856,20.480951094298856,16.53361344537815,3.4663865546218497,历史1/1次成功; 当前距低点3.47%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
15,79.08948624827622,69.92714087139696,300437,清水源,bottom_area,2024-02-01,9.25,2024-02-01,8.96,3.2366071428571326,6.584821428571426,29.337539432176644,False,-2.8361,2.8806,5,7,5,71.42857142857143,24.628445545144793,30.330330330330323,16.76339285714287,3.2366071428571326,历史5/7次成功; 当前距低点3.24%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
16,77.86741376741176,71.03970845481052,001259,利仁科技,bottom_area,2024-02-01,25.2,2024-02-01,24.01,4.9562682215743346,7.205331112036638,27.63713080168776,False,-3.0396,7.5891,1,1,1,100.0,64.38308283816848,64.38308283816848,15.043731778425668,4.9562682215743346,历史1/1次成功; 当前距低点4.96%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
17,76.89164147504924,67.90127639719181,601689,拓普集团,bottom_area,2024-02-01,49.47,2024-02-01,47.95,3.1699687174139646,6.9864442127215725,27.216150576806303,False,1.4977,1.3917,2,4,2,50.0,36.87529609083685,47.99107142857144,16.830031282586035,3.1699687174139646,历史2/4次成功; 当前距低点3.17%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
18,75.9153703450725,65.72653563831511,603106,恒银科技,bottom_area,2024-02-01,5.38,2024-02-01,5.27,2.087286527514238,4.743833017077799,28.39673913043479,False,-0.3704,3.3531,2,4,2,50.0,34.38467161853536,34.60144927536232,17.912713472485763,2.087286527514238,历史2/4次成功; 当前距低点2.09%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
19,73.8333825501994,66.11633409156273,002103,广博股份,bottom_area,2024-02-01,6.34,2024-02-01,6.1,3.9344262295082006,6.065573770491806,30.917327293318237,False,-2.6114,11.6468,2,3,2,66.66666666666666,39.6782754202944,51.366120218579226,16.0655737704918,3.9344262295082006,历史2/3次成功; 当前距低点3.93%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
20,70.7933130586275,61.04155279503107,000678,襄阳轴承,bottom_area,2024-02-01,4.92,2024-02-01,4.83,1.8633540372670776,4.968944099378887,27.368421052631582,False,-3.5294,3.6703,1,2,1,50.0,121.62162162162164,121.62162162162164,18.13664596273292,1.8633540372670776,历史1/2次成功; 当前距低点1.86%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
21,69.84239581842834,60.578014809590975,002803,吉宏股份,bottom_area,2024-02-01,14.49,2024-02-01,14.18,2.186177715091682,5.0775740479548706,31.990407673860915,False,-0.5491,4.192,1,2,1,50.0,41.25000000000001,41.25000000000001,17.81382228490832,2.186177715091682,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
22,69.52610896466696,62.180172326969206,000058,深赛格,bottom_area,2024-02-01,6.45,2024-02-01,6.21,3.8647342995169116,6.763285024154589,29.67157417893545,False,-5.9767,3.1899,2,3,2,66.66666666666666,27.87688098495213,34.82352941176472,16.13526570048309,3.8647342995169116,历史2/3次成功; 当前距低点3.86%; 最新日涨幅-5.98%; 状态bottom_area; 底部未确认
