rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.41143319463711,82.75661581137311,688303,大全能源,bottom_area,2024-07-05,19.2,2024-07-05,19.0,1.0526315789473648,2.2105263157894828,27.42551566080978,False,0.2611,0.7981,1,1,1,100.0,32.45492371705965,32.45492371705965,18.947368421052634,1.0526315789473648,历史1/1次成功; 当前距低点1.05%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
2,96.13279912495177,83.40288508557458,002687,乔治白,bottom_area,2024-07-05,4.18,2024-07-05,4.09,2.200488997555009,2.4449877750611377,30.085470085470085,False,1.4563,0.7484,1,1,1,100.0,64.00000000000001,64.00000000000001,17.799511002444994,2.200488997555009,历史1/1次成功; 当前距低点2.20%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
3,95.41702492346822,82.94138173900156,002254,泰和新材,bottom_area,2024-07-05,8.43,2024-07-05,8.24,2.3058252427184405,2.669902912621367,29.270386266094423,False,1.444,0.8196,2,2,2,100.0,32.14335103440648,38.58695652173914,17.694174757281562,2.3058252427184405,历史2/2次成功; 当前距低点2.31%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
4,95.03409084523278,81.17135935397037,002015,协鑫能科,bottom_area,2024-07-05,7.53,2024-07-05,7.43,1.3458950201884325,4.172274562584125,30.169172932330834,False,-1.9531,0.7287,1,1,1,100.0,65.95380667236954,65.95380667236954,18.65410497981157,1.3458950201884325,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
5,95.01622588223283,81.16211838006234,001696,宗申动力,bottom_area,2024-07-05,9.76,2024-07-05,9.63,1.349948078920031,3.4267912772585674,28.824833702882476,False,-2.4975,7.4511,1,1,1,100.0,65.16853932584267,65.16853932584267,18.650051921079967,1.349948078920031,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
6,92.82377524308784,79.80173483128775,600101,明星电力,bottom_area,2024-07-05,9.56,2024-07-05,9.4,1.7021276595744694,6.063829787234045,31.785195936139328,False,-4.2084,9.8859,2,2,2,100.0,40.551537070524404,49.999999999999986,18.29787234042553,1.7021276595744694,历史2/2次成功; 当前距低点1.70%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
7,92.38025286211058,80.15752825179383,000862,银星能源,bottom_area,2024-07-05,4.63,2024-07-05,4.53,2.207505518763789,2.6490066225165583,29.21875,False,0.6522,0.8088,1,1,1,100.0,32.63785394932937,32.63785394932937,17.79249448123621,2.207505518763789,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
8,91.2536724900457,80.73095675473232,605567,春雪食品,bottom_area,2024-07-05,7.58,2024-07-05,7.34,3.2697547683923736,3.4059945504087197,28.599221789883266,False,1.6086,1.0251,2,2,2,100.0,32.07525605734906,36.46616541353383,16.730245231607626,3.2697547683923736,历史2/2次成功; 当前距低点3.27%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
9,90.88644235545878,78.98766020864383,001308,康冠科技,bottom_area,2024-07-05,21.84,2024-06-24,21.35,2.2950819672131075,6.557377049180321,28.66688940862011,False,0.8776,1.2448,1,1,1,100.0,27.421758569299566,27.421758569299566,17.704918032786892,2.2950819672131075,历史1/1次成功; 当前距低点2.30%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
10,89.77908293542062,78.25680833945499,603218,日月股份,bottom_area,2024-07-05,9.59,2024-07-05,9.36,2.457264957264962,3.4188034188034218,27.216174183514774,False,-0.5187,0.8884,1,1,1,100.0,47.95361527967258,47.95361527967258,17.54273504273504,2.457264957264962,历史1/1次成功; 当前距低点2.46%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
11,89.77264022493084,79.43199914752215,001218,丽臣实业,bottom_area,2024-07-05,14.81,2024-07-05,14.34,3.277545327754537,3.277545327754537,27.57575757575758,False,1.4384,0.7536,2,2,2,100.0,25.18711018711019,29.999999999999993,16.722454672245462,3.277545327754537,历史2/2次成功; 当前距低点3.28%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
